代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,41.3,-0.32,-0.769,41.3,41.32,41.62,41.3,41.3,41.3,27163,1121832,09:25:41,-36.549,5.297,1835743.05159,1835743.05159,0.00611
sh688002,睿创微纳,122.0,1.01,0.835,121.45,122.0,120.99,122.0,122.0,122.0,22157,2703154,09:25:44,48.8,8.823,5681980.2736,5681980.2736,0.00476
sh688003,天准科技,72.48,3.28,4.74,72.44,72.48,69.2,72.48,72.48,72.48,85210,6176021,09:25:47,111.525,7.547,1408434.984,1408434.984,0.04385
sh688004,博汇科技,22.36,0.16,0.721,22.36,22.48,22.2,22.36,22.36,22.36,4900,109564,09:26:04,-46.583,3.034,179076.768,179076.768,0.00612
sh688005,容百科技,31.4,0.6,1.948,31.39,31.4,30.8,31.4,31.4,31.4,274767,8627684,09:25:55,-116.296,2.807,2244237.9758,2243902.88128,0.03845
sh688006,杭可科技,29.7,0.35,1.193,29.63,29.7,29.35,29.7,29.7,29.7,94040,2792988,09:25:49,48.689,3.325,1792906.29144,1792906.29144,0.01558
sh688007,光峰科技,14.36,0.01,0.07,14.35,14.36,14.35,14.36,14.36,14.36,28200,404952,09:26:00,239.333,2.563,660008.05186,660008.05186,0.00614
sh688008,澜起科技,147.48,0.3,0.204,147.46,147.48,147.18,147.48,147.48,147.48,173846,25638808,09:25:55,74.863,13.947,18025005.909708,16907498.331708,0.01516
sh688009,中国通号,5.38,0.0,0.0,5.38,5.39,5.38,5.38,5.38,5.38,91310,491248,09:25:41,15.824,1.203,5697322.622,4638107.684,0.00106
sh688010,福光股份,33.82,0.0,0.0,33.81,33.82,33.82,33.82,33.82,33.82,3700,125134,09:25:44,559.934,3.235,543019.256796,543019.256796,0.0023
sh688011,新光光电,67.55,0.02,0.03,67.55,68.0,67.53,67.55,67.55,67.55,1300,87815,09:25:48,-99.338,6.313,675500.0,673220.342865,0.0013
sh688012,中微公司,323.1,2.74,0.855,323.1,323.4,320.36,323.1,323.1,323.1,74840,24180804,09:26:04,95.029,8.925,20255714.4411,20255714.4411,0.01194
sh688013,天臣医疗,38.07,-0.01,-0.026,38.07,38.13,38.08,38.07,38.07,38.07,6041,229981,09:26:07,58.569,5.153,308959.3692,308959.3692,0.00744
sh688015,交控科技,22.8,0.0,0.0,22.78,22.8,22.8,22.8,22.8,22.8,1730,39444,09:25:41,51.818,1.658,430192.09176,430192.09176,0.00092
sh688016,心脉医疗,101.09,-0.01,-0.01,101.09,101.2,101.1,101.09,101.09,101.09,2000,202180,09:26:07,21.74,3.058,1246056.740753,1246056.740753,0.00162
sh688017,绿的谐波,212.0,5.5,2.663,212.0,212.44,206.5,212.0,212.0,212.0,52560,11142720,09:25:44,638.362,11.085,3886598.65,3886598.65,0.02867
sh688018,乐鑫科技,151.58,0.48,0.318,151.58,151.59,151.1,151.58,151.58,151.58,8909,1350426,09:26:03,48.09,5.683,2533553.74558,2375299.860076,0.00569
sh688019,安集科技,252.11,0.26,0.103,252.11,253.0,251.85,252.11,252.11,252.11,22410,5649785,09:25:44,54.101,12.545,4411783.717556,4411783.717556,0.01281
sh688020,方邦股份,90.89,-0.01,-0.011,90.89,91.03,90.9,90.89,90.89,90.89,2800,254492,09:25:59,-79.728,5.415,748833.621,748833.621,0.0034
sh688021,奥福科技,24.08,-0.03,-0.124,24.08,24.11,24.11,24.08,24.08,24.08,7867,189437,09:25:53,-40.814,2.145,184004.230536,184004.230536,0.0103
sh688022,瀚川智能,16.91,-0.02,-0.118,16.91,16.98,16.93,16.91,16.91,16.91,6791,114836,09:25:52,-2.697,4.293,297410.245884,297410.245884,0.00386
sh688023,安恒信息,51.04,0.44,0.87,50.8,51.04,50.6,51.04,51.04,51.04,9900,505296,09:25:57,-89.544,2.189,519507.980816,519507.980816,0.00973
sh688025,杰普特,266.15,-5.43,-1.999,266.0,266.15,271.58,266.15,266.15,266.15,14938,3975749,09:25:48,90.836,11.006,2529740.393145,2529740.393145,0.01572
sh688026,洁特生物,16.24,0.02,0.123,16.24,16.3,16.22,16.24,16.24,16.24,3400,55216,09:26:00,31.231,2.059,227951.829448,227879.03852,0.00242
sh688027,国盾量子,594.77,16.77,2.901,592.0,594.77,578.0,594.77,594.77,594.77,62572,37215948,09:25:50,11895.4,18.852,6117863.756477,4780426.40449,0.07785
sh688028,沃尔德,97.6,-0.24,-0.245,97.6,98.23,97.84,97.6,97.6,97.6,64421,6287490,09:25:39,156.01,7.42,1473262.24,1473262.24,0.04268
sh688029,南微医学,75.41,0.21,0.279,75.41,75.8,75.2,75.41,75.41,75.41,2089,157531,09:25:43,25.563,3.479,1416557.409302,1416557.409302,0.00111
sh688030,山石网科,15.25,0.0,0.0,15.25,15.32,15.25,15.25,15.25,15.25,4991,76113,09:25:53,-14.202,3.85,274859.6987,274859.6987,0.00277
sh688031,星环科技,137.0,0.42,0.308,136.58,137.0,136.58,137.0,137.0,137.0,36691,5026667,09:26:06,-67.488,19.241,1659562.0492,1659562.0492,0.03029
sh688032,禾迈股份,113.43,0.33,0.292,113.43,113.53,113.1,113.43,113.43,113.43,7450,845054,09:25:43,40.656,2.413,1407366.220935,1407366.220935,0.006
sh688033,天宜新材,8.25,0.0,0.0,8.24,8.25,8.25,8.25,8.25,8.25,28597,235925,09:26:00,-3.113,1.407,463813.8417,463813.8417,0.00509
sh688035,德邦科技,62.64,0.02,0.032,62.64,62.87,62.62,62.64,62.64,62.64,7779,487277,09:26:09,82.421,3.834,890991.36,890991.36,0.00547
sh688036,传音控股,52.21,0.05,0.096,52.21,52.39,52.16,52.21,52.21,52.21,16966,885795,09:25:51,23.102,2.928,6010334.509445,6010334.509445,0.00147
sh688037,芯源微,182.9,0.91,0.5,182.9,182.98,181.99,182.9,182.9,182.9,14702,2688996,09:25:43,181.089,13.626,3687763.24384,3687763.24384,0.00729
sh688038,中科通达,22.98,0.35,1.547,22.62,22.98,22.63,22.98,22.98,22.98,700,16086,09:26:03,-143.625,4.521,267426.0732,267426.0732,0.0006
sh688039,当虹科技,42.75,0.1,0.234,42.75,42.76,42.65,42.75,42.75,42.75,2262,96701,09:25:44,-46.978,4.256,472821.0876,472821.0876,0.00205
sh688041,海光信息,252.5,0.5,0.198,252.23,252.5,252.0,252.5,252.5,252.5,80857,20416393,09:26:08,229.545,24.977,58689536.79775,58689536.79775,0.00348
sh688045,必易微,48.37,-0.28,-0.576,48.37,49.0,48.65,48.37,48.37,48.37,9202,445101,09:25:47,284.529,2.426,341380.895793,341380.895793,0.01304
sh688046,药康生物,18.84,-0.04,-0.212,18.72,18.84,18.88,18.84,18.84,18.84,5513,103865,09:26:03,69.778,3.509,772440.0,772440.0,0.00134
sh688047,龙芯中科,141.96,0.26,0.183,141.96,142.0,141.7,141.96,141.96,141.96,19318,2742383,09:25:41,-91.0,22.273,5692596.0,5692596.0,0.00482
sh688048,长光华芯,298.16,5.66,1.935,298.16,298.77,292.5,298.16,298.16,298.16,73600,21944576,09:25:54,-525.3,17.489,5255962.780488,5255962.780488,0.04175
sh688049,炬芯科技,46.71,0.06,0.129,46.69,46.71,46.65,46.71,46.71,46.71,2462,115000,09:25:53,39.585,3.999,818208.09315,818208.09315,0.00141
sh688050,爱博医疗,50.91,-0.17,-0.333,50.91,51.32,51.08,50.91,50.91,50.91,3439,175079,09:25:56,24.834,3.503,984615.563925,984615.563925,0.00178
sh688051,佳华科技,31.44,-0.01,-0.032,31.44,31.45,31.45,31.44,31.44,31.44,10126,318361,09:26:05,-20.154,4.058,243138.096,243138.096,0.01309
sh688052,纳芯微,156.21,0.0,0.0,156.2,156.21,156.21,156.21,156.21,156.21,4088,638586,09:25:58,-97.631,3.344,2540340.646893,2226436.651893,0.00287
sh688053,ST思科瑞,38.8,0.22,0.57,38.59,38.8,38.58,38.8,38.8,38.8,4949,192021,09:25:39,-184.762,2.412,388000.0,388000.0,0.00495
sh688055,龙腾光电,4.3,0.0,0.0,4.3,4.31,4.3,4.3,4.3,4.3,43936,188925,09:25:41,-75.439,3.489,1433333.362,1433333.362,0.00132
sh688056,莱伯泰科,35.05,0.06,0.171,35.05,35.16,34.99,35.05,35.05,35.05,610,21381,09:25:48,59.407,2.94,236420.8723,236420.8723,0.0009
sh688057,金达莱,12.38,-0.01,-0.081,12.38,12.39,12.39,12.38,12.38,12.38,600,7428,09:25:46,24.97,1.083,341688.0,341688.0,0.00022
sh688058,宝兰德,28.55,0.16,0.564,28.48,28.55,28.39,28.55,28.55,28.55,1693,48335,09:25:45,-36.139,3.401,216513.33312,216513.33312,0.00223
sh688059,华锐精密,121.11,0.02,0.017,121.11,121.98,121.09,121.11,121.11,121.11,11237,1360913,09:25:45,70.006,9.135,1210939.747248,1133330.012826,0.01201
sh688060,云涌科技,45.35,0.01,0.022,45.35,46.0,45.34,45.35,45.35,45.35,1100,49885,09:25:53,-77.521,3.031,272964.95148,272964.95148,0.00183
sh688061,灿瑞科技,32.4,0.24,0.746,32.1,32.4,32.16,32.4,32.4,32.4,7800,252720,09:25:42,-70.435,1.564,372241.62684,145868.38992,0.01733
sh688062,迈威生物,39.19,0.1,0.256,39.19,39.24,39.09,39.19,39.19,39.19,30642,1200860,09:25:44,-16.128,44.809,1566032.4,800142.23,0.01501
sh688063,派能科技,74.0,0.96,1.314,74.0,74.15,73.04,74.0,74.0,74.0,42328,3132272,09:25:52,211.429,1.973,1815658.4426,1815658.4426,0.01725
sh688065,凯赛生物,48.53,0.02,0.041,48.53,48.75,48.51,48.53,48.53,48.53,10008,485688,09:25:46,57.774,1.989,3500419.370282,2831133.623267,0.00172
sh688066,航天宏图,19.85,-0.13,-0.651,19.8,19.85,19.98,19.85,19.85,19.85,52285,1037857,09:25:40,-3.724,12.372,518637.53666,518637.53666,0.02001
sh688067,爱威科技,26.25,-0.15,-0.568,26.25,26.7,26.4,26.25,26.25,26.25,3500,91875,09:26:05,77.206,3.443,178500.0,178500.0,0.00515
sh688068,热景生物,124.1,-2.15,-1.703,124.01,124.1,126.25,124.1,124.1,124.1,21154,2625211,09:25:56,-58.538,3.923,1150505.5354,1150505.5354,0.02282
sh688069,德林海,34.8,0.09,0.259,34.8,34.92,34.71,34.8,34.8,34.8,1200,41760,09:25:40,-44.615,3.162,393240.0,393240.0,0.00106
sh688070,纵横股份,0.0,0.0,0.0,48.4,48.66,48.46,49.4,49.76,48.16,0,0,09:26:01,403.833,7.139,424412.68,424412.68,0.0
sh688071,华依科技,31.36,-0.26,-0.822,31.36,31.88,31.62,31.36,31.36,31.36,3540,111014,09:25:52,-57.018,2.511,265900.574464,265900.574464,0.00418
sh688072,拓荆科技,403.0,1.0,0.249,403.0,403.49,402.0,403.0,403.0,403.0,9814,3955042,09:25:43,162.5,18.685,11392528.3836,11392528.3836,0.00347
sh688073,毕得医药,62.77,0.07,0.112,62.71,62.77,62.7,62.77,62.77,62.77,3600,225972,09:25:58,47.553,2.849,570472.264596,570472.264596,0.00396
sh688075,安旭生物,0.0,0.0,0.0,39.0,39.28,39.01,0.0,0.0,0.0,0,0,09:25:59,25.834,0.96,495750.022305,495750.022305,0.0
sh688076,ST诺泰,30.88,-0.05,-0.162,30.88,31.11,30.93,30.88,30.88,30.88,1500,46320,09:25:46,16.426,3.139,975968.257936,975968.257936,0.00047
sh688077,大地熊,29.45,0.08,0.272,29.45,29.57,29.37,29.45,29.45,29.45,5383,158529,09:26:01,58.9,3.066,337139.19428,337139.19428,0.0047
sh688078,龙软科技,24.1,0.1,0.417,24.1,24.15,24.0,24.1,24.1,24.1,7971,192101,09:25:49,52.391,2.447,175672.13,175672.13,0.01094
sh688079,美迪凯,15.14,-0.15,-0.981,15.14,15.22,15.29,15.14,15.14,15.14,245922,3723259,09:25:50,-38.821,4.881,622967.363492,612118.160612,0.06083
sh688080,映翰通,55.63,0.45,0.816,55.63,55.68,55.18,55.63,55.63,55.63,600,33378,09:25:48,31.608,3.649,409749.062316,409749.062316,0.00081
sh688081,兴图新科,50.0,0.64,1.297,49.98,50.0,49.36,50.0,50.0,50.0,17295,864750,09:25:52,-63.291,13.17,515200.0,515200.0,0.01678
sh688082,盛美上海,155.06,-0.94,-0.603,155.06,155.6,156.0,155.06,155.06,155.06,19711,3056388,09:25:56,50.019,5.528,7445435.218234,7365057.494816,0.00415
sh688083,中望软件,57.26,0.62,1.095,56.99,57.26,56.64,57.26,57.26,57.26,39302,2250433,09:26:07,108.038,3.744,971394.404596,971394.404596,0.02317
sh688084,晶品特装,68.01,-0.28,-0.41,68.01,68.1,68.29,68.01,68.01,68.01,5142,349707,09:25:44,-89.487,3.281,514557.307866,514557.307866,0.0068
sh688085,三友医疗,18.1,0.0,0.0,18.09,18.1,18.1,18.1,18.1,18.1,2100,38010,09:25:49,362.0,2.909,603567.12138,576921.9883,0.00066
sh688087,英科再生,37.82,0.0,0.0,37.81,37.92,37.82,37.82,37.82,37.82,200,7564,09:25:44,22.921,2.675,733915.15905,704380.44318,0.00011
sh688088,虹软科技,41.43,0.36,0.877,41.31,41.43,41.07,41.43,41.43,41.43,6900,285867,09:25:48,94.159,6.242,1662048.9672,1662048.9672,0.00172
sh688089,嘉必优,18.2,-0.22,-1.194,18.2,18.5,18.42,18.2,18.2,18.2,5115,93093,09:25:57,24.595,1.882,306322.5984,306322.5984,0.00304
sh688090,瑞松科技,69.11,0.81,1.186,68.98,69.11,68.3,69.11,69.11,69.11,6005,415006,09:25:48,575.917,9.529,845699.512304,845699.512304,0.00491
sh688091,上海谊众,57.88,0.66,1.153,57.88,57.89,57.22,57.88,57.88,57.88,37965,2197414,09:25:48,1929.333,8.189,1196400.66832,1196400.66832,0.01837
sh688092,爱科科技,28.88,0.18,0.627,28.88,28.89,28.7,28.88,28.88,28.88,7236,208976,09:26:01,35.22,3.678,238732.88112,238732.88112,0.00875
sh688093,世华科技,33.67,0.0,0.0,33.55,33.67,33.67,33.67,33.67,33.67,3103,104478,09:26:00,31.467,3.343,944048.857297,944048.857297,0.00111
sh688095,福昕软件,74.01,0.84,1.148,74.0,74.01,73.17,74.01,74.01,74.01,6074,449537,09:26:06,244.419,2.672,676151.837124,676151.837124,0.00665
sh688096,京源环保,8.46,-0.01,-0.118,8.41,8.46,8.47,8.46,8.46,8.46,8314,70336,09:26:01,-52.875,2.223,199693.810278,199693.810278,0.00352
sh688097,博众精工,63.88,-0.01,-0.016,63.88,64.35,63.89,63.88,63.88,63.88,16425,1049229,09:25:58,48.102,5.969,2853185.92282,2842715.99082,0.00369
sh688098,申联生物,9.12,0.06,0.662,9.12,9.14,9.06,9.12,9.12,9.12,31882,290764,09:25:42,-82.909,2.656,374507.328,374507.328,0.00776
sh688099,晶晨股份,81.53,0.36,0.444,81.53,81.6,81.17,81.53,81.53,81.53,17277,1408594,09:25:41,39.197,4.674,3433763.242789,3433763.242789,0.0041
sh688100,威胜信息,38.2,0.0,0.0,38.19,38.2,38.2,38.2,38.2,38.2,10757,410917,09:25:44,28.088,5.307,1878237.3685,1878237.3685,0.00219
sh688101,三达膜,16.77,0.2,1.207,16.62,16.77,16.57,16.77,16.77,16.77,1571,26346,09:25:40,17.653,1.281,556784.234682,556784.234682,0.00047
sh688102,斯瑞新材,35.98,-0.28,-0.772,35.98,36.0,36.26,35.98,35.98,35.98,110017,3958412,09:25:55,228.444,15.439,2797782.517586,2797782.517586,0.01415
sh688103,国力电子,56.27,-0.01,-0.018,56.27,56.28,56.28,56.27,56.27,56.27,2200,123794,09:26:03,175.844,4.776,536340.689882,536340.689882,0.00231
sh688105,诺唯赞,0.0,0.0,0.0,19.56,19.64,19.57,0.0,0.0,0.0,0,0,09:25:58,-391.4,2.025,778366.502608,778366.502608,0.0
sh688106,金宏气体,27.9,0.2,0.722,27.9,27.98,27.7,27.9,27.9,27.9,193652,5402891,09:26:07,99.643,4.711,1400179.85262,1400179.85262,0.03859
sh688107,安路科技,30.21,0.1,0.332,30.21,30.36,30.11,30.21,30.21,30.21,12010,362822,09:26:03,-44.446,12.835,1210965.937707,1210965.937707,0.003
sh688108,赛诺医疗,21.89,-0.15,-0.681,21.86,21.89,22.04,21.89,21.89,21.89,37444,819649,09:26:01,199.0,9.863,914896.928,914896.928,0.00896
sh688109,品茗科技,0.0,0.0,0.0,123.99,124.0,121.96,0.0,0.0,0.0,0,0,09:26:04,304.9,12.081,961560.6908,961560.6908,0.0
sh688110,东芯股份,117.32,-0.88,-0.745,117.32,117.44,118.2,117.32,117.32,117.32,97638,11454890,09:25:56,-308.737,16.68,5188474.160856,5188474.160856,0.02208
sh688111,金山办公,246.6,2.28,0.933,246.5,246.6,244.32,246.6,246.6,246.6,75361,18584023,09:25:40,62.116,8.89,11426756.50386,11426756.50386,0.01626
sh688112,鼎阳科技,49.66,0.16,0.323,49.66,49.91,49.5,49.66,49.66,49.66,14679,728959,09:25:39,55.178,4.94,792558.120978,792558.120978,0.0092
sh688113,联测科技,38.0,0.05,0.132,37.98,38.0,37.95,38.0,38.0,38.0,800,30400,09:25:40,29.457,2.48,244710.7242,244710.7242,0.00124
sh688114,华大智造,51.07,-0.01,-0.02,51.07,51.2,51.08,51.07,51.07,51.07,14624,746848,09:25:44,-34.979,2.753,2127148.003585,2116007.46611,0.00353
sh688115,思林杰,40.99,0.2,0.49,40.83,40.99,40.79,40.99,40.99,40.99,1000,40990,09:26:07,178.217,2.183,273280.33,273280.33,0.0015
sh688116,天奈科技,40.8,0.47,1.165,40.78,40.8,40.33,40.8,40.8,40.8,19188,782870,09:25:53,55.89,4.045,1495450.68648,1495450.68648,0.00524
sh688117,圣诺生物,37.3,-0.03,-0.08,36.87,37.3,37.33,37.3,37.3,37.3,11201,417797,09:25:59,82.889,5.689,587049.69794,587049.69794,0.00712
sh688118,普元信息,28.88,0.33,1.156,28.88,28.9,28.55,28.88,28.88,28.88,4678,135101,09:25:53,406.761,3.269,269498.667144,269498.667144,0.00501
sh688119,中钢洛耐,5.09,0.0,0.0,5.09,5.12,5.09,5.09,5.09,5.09,43445,221135,09:25:49,-96.952,1.921,572625.0,572625.0,0.00386
sh688120,华海清科,185.4,1.91,1.041,185.05,185.4,183.49,185.4,185.4,185.4,15162,2811035,09:26:04,42.818,9.104,6556707.91314,6556707.91314,0.00429
sh688121,卓然股份,10.9,0.04,0.368,10.9,10.91,10.86,10.9,10.9,10.9,18592,202653,09:26:07,22.708,0.978,254639.26327,220906.66703,0.00917
sh688122,西部超导,73.23,-0.07,-0.095,73.23,73.26,73.3,73.23,73.23,73.23,67110,4914465,09:25:54,59.411,6.88,4757493.111531,4757493.111531,0.01033
sh688123,聚辰股份,122.22,-0.94,-0.763,122.22,122.37,123.16,122.22,122.22,122.22,83246,10174326,09:26:06,53.139,7.375,1934388.699768,1934388.699768,0.0526
sh688125,安达智能,0.0,0.0,0.0,251.0,252.88,247.62,0.0,0.0,0.0,0,0,09:25:53,-651.632,10.91,2033612.827272,2022801.242832,0.0
sh688126,沪硅产业,17.87,0.11,0.619,17.87,17.88,17.76,17.87,17.87,17.87,41825,747413,09:25:57,-50.623,5.235,5906076.803291,4881474.020059,0.00153
