代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.67,0.75,0.02,2.67,2.67,2426000.0,6453190.0,2.67,2.65,2.67,2.65
00991,大唐发电,2.5,-0.4,-0.01,2.5,2.5,2790000.0,7001670.0,2.51,2.51,2.53,2.49
03369,秦港股份,2.45,-0.41,-0.01,2.45,2.45,17000.0,41795.0,2.46,2.46,2.46,2.45
02016,浙商银行,2.44,0.41,0.01,2.44,2.44,1327000.0,3227734.0,2.43,2.43,2.44,2.42
00525,广深铁路股份,2.3,2.22,0.05,2.3,2.3,1312000.0,2994820.0,2.27,2.25,2.3,2.25
00895,东江环保,2.1,0.96,0.02,2.1,2.1,68400.0,143458.0,2.11,2.08,2.11,2.07
01375,中州证券,1.94,1.57,0.03,1.94,1.94,1680000.0,3263140.0,1.94,1.91,1.95,1.93
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,4387000.0,7062070.0,1.61,1.6,1.62,1.6
00347,鞍钢股份,1.56,-0.64,-0.01,1.56,1.56,1320000.0,2063840.0,1.57,1.57,1.59,1.55
01528,红星美凯龙,1.3,0.78,0.01,1.3,1.3,440000.0,570188.0,1.3,1.29,1.3,1.28
00338,上海石油化工股份,1.28,0.79,0.01,1.28,1.28,4612000.0,5936580.0,1.28,1.27,1.3,1.27
03996,中国能源建设,1.26,0.8,0.01,1.26,1.26,11266000.0,14181810.0,1.25,1.25,1.27,1.25
02866,中远海发,1.18,-0.84,-0.01,1.18,1.18,1307000.0,1532670.0,1.19,1.19,1.19,1.17
01812,晨鸣纸业,1.15,1.77,0.02,1.15,1.15,133000.0,152955.0,1.13,1.13,1.16,1.13
01053,重庆钢铁股份,1.15,0.88,0.01,1.15,1.15,1634000.0,1876720.0,1.15,1.14,1.16,1.15
06196,郑州银行,1.02,0.99,0.01,1.02,1.02,213000.0,215600.0,1.02,1.01,1.02,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,828000.0,709880.0,0.87,0.86,0.87,0.85
01033,中石化油服,0.83,-1.19,-0.01,0.83,0.83,9644000.0,8019840.0,0.84,0.84,0.84,0.83
00588,北京北辰实业股份,0.82,1.23,0.01,0.82,0.82,7478000.0,6116640.0,0.82,0.81,0.83,0.81
02009,金隅集团,0.78,-1.27,-0.01,0.78,0.78,772000.0,603320.0,0.79,0.79,0.79,0.78
03750,宁德时代,712.0,8.62,56.5,712.0,712.0,2605191.0,1836843583.0,684.5,655.5,723.0,682.5
03986,兆易创新,420.6,3.19,13.0,420.6,420.6,498707.0,206890324.2,409.0,407.6,426.2,398.8
06809,澜起科技,215.0,6.23,12.6,215.0,215.0,507010.0,105708519.4,202.4,202.4,216.0,199.4
06869,长飞光纤光缆,206.6,0.49,1.0,206.6,206.6,5101848.0,1040197914.8,203.0,205.6,209.4,199.0
09980,东鹏饮料,204.6,-0.68,-1.4,204.6,204.6,20800.0,4258320.0,206.0,206.0,206.4,204.0
06160,百济神州,194.5,2.1,4.0,194.5,194.5,1444114.0,280349159.8,193.0,190.5,196.0,192.0
03200,大族数控,138.3,6.38,8.3,138.3,138.3,403594.0,55225543.0,131.2,130.0,139.6,130.8
01989,广合科技,132.5,3.27,4.2,132.5,132.5,574800.0,75572210.0,128.2,128.3,133.4,128.0
02359,药明康德,131.1,0.54,0.7,131.1,131.1,1158305.0,151458775.3,131.5,130.4,132.0,129.9
02676,纳芯微,128.7,3.62,4.5,128.7,128.7,70500.0,9004030.0,127.6,124.2,129.8,124.3
01304,峰岹科技,121.5,4.83,5.6,121.5,121.5,288200.0,35598640.0,117.8,115.9,127.8,117.8
09995,荣昌生物,118.0,-0.25,-0.3,118.0,118.0,1892700.0,223658836.0,121.0,118.3,121.0,115.2
01211,比亚迪股份,111.9,4.29,4.6,111.9,111.9,10878951.0,1206063220.6,108.5,107.3,112.6,108.2
06821,凯莱英,100.6,1.98,1.95,100.6,100.6,77100.0,7734465.0,100.4,98.65,101.2,98.65
01347,华虹半导体,91.7,1.44,1.3,91.7,91.7,3614069.0,330156074.75,91.05,90.4,92.55,89.95
06166,剑桥科技,88.05,1.97,1.7,88.05,88.05,1576375.0,136380850.0,85.95,86.35,88.8,84.55
00300,美的集团,86.7,0.41,0.35,86.7,86.7,388280.0,33701906.9,86.45,86.35,87.6,86.35
01772,赣锋锂业,82.75,5.48,4.3,82.75,82.75,7996813.0,659634912.45,79.7,78.45,84.85,78.8
00941,中国移动,81.6,0.31,0.25,81.6,81.6,2013146.0,164037872.1,81.35,81.35,81.6,81.3
09927,赛力斯,80.95,2.34,1.85,80.95,80.95,273900.0,22093575.0,79.7,79.1,81.45,79.65
02648,安井食品,80.65,0.44,0.35,80.65,80.65,42200.0,3422987.5,80.35,80.3,81.55,80.35
00501,豪威集团,79.75,1.4,1.1,79.75,79.75,328700.0,26054040.0,79.0,78.65,79.9,78.1
01276,恒瑞医药,68.0,-0.44,-0.3,68.0,68.0,957700.0,65386980.0,69.1,68.3,69.3,67.45
02692,兆威机电,67.4,3.61,2.35,67.4,67.4,238460.0,15934599.0,65.95,65.05,68.0,65.5
01880,中国中免,66.1,0.61,0.4,66.1,66.1,135300.0,8937530.0,66.4,65.7,66.4,65.8
02318,中国平安,62.6,0.08,0.05,62.6,62.6,6459826.0,405211177.55,62.55,62.55,63.05,62.4
03606,福耀玻璃,62.25,0.57,0.35,62.25,62.25,153600.0,9579290.0,61.75,61.9,63.5,61.75
02315,百奥赛图-B,59.85,-2.05,-1.25,59.85,59.85,223500.0,13409825.0,62.35,61.1,62.35,59.15
00981,中芯国际,59.45,0.25,0.15,59.45,59.45,11628271.0,692191552.4,59.3,59.3,60.15,58.75
02631,天岳先进,56.3,1.53,0.85,56.3,56.3,439200.0,24747665.0,55.5,55.45,57.25,55.1
09696,天齐锂业,55.6,3.25,1.75,55.6,55.6,5115800.0,287080880.0,54.75,53.85,57.65,54.3
00470,先导智能,51.4,5.24,2.56,51.4,51.4,1070800.0,55090483.6,49.0,48.84,52.5,49.0
03968,招商银行,51.25,0.89,0.45,51.25,51.25,4481770.0,229410240.0,51.0,50.8,51.45,51.0
00168,青岛啤酒股份,50.8,-0.59,-0.3,50.8,50.8,548000.0,27830300.0,51.5,51.1,51.5,50.55
02768,国恩科技,47.9,0.63,0.3,47.9,47.9,71600.0,3433988.0,47.6,47.6,48.74,47.2
01336,新华保险,47.82,0.72,0.34,47.82,47.82,1059624.0,50668832.16,47.46,47.48,48.04,47.46
01088,中国神华,45.98,0.83,0.38,45.98,45.98,3449498.0,157503350.0,45.6,45.6,46.06,45.2
03347,泰格医药,44.16,-1.21,-0.54,44.16,44.16,262700.0,11644200.0,44.7,44.7,45.14,43.74
02714,牧原股份,42.68,-0.74,-0.32,42.68,42.68,398600.0,16954504.0,43.28,43.0,43.48,42.0
06693,赤峰黄金,41.78,-0.05,-0.02,41.78,41.78,836600.0,34974748.0,42.5,41.8,42.5,41.52
01072,东方电气,40.98,4.7,1.84,40.98,40.98,8468143.0,349597593.16,39.86,39.14,42.64,39.2
01385,上海复旦,40.6,1.91,0.76,40.6,40.6,660000.0,26673760.0,40.96,39.84,40.96,39.68
02579,中伟新材,39.2,2.35,0.9,39.2,39.2,493400.0,19273660.0,39.36,38.3,39.5,38.02
00358,江西铜业股份,39.08,-0.26,-0.1,39.08,39.08,3500000.0,137137644.0,39.0,39.18,39.58,38.94
03898,时代电气,37.92,-0.73,-0.28,37.92,37.92,318600.0,12106599.0,38.62,38.2,38.62,37.88
02899,紫金矿业,37.78,-0.53,-0.2,37.78,37.78,9574047.0,362900209.74,38.0,37.98,38.2,37.72
03288,海天味业,36.48,-0.05,-0.02,36.48,36.48,70239.0,2572281.74,36.66,36.5,36.88,36.46
06936,顺丰控股,35.72,-1.16,-0.42,35.72,35.72,283000.0,10169792.0,36.4,36.14,36.4,35.72
06185,康希诺生物,34.38,0.41,0.14,34.38,34.38,107400.0,3677040.0,34.34,34.24,34.5,33.98
02601,中国太保,33.84,-0.06,-0.02,33.84,33.84,682200.0,23118696.0,33.84,33.86,34.18,33.64
01787,山东黄金,32.76,-1.03,-0.34,32.76,32.76,3780389.0,123886155.5,33.3,33.1,33.36,32.52
02865,钧达股份,32.6,2.58,0.82,32.6,32.6,2695700.0,87350066.0,31.8,31.78,32.98,31.52
02338,潍柴动力,32.08,-0.68,-0.22,32.08,32.08,3218230.0,103519554.2,33.14,32.3,33.14,31.86
02050,三花智控,31.64,1.93,0.6,31.64,31.64,6288544.0,200757987.6,31.72,31.04,32.74,31.62
01513,丽珠医药,29.36,0.07,0.02,29.36,29.36,216100.0,6335314.0,29.34,29.34,29.52,29.04
