代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.763,0.012,1.598,0.763,0.764,0.751,0.752,0.763,0.752,832484,632558
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,534600,90140
sh900903,大众Ｂ股,0.187,-0.001,-0.532,0.187,0.188,0.188,0.188,0.189,0.187,356725,66998
sh900904,神奇B股,0.499,0.003,0.605,0.493,0.499,0.496,0.493,0.501,0.486,65454,32035
sh900905,老凤祥Ｂ,3.371,0.007,0.208,3.37,3.371,3.364,3.363,3.372,3.36,46407,156166
sh900906,中毅达B,0.278,0.002,0.725,0.276,0.278,0.276,0.276,0.279,0.275,146700,40545
sh900908,氯碱Ｂ股,0.693,0.001,0.145,0.692,0.693,0.692,0.693,0.695,0.691,108100,74883
sh900909,华谊B股,0.526,-0.002,-0.379,0.526,0.527,0.528,0.529,0.53,0.521,123800,65163
sh900910,海立Ｂ股,0.57,0.001,0.176,0.57,0.571,0.569,0.568,0.574,0.563,312212,177751
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.771,0.772,0.764,0.764,0.772,0.764,297833,228948
sh900912,外高Ｂ股,0.693,0.005,0.727,0.694,0.695,0.688,0.688,0.698,0.686,307400,213282
sh900913,国新B股,0.216,-0.001,-0.461,0.213,0.216,0.217,0.212,0.218,0.212,217416,46250
sh900914,锦在线B,0.481,0.005,1.05,0.479,0.481,0.476,0.475,0.483,0.475,144000,69027
sh900915,中路Ｂ股,0.355,-0.004,-1.114,0.357,0.359,0.359,0.359,0.359,0.355,46640,16581
sh900916,凤凰B股,0.387,0.001,0.259,0.385,0.387,0.386,0.388,0.388,0.385,36700,14204
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.274,0.272,232100,63422
sh900918,耀皮Ｂ股,0.35,0.0,0.0,0.35,0.352,0.35,0.352,0.353,0.35,77800,27371
sh900920,动力Ｂ股,0.38,0.002,0.529,0.377,0.38,0.378,0.38,0.382,0.373,622476,236081
sh900921,金煤B股,0.179,0.0,0.0,0.178,0.179,0.179,0.178,0.18,0.176,481274,85639
sh900922,三毛B股,0.717,0.01,1.414,0.712,0.716,0.707,0.733,0.733,0.713,44300,31792
sh900923,百联Ｂ股,0.493,-0.005,-1.004,0.493,0.496,0.498,0.498,0.498,0.49,280250,137851
sh900924,上工Ｂ股,0.351,-0.001,-0.284,0.349,0.351,0.352,0.349,0.351,0.349,89822,31404
sh900925,机电Ｂ股,1.415,-0.004,-0.282,1.415,1.418,1.419,1.419,1.43,1.408,273500,387681
sh900926,宝信Ｂ,1.028,0.016,1.581,1.028,1.029,1.012,1.012,1.032,1.008,647779,660688
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.361,0.364,0.361,0.361,0.365,0.361,47900,17300
sh900928,临港B股,0.645,-0.005,-0.769,0.647,0.649,0.65,0.65,0.654,0.645,108600,70473
sh900929,锦旅Ｂ股,1.135,0.002,0.177,1.13,1.135,1.133,1.13,1.136,1.129,25400,28730
sh900932,陆家Ｂ股,0.404,0.001,0.248,0.403,0.404,0.403,0.403,0.405,0.402,222617,89708
sh900934,锦江Ｂ股,1.512,0.007,0.465,1.509,1.512,1.505,1.51,1.515,1.508,102400,154836
sh900936,鄂资Ｂ股,1.245,0.028,2.301,1.244,1.245,1.217,1.213,1.245,1.213,933577,1155451
sh900937,华电B股,0.168,-0.002,-1.176,0.168,0.169,0.17,0.168,0.169,0.167,1265100,212244
sh900938,海科B,0.229,-0.001,-0.435,0.228,0.229,0.23,0.23,0.23,0.229,35600,8158
sh900939,汇丽B,0.594,-0.01,-1.656,0.594,0.595,0.604,0.596,0.598,0.589,247200,146775
sh900940,大名城B,0.243,0.004,1.674,0.243,0.244,0.239,0.239,0.245,0.238,347258,83651
sh900941,东信Ｂ股,0.503,0.007,1.411,0.502,0.503,0.496,0.502,0.504,0.498,779400,391152
sh900942,黄山Ｂ股,0.71,-0.003,-0.421,0.71,0.713,0.713,0.711,0.712,0.709,40500,28768
