代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.66,0.38,0.01,2.66,2.66,9411000.0,24939400.0,2.67,2.65,2.67,2.63
00991,大唐发电,2.51,0.0,0.0,2.51,2.51,12651000.0,31674330.0,2.51,2.51,2.53,2.49
03369,秦港股份,2.46,0.0,0.0,2.46,2.46,324500.0,799310.0,2.46,2.46,2.47,2.45
02016,浙商银行,2.43,0.0,0.0,2.43,2.43,3317700.0,8074615.0,2.43,2.43,2.44,2.42
00525,广深铁路股份,2.32,3.11,0.07,2.32,2.32,12502000.0,29137014.0,2.27,2.25,2.37,2.25
00895,东江环保,2.14,2.88,0.06,2.14,2.14,831600.0,1759345.0,2.11,2.08,2.15,2.07
01375,中州证券,1.95,2.09,0.04,1.95,1.95,9113000.0,17728690.0,1.94,1.91,1.97,1.93
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,14508000.0,23368050.0,1.61,1.6,1.62,1.6
00347,鞍钢股份,1.55,-1.27,-0.02,1.55,1.55,6967000.0,10858080.0,1.57,1.57,1.59,1.55
01528,红星美凯龙,1.31,1.55,0.02,1.31,1.31,3103000.0,4014028.0,1.3,1.29,1.31,1.28
00338,上海石油化工股份,1.28,0.79,0.01,1.28,1.28,13142000.0,16896290.0,1.28,1.27,1.3,1.27
03996,中国能源建设,1.26,0.8,0.01,1.26,1.26,54576000.0,68679084.0,1.25,1.25,1.27,1.25
02866,中远海发,1.18,-0.84,-0.01,1.18,1.18,10633000.0,12513080.0,1.19,1.19,1.19,1.17
01812,晨鸣纸业,1.17,3.54,0.04,1.17,1.17,689000.0,797310.0,1.13,1.13,1.18,1.13
01053,重庆钢铁股份,1.15,0.88,0.01,1.15,1.15,5060000.0,5826760.0,1.15,1.14,1.16,1.14
06196,郑州银行,1.03,1.98,0.02,1.03,1.03,2919000.0,2972000.0,1.02,1.01,1.03,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,1411100.0,1207700.0,0.87,0.86,0.87,0.85
01033,中石化油服,0.85,1.19,0.01,0.85,0.85,43585000.0,36421420.0,0.84,0.84,0.85,0.83
00588,北京北辰实业股份,0.81,0.0,0.0,0.81,0.81,23376000.0,19044640.0,0.82,0.81,0.83,0.8
02009,金隅集团,0.79,0.0,0.0,0.79,0.79,8015000.0,6265600.0,0.79,0.79,0.79,0.78
03750,宁德时代,714.5,9.0,59.0,714.5,714.5,5743359.0,4089223966.47,684.5,655.5,729.0,682.5
03986,兆易创新,462.4,13.44,54.8,462.4,462.4,2422726.0,1060016194.2,409.0,407.6,462.4,398.8
06809,澜起科技,218.6,8.0,16.2,218.6,218.6,2307813.0,500370078.0,202.4,202.4,224.0,199.4
06869,长飞光纤光缆,218.0,6.03,12.4,218.0,218.0,18104366.0,3845776878.2,203.0,205.6,221.2,199.0
09980,东鹏饮料,207.0,0.49,1.0,207.0,207.0,104300.0,21644610.0,206.0,206.0,213.0,204.0
06160,百济神州,196.5,3.15,6.0,196.5,196.5,5111545.0,998474244.0,193.0,190.5,197.4,192.0
03200,大族数控,145.0,11.54,15.0,145.0,145.0,1486277.0,208751013.6,131.2,130.0,146.7,130.8
01989,广合科技,140.0,9.12,11.7,140.0,140.0,2174382.0,295605836.2,128.2,128.3,141.2,128.0
02676,纳芯微,136.6,9.98,12.4,136.6,136.6,501000.0,66750930.0,127.6,124.2,137.9,124.3
02359,药明康德,130.6,0.15,0.2,130.6,130.6,3900104.0,509105152.2,131.5,130.4,132.0,129.3
01304,峰岹科技,121.8,5.09,5.9,121.8,121.8,578800.0,70854525.0,117.8,115.9,127.8,117.8
09995,荣昌生物,118.0,-0.25,-0.3,118.0,118.0,4636141.0,550092461.5,121.0,118.3,121.2,115.2
01211,比亚迪股份,113.2,5.5,5.9,113.2,113.2,37146188.0,4165153338.4,108.5,107.3,113.4,108.2
06821,凯莱英,100.7,2.08,2.05,100.7,100.7,300640.0,30146352.0,100.4,98.65,101.8,98.65
01347,华虹半导体,91.6,1.33,1.2,91.6,91.6,14429274.0,1314954456.8,91.05,90.4,92.55,89.45
06166,剑桥科技,91.05,5.44,4.7,91.05,91.05,5648595.0,502212317.0,85.95,86.35,92.0,84.55
00300,美的集团,88.3,2.26,1.95,88.3,88.3,3030390.0,265568818.3,86.45,86.35,88.4,86.35
01772,赣锋锂业,84.15,7.27,5.7,84.15,84.15,16687613.0,1386668895.95,79.7,78.45,84.85,78.8
00941,中国移动,81.6,0.31,0.25,81.6,81.6,18754345.0,1531960907.8,81.35,81.35,82.0,81.3
09927,赛力斯,81.4,2.91,2.3,81.4,81.4,814746.0,65914448.5,79.7,79.1,81.6,79.65
00501,豪威集团,80.1,1.84,1.45,80.1,80.1,924721.0,73934054.9,79.0,78.65,80.95,78.1
02648,安井食品,79.2,-1.37,-1.1,79.2,79.2,591651.0,47010785.2,80.35,80.3,81.55,78.1
02692,兆威机电,68.8,5.76,3.75,68.8,68.8,941100.0,63981736.0,65.95,65.05,70.45,65.5
01276,恒瑞医药,68.55,0.37,0.25,68.55,68.55,3527919.0,240559995.3,69.1,68.3,69.3,67.15
01880,中国中免,67.05,2.05,1.35,67.05,67.05,1125600.0,74973397.5,66.4,65.7,67.25,65.8
03606,福耀玻璃,62.95,1.7,1.05,62.95,62.95,1250570.0,78353846.0,61.75,61.9,63.5,61.75
02318,中国平安,62.65,0.16,0.1,62.65,62.65,27004059.0,1690597050.3,62.55,62.55,63.05,62.3
00981,中芯国际,59.95,1.1,0.65,59.95,59.95,48238382.0,2873327858.9,59.3,59.3,60.15,58.75
02315,百奥赛图-B,59.0,-3.44,-2.1,59.0,59.0,1690500.0,100391450.0,62.35,61.1,62.35,57.55
02631,天岳先进,58.0,4.6,2.55,58.0,58.0,1603259.0,91767190.45,55.5,55.45,58.4,55.1
09696,天齐锂业,56.65,5.2,2.8,56.65,56.65,12880400.0,724161748.2,54.75,53.85,57.65,54.3
03968,招商银行,51.3,0.98,0.5,51.3,51.3,14534082.0,744677719.85,51.0,50.8,51.45,51.0
00470,先导智能,51.0,4.42,2.16,51.0,51.0,2142600.0,109934018.6,49.0,48.84,52.5,49.0
00168,青岛啤酒股份,50.5,-1.17,-0.6,50.5,50.5,2814308.0,142591375.6,51.5,51.1,51.5,50.45
01336,新华保险,50.3,5.94,2.82,50.3,50.3,13528504.0,667290372.36,47.46,47.48,50.45,47.46
02768,国恩科技,47.56,-0.08,-0.04,47.56,47.56,246400.0,11818252.0,47.6,47.6,48.74,47.2
01088,中国神华,46.08,1.05,0.48,46.08,46.08,13812691.0,634667323.64,45.6,45.6,46.16,45.2
03347,泰格医药,43.78,-2.06,-0.92,43.78,43.78,1685599.0,74278275.18,44.7,44.7,45.14,43.58
02714,牧原股份,43.04,0.09,0.04,43.04,43.04,1644300.0,70329253.0,43.28,43.0,43.48,42.0
01072,东方电气,42.84,9.45,3.7,42.84,42.84,23251645.0,974516510.64,39.86,39.14,43.0,39.2
06693,赤峰黄金,42.28,1.15,0.48,42.28,42.28,4177579.0,175132507.06,42.5,41.8,42.5,41.52
01385,上海复旦,40.34,1.26,0.5,40.34,40.34,2610556.0,105775988.54,40.96,39.84,40.96,39.68
00358,江西铜业股份,40.04,2.19,0.86,40.04,40.04,15153959.0,601242047.42,39.0,39.18,40.3,38.92
02579,中伟新材,38.78,1.25,0.48,38.78,38.78,1179800.0,45790284.0,39.36,38.3,39.5,38.02
03898,时代电气,38.18,-0.05,-0.02,38.18,38.18,2327754.0,88335658.48,38.62,38.2,38.62,37.48
02899,紫金矿业,37.82,-0.42,-0.16,37.82,37.82,41570673.0,1573921778.78,38.0,37.98,38.2,37.62
03288,海天味业,36.38,-0.33,-0.12,36.38,36.38,708938.0,25946872.92,36.66,36.5,36.9,36.28
06936,顺丰控股,35.98,-0.44,-0.16,35.98,35.98,1722600.0,61853800.0,36.4,36.14,36.4,35.66
06185,康希诺生物,35.2,2.8,0.96,35.2,35.2,1092000.0,38093986.0,34.34,34.24,35.42,33.98
02601,中国太保,34.1,0.71,0.24,34.1,34.1,7340373.0,249646594.38,33.84,33.86,34.36,33.64
01787,山东黄金,33.2,0.3,0.1,33.2,33.2,11750636.0,387717941.62,33.3,33.1,33.48,32.52
02865,钧达股份,33.14,4.28,1.36,33.14,33.14,7829100.0,256679713.0,31.8,31.78,33.44,31.52
02338,潍柴动力,32.74,1.36,0.44,32.74,32.74,14190976.0,459477520.3,33.14,32.3,33.14,31.66
02050,三花智控,31.62,1.87,0.58,31.62,31.62,11381463.0,361429623.54,31.72,31.04,32.74,31.3
01513,丽珠医药,29.34,0.0,0.0,29.34,29.34,723116.0,21218135.34,29.34,29.34,29.52,29.04
02628,中国人寿,28.06,2.33,0.64,28.06,28.06,43424869.0,1214357853.76,27.42,27.42,28.18,27.4
01877,君实生物,27.54,0.15,0.04,27.54,27.54,3902600.0,107628222.0,27.6,27.5,27.98,27.02
06030,中信证券,27.24,1.34,0.36,27.24,27.24,14118000.0,386173118.74,27.2,26.88,27.7,27.1
00883,中国海洋石油,26.7,1.83,0.48,26.7,26.7,78128787.0,2082651026.22,26.34,26.22,26.98,26.14
03268,美格智能,25.3,11.75,2.66,25.3,25.3,6739660.0,167504484.0,23.18,22.64,26.3,23.02
09611,龙旗科技,25.0,1.96,0.48,25.0,25.0,589600.0,14731316.0,24.66,24.52,25.26,24.64
