代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.76,0.009,1.198,0.76,0.761,0.751,0.752,0.761,0.752,616484,468016
sh900902,市北B股,0.168,-0.001,-0.592,0.168,0.169,0.169,0.17,0.17,0.168,534100,90055
sh900903,大众Ｂ股,0.188,0.0,0.0,0.188,0.189,0.188,0.188,0.189,0.187,322825,60634
sh900904,神奇B股,0.491,-0.005,-1.008,0.492,0.499,0.496,0.493,0.501,0.486,65354,31985
sh900905,老凤祥Ｂ,3.37,0.006,0.178,3.367,3.37,3.364,3.363,3.372,3.36,40607,136629
sh900906,中毅达B,0.278,0.002,0.725,0.278,0.279,0.276,0.276,0.279,0.275,130800,36127
sh900908,氯碱Ｂ股,0.692,0.0,0.0,0.692,0.694,0.692,0.693,0.695,0.691,89700,62136
sh900909,华谊B股,0.527,-0.001,-0.189,0.527,0.53,0.528,0.529,0.529,0.521,106700,56153
sh900910,海立Ｂ股,0.571,0.002,0.351,0.571,0.572,0.569,0.568,0.574,0.563,278712,158649
sh900911,金桥Ｂ股,0.77,0.006,0.785,0.767,0.77,0.764,0.764,0.771,0.764,153350,117593
sh900912,外高Ｂ股,0.694,0.006,0.872,0.693,0.694,0.688,0.688,0.698,0.686,292700,203078
sh900913,国新B股,0.214,-0.003,-1.382,0.213,0.214,0.217,0.212,0.218,0.212,155340,33006
sh900914,锦在线B,0.479,0.003,0.63,0.48,0.481,0.476,0.475,0.483,0.475,99500,47642
sh900915,中路Ｂ股,0.355,-0.004,-1.114,0.357,0.359,0.359,0.359,0.359,0.355,46640,16581
sh900916,凤凰B股,0.385,-0.001,-0.259,0.385,0.387,0.386,0.388,0.388,0.385,36600,14166
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.274,0.272,221500,60518
sh900918,耀皮Ｂ股,0.351,0.001,0.286,0.35,0.351,0.35,0.352,0.353,0.351,67800,23871
sh900920,动力Ｂ股,0.379,0.001,0.265,0.379,0.382,0.378,0.38,0.382,0.373,501976,190315
sh900921,金煤B股,0.18,0.001,0.559,0.179,0.18,0.179,0.178,0.18,0.176,443074,78796
sh900922,三毛B股,0.717,0.01,1.414,0.712,0.716,0.707,0.733,0.733,0.713,44300,31792
sh900923,百联Ｂ股,0.492,-0.006,-1.205,0.492,0.493,0.498,0.498,0.498,0.49,254700,125254
sh900924,上工Ｂ股,0.349,-0.003,-0.852,0.35,0.351,0.352,0.349,0.351,0.349,56322,19699
sh900925,机电Ｂ股,1.412,-0.007,-0.493,1.411,1.412,1.419,1.419,1.43,1.411,199100,282553
sh900926,宝信Ｂ,1.022,0.01,0.988,1.022,1.023,1.012,1.012,1.023,1.008,367099,372293
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.361,0.366,0.361,0.361,0.365,0.361,41500,14985
