代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.761,0.01,1.332,0.761,0.762,0.751,0.752,0.764,0.752,1368605,1041238
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,690100,116403
sh900903,大众Ｂ股,0.187,-0.001,-0.532,0.187,0.188,0.188,0.188,0.189,0.186,735225,137850
sh900904,神奇B股,0.495,-0.001,-0.202,0.495,0.497,0.496,0.493,0.501,0.486,111254,54638
sh900905,老凤祥Ｂ,3.373,0.009,0.268,3.373,3.374,3.364,3.363,3.375,3.36,69695,234708
sh900906,中毅达B,0.279,0.003,1.087,0.277,0.279,0.276,0.276,0.279,0.275,304800,84359
sh900908,氯碱Ｂ股,0.692,0.0,0.0,0.692,0.693,0.692,0.693,0.695,0.691,251800,174473
sh900909,华谊B股,0.53,0.002,0.379,0.53,0.531,0.528,0.529,0.53,0.521,176100,92773
sh900910,海立Ｂ股,0.57,0.001,0.176,0.57,0.571,0.569,0.568,0.574,0.563,467512,266299
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.772,0.773,0.764,0.764,0.773,0.764,512410,394552
sh900912,外高Ｂ股,0.695,0.007,1.017,0.693,0.695,0.688,0.688,0.698,0.686,493200,342443
sh900913,国新B股,0.216,-0.001,-0.461,0.216,0.217,0.217,0.212,0.218,0.212,255346,54454
sh900914,锦在线B,0.482,0.006,1.261,0.481,0.482,0.476,0.475,0.484,0.475,239330,114842
sh900915,中路Ｂ股,0.362,0.003,0.836,0.357,0.362,0.359,0.359,0.362,0.355,54340,19354
sh900916,凤凰B股,0.388,0.002,0.518,0.386,0.388,0.386,0.388,0.388,0.385,225700,87459
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.275,0.272,274300,74999
sh900918,耀皮Ｂ股,0.351,0.001,0.286,0.348,0.35,0.35,0.352,0.353,0.346,153000,53643
sh900920,动力Ｂ股,0.385,0.007,1.852,0.384,0.385,0.378,0.38,0.387,0.373,1625078,621114
sh900921,金煤B股,0.176,-0.003,-1.676,0.176,0.179,0.179,0.178,0.18,0.175,1264918,223909
sh900922,三毛B股,0.718,0.011,1.556,0.718,0.72,0.707,0.733,0.733,0.71,78900,56454
sh900923,百联Ｂ股,0.495,-0.003,-0.602,0.496,0.497,0.498,0.498,0.498,0.49,361250,178115
sh900924,上工Ｂ股,0.35,-0.002,-0.568,0.35,0.351,0.352,0.349,0.352,0.346,246322,85788
sh900925,机电Ｂ股,1.409,-0.01,-0.705,1.408,1.414,1.419,1.419,1.43,1.406,429100,607230
sh900926,宝信Ｂ,1.03,0.018,1.779,1.03,1.031,1.012,1.012,1.032,1.008,989819,1012410
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.362,0.364,0.361,0.361,0.365,0.361,78400,28310
sh900928,临港B股,0.65,0.0,0.0,0.648,0.65,0.65,0.65,0.654,0.645,154700,100398
sh900929,锦旅Ｂ股,1.135,0.002,0.177,1.129,1.135,1.133,1.13,1.136,1.129,33804,38221
sh900932,陆家Ｂ股,0.405,0.002,0.496,0.405,0.406,0.403,0.403,0.405,0.402,450465,181769
sh900934,锦江Ｂ股,1.517,0.012,0.797,1.516,1.517,1.505,1.51,1.519,1.508,173300,262306
sh900936,鄂资Ｂ股,1.251,0.034,2.794,1.25,1.251,1.217,1.213,1.254,1.213,1491881,1852959
sh900937,华电B股,0.169,-0.001,-0.588,0.168,0.169,0.17,0.168,0.169,0.167,1939000,325346
sh900938,海科B,0.229,-0.001,-0.435,0.229,0.23,0.23,0.23,0.23,0.229,75012,17192
sh900939,汇丽B,0.589,-0.015,-2.483,0.589,0.592,0.604,0.596,0.598,0.588,604690,358039
sh900940,大名城B,0.244,0.005,2.092,0.243,0.244,0.239,0.239,0.245,0.238,635728,154019
sh900941,东信Ｂ股,0.505,0.009,1.815,0.504,0.505,0.496,0.502,0.505,0.498,1299351,652667
sh900942,黄山Ｂ股,0.714,0.001,0.14,0.714,0.715,0.713,0.711,0.716,0.709,154268,109876
sh900943,开开Ｂ股,0.437,-0.005,-1.131,0.437,0.441,0.442,0.438,0.442,0.437,39900,17482
sh900945,海控B股,0.247,-0.001,-0.403,0.247,0.248,0.248,0.248,0.248,0.247,95000,23507
