代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.65,0.0,0.0,2.65,2.65,4765000.0,12654420.0,2.67,2.65,2.67,2.64
00991,大唐发电,2.5,-0.4,-0.01,2.5,2.5,5618000.0,14066130.0,2.51,2.51,2.53,2.49
03369,秦港股份,2.46,0.0,0.0,2.46,2.46,121000.0,297570.0,2.46,2.46,2.47,2.45
02016,浙商银行,2.43,0.0,0.0,2.43,2.43,2065000.0,5024664.0,2.43,2.43,2.44,2.42
00525,广深铁路股份,2.35,4.44,0.1,2.35,2.35,8326000.0,19371964.0,2.27,2.25,2.37,2.25
00895,东江环保,2.12,1.92,0.04,2.12,2.12,266800.0,560306.0,2.11,2.08,2.12,2.07
01375,中州证券,1.96,2.62,0.05,1.96,1.96,5457000.0,10634980.0,1.94,1.91,1.97,1.93
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,8568000.0,13803470.0,1.61,1.6,1.62,1.6
00347,鞍钢股份,1.56,-0.64,-0.01,1.56,1.56,2920000.0,4554960.0,1.57,1.57,1.59,1.55
01528,红星美凯龙,1.3,0.78,0.01,1.3,1.3,738600.0,958538.0,1.3,1.29,1.31,1.28
00338,上海石油化工股份,1.28,0.79,0.01,1.28,1.28,6112000.0,7866550.0,1.28,1.27,1.3,1.27
03996,中国能源建设,1.26,0.8,0.01,1.26,1.26,28900000.0,36351330.0,1.25,1.25,1.27,1.25
02866,中远海发,1.18,-0.84,-0.01,1.18,1.18,4048000.0,4756780.0,1.19,1.19,1.19,1.17
01812,晨鸣纸业,1.16,2.65,0.03,1.16,1.16,187000.0,215065.0,1.13,1.13,1.16,1.13
01053,重庆钢铁股份,1.16,1.75,0.02,1.16,1.16,2960000.0,3410260.0,1.15,1.14,1.16,1.15
06196,郑州银行,1.02,0.99,0.01,1.02,1.02,835000.0,848830.0,1.02,1.01,1.02,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,874000.0,749440.0,0.87,0.86,0.87,0.85
01033,中石化油服,0.83,-1.19,-0.01,0.83,0.83,19209000.0,15971600.0,0.84,0.84,0.84,0.83
00588,北京北辰实业股份,0.82,1.23,0.01,0.82,0.82,13716000.0,11203300.0,0.82,0.81,0.83,0.81
02009,金隅集团,0.78,-1.27,-0.01,0.78,0.78,4416000.0,3447350.0,0.79,0.79,0.79,0.78
03750,宁德时代,723.0,10.3,67.5,723.0,723.0,3686793.0,2612932922.5,684.5,655.5,724.5,682.5
03986,兆易创新,441.6,8.34,34.0,441.6,441.6,1208729.0,513358409.8,409.0,407.6,445.0,398.8
06809,澜起科技,224.0,10.67,21.6,224.0,224.0,1385163.0,298410288.0,202.4,202.4,224.0,199.4
06869,长飞光纤光缆,218.0,6.03,12.4,218.0,218.0,11176404.0,2330353309.0,203.0,205.6,218.2,199.0
09980,东鹏饮料,211.2,2.52,5.2,211.2,211.2,49800.0,10291700.0,206.0,206.0,211.4,204.0
06160,百济神州,194.5,2.1,4.0,194.5,194.5,2400164.0,466484054.2,193.0,190.5,196.0,192.0
03200,大族数控,139.8,7.54,9.8,139.8,139.8,835814.0,115192068.0,131.2,130.0,141.8,130.8
01989,广合科技,136.5,6.39,8.2,136.5,136.5,1051982.0,139225951.5,128.2,128.3,138.0,128.0
02676,纳芯微,133.4,7.41,9.2,133.4,133.4,257400.0,33665220.0,127.6,124.2,134.9,124.3
02359,药明康德,131.1,0.54,0.7,131.1,131.1,1674883.0,219216020.6,131.5,130.4,132.0,129.9
01304,峰岹科技,119.7,3.28,3.8,119.7,119.7,424900.0,52259285.0,117.8,115.9,127.8,117.8
09995,荣昌生物,119.0,0.59,0.7,119.0,119.0,3162294.0,375795672.2,121.0,118.3,121.2,115.2
01211,比亚迪股份,112.2,4.57,4.9,112.2,112.2,16777071.0,1865353689.6,108.5,107.3,112.6,108.2
06821,凯莱英,99.45,0.81,0.8,99.45,99.45,170400.0,17141515.0,100.4,98.65,101.8,98.65
01347,华虹半导体,90.95,0.61,0.55,90.95,90.95,6716133.0,612897864.55,91.05,90.4,92.55,89.95
06166,剑桥科技,89.9,4.11,3.55,89.9,89.9,3076825.0,269424305.0,85.95,86.35,90.2,84.55
00300,美的集团,87.1,0.87,0.75,87.1,87.1,656520.0,56965806.8,86.45,86.35,87.6,86.35
01772,赣锋锂业,84.15,7.27,5.7,84.15,84.15,11188073.0,925005363.05,79.7,78.45,84.85,78.8
00941,中国移动,81.6,0.31,0.25,81.6,81.6,5593275.0,456345156.15,81.35,81.35,81.75,81.3
02648,安井食品,80.7,0.5,0.4,80.7,80.7,82400.0,6672497.5,80.35,80.3,81.55,80.35
00501,豪威集团,80.65,2.54,2.0,80.65,80.65,627500.0,50084105.0,79.0,78.65,80.95,78.1
09927,赛力斯,80.5,1.77,1.4,80.5,80.5,391100.0,31547185.0,79.7,79.1,81.45,79.65
02692,兆威机电,68.8,5.76,3.75,68.8,68.8,537960.0,36375389.0,65.95,65.05,70.45,65.5
01276,恒瑞医药,67.8,-0.73,-0.5,67.8,67.8,1517900.0,103536065.0,69.1,68.3,69.3,67.45
01880,中国中免,66.6,1.37,0.9,66.6,66.6,399000.0,26496845.0,66.4,65.7,67.0,65.8
02318,中国平安,62.7,0.24,0.15,62.7,62.7,11382530.0,713344121.95,62.55,62.55,63.05,62.3
03606,福耀玻璃,62.5,0.97,0.6,62.5,62.5,334000.0,20812370.0,61.75,61.9,63.5,61.75
02315,百奥赛图-B,60.0,-1.8,-1.1,60.0,60.0,458500.0,27613875.0,62.35,61.1,62.35,59.15
00981,中芯国际,59.45,0.25,0.15,59.45,59.45,23080269.0,1372976979.9,59.3,59.3,60.15,58.75
02631,天岳先进,57.0,2.8,1.55,57.0,57.0,828500.0,46963765.0,55.5,55.45,58.2,55.1
09696,天齐锂业,55.9,3.81,2.05,55.9,55.9,7205600.0,403261965.0,54.75,53.85,57.65,54.3
03968,招商银行,51.4,1.18,0.6,51.4,51.4,6577767.0,336866773.6,51.0,50.8,51.45,51.0
00470,先导智能,51.4,5.24,2.56,51.4,51.4,1417500.0,72831173.6,49.0,48.84,52.5,49.0
00168,青岛啤酒股份,50.75,-0.68,-0.35,50.75,50.75,1036000.0,52599000.0,51.5,51.1,51.5,50.55
01336,新华保险,48.64,2.44,1.16,48.64,48.64,3467224.0,166880563.16,47.46,47.48,48.8,47.46
02768,国恩科技,48.0,0.84,0.4,48.0,48.0,113000.0,5428252.0,47.6,47.6,48.74,47.2
01088,中国神华,46.04,0.96,0.44,46.04,46.04,6184498.0,283275420.0,45.6,45.6,46.1,45.2
03347,泰格医药,44.18,-1.16,-0.52,44.18,44.18,712000.0,31580290.0,44.7,44.7,45.14,43.74
02714,牧原股份,42.56,-1.02,-0.44,42.56,42.56,695800.0,29675982.0,43.28,43.0,43.48,42.0
01072,东方电气,42.06,7.46,2.92,42.06,42.06,12723123.0,526717405.16,39.86,39.14,42.64,39.2
06693,赤峰黄金,41.78,-0.05,-0.02,41.78,41.78,2010600.0,84046708.0,42.5,41.8,42.5,41.52
01385,上海复旦,40.6,1.91,0.76,40.6,40.6,1339000.0,54251800.0,40.96,39.84,40.96,39.68
00358,江西铜业股份,39.98,2.04,0.8,39.98,39.98,7393372.0,290297584.4,39.0,39.18,40.0,38.92
02579,中伟新材,38.7,1.04,0.4,38.7,38.7,696200.0,27110204.0,39.36,38.3,39.5,38.02
