代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.762,0.011,1.465,0.762,0.763,0.751,0.752,0.764,0.752,902784,686183
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,534600,90140
sh900903,大众Ｂ股,0.187,-0.001,-0.532,0.187,0.188,0.188,0.188,0.189,0.187,456925,85736
sh900904,神奇B股,0.499,0.003,0.605,0.493,0.499,0.496,0.493,0.501,0.486,65454,32035
sh900905,老凤祥Ｂ,3.37,0.006,0.178,3.37,3.371,3.364,3.363,3.372,3.36,46807,157514
sh900906,中毅达B,0.278,0.002,0.725,0.276,0.277,0.276,0.276,0.279,0.275,146700,40545
sh900908,氯碱Ｂ股,0.693,0.001,0.145,0.693,0.694,0.692,0.693,0.695,0.691,109200,75645
sh900909,华谊B股,0.528,0.0,0.0,0.528,0.53,0.528,0.529,0.53,0.521,142100,74808
sh900910,海立Ｂ股,0.571,0.002,0.351,0.57,0.571,0.569,0.568,0.574,0.563,319712,182033
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.771,0.772,0.764,0.764,0.772,0.764,322133,247696
sh900912,外高Ｂ股,0.696,0.008,1.163,0.696,0.697,0.688,0.688,0.698,0.686,346600,240562
sh900913,国新B股,0.216,-0.001,-0.461,0.214,0.216,0.217,0.212,0.218,0.212,217416,46250
sh900914,锦在线B,0.481,0.005,1.05,0.481,0.482,0.476,0.475,0.483,0.475,147430,70676
sh900915,中路Ｂ股,0.355,-0.004,-1.114,0.357,0.359,0.359,0.359,0.359,0.355,46640,16581
sh900916,凤凰B股,0.387,0.001,0.259,0.385,0.387,0.386,0.388,0.388,0.385,36700,14204
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.274,0.272,232100,63422
sh900918,耀皮Ｂ股,0.35,0.0,0.0,0.35,0.351,0.35,0.352,0.353,0.35,79200,27861
