代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.759,0.008,1.065,0.757,0.759,0.751,0.752,0.761,0.752,446992,339190
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,184200,31256
sh900903,大众Ｂ股,0.188,0.0,0.0,0.188,0.189,0.188,0.188,0.189,0.187,248425,46587
sh900904,神奇B股,0.499,0.003,0.605,0.491,0.499,0.496,0.493,0.501,0.486,54200,26508
sh900905,老凤祥Ｂ,3.365,0.001,0.03,3.364,3.366,3.364,3.363,3.372,3.36,34807,117100
sh900906,中毅达B,0.279,0.003,1.087,0.276,0.278,0.276,0.276,0.279,0.276,18200,5039
sh900908,氯碱Ｂ股,0.694,0.002,0.289,0.693,0.694,0.692,0.693,0.695,0.691,35000,24251
sh900909,华谊B股,0.527,-0.001,-0.189,0.527,0.533,0.528,0.529,0.529,0.521,106300,55943
sh900910,海立Ｂ股,0.573,0.004,0.703,0.573,0.574,0.569,0.568,0.574,0.563,228612,129995
sh900911,金桥Ｂ股,0.768,0.004,0.524,0.768,0.769,0.764,0.764,0.771,0.764,104600,80168
sh900912,外高Ｂ股,0.693,0.005,0.727,0.693,0.695,0.688,0.688,0.698,0.686,284200,197193
sh900913,国新B股,0.213,-0.004,-1.843,0.213,0.217,0.217,0.212,0.218,0.212,153540,32621
sh900914,锦在线B,0.482,0.006,1.261,0.477,0.479,0.476,0.475,0.483,0.475,99000,47402
sh900915,中路Ｂ股,0.355,-0.004,-1.114,0.355,0.359,0.359,0.359,0.359,0.355,33800,12010
sh900916,凤凰B股,0.385,-0.001,-0.259,0.385,0.387,0.386,0.388,0.388,0.385,23900,9261
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.274,0.272,179900,49120
sh900918,耀皮Ｂ股,0.353,0.003,0.857,0.352,0.353,0.35,0.352,0.353,0.352,28000,9864
sh900920,动力Ｂ股,0.38,0.002,0.529,0.379,0.38,0.378,0.38,0.38,0.373,256900,97122
sh900921,金煤B股,0.18,0.001,0.559,0.179,0.18,0.179,0.178,0.18,0.176,333874,59229
sh900922,三毛B股,0.719,0.012,1.697,0.716,0.719,0.707,0.733,0.733,0.715,31300,22473
sh900923,百联Ｂ股,0.492,-0.006,-1.205,0.492,0.497,0.498,0.498,0.498,0.49,205300,100906
sh900924,上工Ｂ股,0.351,-0.001,-0.284,0.35,0.351,0.352,0.349,0.351,0.349,27522,9631
sh900925,机电Ｂ股,1.419,0.0,0.0,1.419,1.42,1.419,1.419,1.43,1.417,90100,128034
sh900926,宝信Ｂ,1.011,-0.001,-0.099,1.011,1.012,1.012,1.012,1.017,1.008,244199,247034
sh900927,物贸Ｂ股,0.365,0.004,1.108,0.361,0.366,0.361,0.361,0.365,0.361,3800,1375
sh900928,临港B股,0.65,0.0,0.0,0.649,0.65,0.65,0.65,0.654,0.646,61100,39717
sh900929,锦旅Ｂ股,1.129,-0.004,-0.353,1.129,1.135,1.133,1.13,1.136,1.129,25300,28616
sh900932,陆家Ｂ股,0.404,0.001,0.248,0.404,0.405,0.403,0.403,0.405,0.402,63717,25700
sh900934,锦江Ｂ股,1.512,0.007,0.465,1.512,1.513,1.505,1.51,1.515,1.508,99400,150300
sh900936,鄂资Ｂ股,1.24,0.023,1.89,1.239,1.24,1.217,1.213,1.245,1.213,573811,708363
sh900937,华电B股,0.169,-0.001,-0.588,0.168,0.169,0.17,0.168,0.169,0.168,380300,63931
sh900938,海科B,0.23,0.0,0.0,0.229,0.23,0.23,0.23,0.23,0.23,1000,230
sh900939,汇丽B,0.592,-0.012,-1.987,0.591,0.592,0.604,0.596,0.598,0.589,155200,91958
sh900940,大名城B,0.239,0.0,0.0,0.233,0.238,0.239,0.239,0.239,0.239,18200,4350
sh900941,东信Ｂ股,0.501,0.005,1.008,0.5,0.501,0.496,0.502,0.504,0.498,430000,215569
sh900942,黄山Ｂ股,0.711,-0.002,-0.281,0.711,0.713,0.713,0.711,0.711,0.711,6900,4906
sh900943,开开Ｂ股,0.438,-0.004,-0.905,0.438,0.442,0.442,0.438,0.438,0.438,700,307
sh900945,海控B股,0.248,0.0,0.0,0.247,0.248,0.248,0.248,0.248,0.248,1000,248
sh900946,天雁B股,0.193,0.0,0.0,0.193,0.195,0.193,0.198,0.198,0.192,19600,3768
sh900947,振华Ｂ股,0.265,0.001,0.379,0.264,0.265,0.264,0.264,0.267,0.263,511900,136041
sh900948,伊泰Ｂ股,2.211,0.012,0.546,2.211,2.212,2.199,2.196,2.212,2.196,311100,686698
sz200011,深物业B,2.83,0.02,0.712,2.82,2.83,2.81,2.81,2.85,2.81,55000,154712
sz200012,南 玻Ｂ,1.59,0.01,0.633,1.58,1.59,1.58,1.58,1.59,1.58,170037,268673
sz200016,深康佳Ｂ,0.81,0.0,0.0,0.81,0.82,0.81,0.8,0.82,0.8,320560,258370
sz200017,深中华B,1.75,0.01,0.575,1.73,1.75,1.74,1.75,1.75,1.73,12100,21061
