日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2026/04/15 16:08:10,00001,长和,CKH HOLDINGS,,63.95,-0.1,-0.15613,64.05,64.2,64.45,63.55,6226308,398019028,63.95,64.0
2026/04/15 16:08:10,00002,中电控股,CLP HOLDINGS,,74.4,-0.6,-0.8,75.0,75.3,75.3,74.35,2101300,156860669,74.4,74.5
2026/04/15 16:08:10,00003,香港中华煤气,HK & CHINA GAS,,7.27,-0.03,-0.41096,7.3,7.35,7.35,7.27,16975197,123823563,7.26,7.27
2026/04/15 16:08:10,00004,九龙仓集团,WHARF HOLDINGS,,21.78,0.42,1.9663,21.36,21.5,21.78,21.32,3310493,71506773,21.64,21.78
2026/04/15 16:08:10,00005,汇丰控股,HSBC HOLDINGS,,141.39999,0.39999,0.28368,141.0,142.3,142.7,141.3,13052754,1854927298,141.39999,141.5
2026/04/15 16:08:10,00006,电能实业,POWER ASSETS,,63.7,-0.6,-0.93313,64.3,64.7,64.85,63.65,2365844,151204846,63.7,63.75
2026/04/15 16:08:10,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,1e-05,0.032,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/15 16:08:10,00008,电讯盈科,PCCW,,5.99,-0.04,-0.66335,6.03,6.01,6.02,5.97,3200074,19183047,5.99,6.01
2026/04/15 16:08:10,00010,恒隆集团,HANG LUNG GROUP,,17.01,-0.37,-2.12888,17.38,17.19,17.42,17.0,842000,14471430,17.0,17.01
2026/04/15 16:08:10,00012,恒基地产,HENDERSON LAND,,30.64,0.12,0.39318,30.52,30.96,30.96,30.48,5242863,160530097,30.6,30.64
2026/04/15 16:08:10,00013,和黄医药,HUTCHMED,,24.3,0.66,2.79188,23.64,23.72,24.42,23.68,7758460,187612694,24.26,24.3
2026/04/15 16:08:10,00014,希慎兴业,HYSAN DEV,,19.32,-0.51,-2.57186,19.83,19.99,20.16,19.31,921293,17966280,19.31,19.32
2026/04/15 16:08:10,00016,新鸿基地产,SHK PPT,,137.5,0.3,0.21866,137.2,141.2,141.2,137.0,4114198,568985505,137.39999,137.5
2026/04/15 16:08:10,00017,新世界发展,NEW WORLD DEV,,8.78,-0.1,-1.12613,8.88,9.0,9.0,8.72,2878844,25337546,8.77,8.78
2026/04/15 16:08:10,00018,东方传媒集团,ORIENTAL M G,,0.29,0.0,0.0,0.29,0.0,0.0,0.0,0,0,0.275,0.295
2026/04/15 16:08:10,00019,太古股份公司Ａ,SWIRE PACIFIC A,,85.75,-0.75,-0.86705,86.5,87.15,87.3,85.45,1137585,97766078,85.7,85.75
2026/04/15 16:08:10,00020,商汤－Ｗ,SENSETIME-W,,2.05,0.02,0.98522,2.03,2.06,2.06,2.03,262259641,536072045,2.04,2.05
2026/04/15 16:08:10,00021,大中华控股,GREAT CHI HLDGS,,0.075,0.0,0.0,0.075,0.083,0.083,0.075,30000,2310,0.075,0.077
2026/04/15 16:08:10,00022,茂盛控股,MEXAN,,0.275,-0.015,-5.17241,0.29,0.29,0.305,0.25,197123000,54710458,0.275,0.28
2026/04/15 16:08:08,00023,东亚银行,BANK OF E ASIA,,13.8,0.08,0.58309,13.72,13.72,13.8,13.61,856917,11765064,13.8,13.81
2026/04/15 16:08:10,00025,CHEVALIER INT'L,CHEVALIER INT'L,,4.05,0.0,1e-05,4.05,0.0,0.0,0.0,0,0,4.05,4.3
2026/04/15 16:08:10,00026,中华汽车,CHINA MOTOR BUS,,57.05,0.45,0.79505,56.6,57.55,57.55,57.05,1000,57450,57.0,57.55
2026/04/15 16:08:10,00027,银河娱乐,GALAXY ENT,,34.56,-0.2,-0.57537,34.76,34.86,35.14,34.48,10116427,351039603,34.54,34.56
2026/04/15 16:08:10,00028,天安,TIAN AN,,4.41,0.06,1.37931,4.35,4.29,4.41,4.29,3000,13020,4.36,4.45
2026/04/15 16:08:08,00029,达力集团,DYNAMIC HOLD,,11.1,-0.06,-0.53763,11.16,11.16,11.38,11.05,90000,998260,11.05,11.38
2026/04/15 16:08:10,00030,云白国际,YNBY INTL,,0.255,0.0,0.0,0.255,0.255,0.255,0.255,1064000,271320,0.25,0.255
2026/04/15 16:08:10,00031,航天控股,CHINA AEROSPACE,,0.49,-0.005,-1.0101,0.495,0.5,0.51,0.49,6888800,3434614,0.49,0.495
2026/04/15 16:08:10,00032,港通控股,CROSS-HAR(HOLD),,8.47,0.02,0.23669,8.45,8.5,8.62,8.47,22220,188885,8.47,8.5
2026/04/15 16:08:10,00033,INTL GENIUS,INTL GENIUS,,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/15 16:08:10,00034,九龙建业,KOWLOON DEV,,4.64,0.06,1.31004,4.58,4.58,4.64,4.53,110259,507493,4.62,4.64
2026/04/15 16:08:10,00035,远东发展,FE CONSORT INTL,,0.78,0.01,1.2987,0.77,0.77,0.78,0.76,240530,185777,0.76,0.78
2026/04/15 16:08:10,00036,远东控股国际,FE HLDGS INTL,,0.275,0.0,0.0,0.275,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/15 16:08:10,00037,远东酒店实业,FE HOTELS,,0.53,0.01,1.92307,0.52,0.52,0.53,0.52,188000,99540,0.52,0.54
2026/04/15 16:08:10,00038,第一拖拉机股份,FIRST TRACTOR,,8.19,-0.22,-2.61594,8.41,8.51,8.73,8.1,4741149,39177993,8.19,8.22
2026/04/15 16:08:10,00039,中国北大荒,CH BEIDAHUANG,,0.045,0.0,0.0,0.045,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/15 16:08:10,00040,金山科技工业,GOLD PEAK,,0.69,0.01,1.47059,0.68,0.68,0.69,0.68,119000,81120,0.68,0.69
2026/04/15 16:08:10,00041,鹰君,GREAT EAGLE H,,17.88,0.04,0.22421,17.84,17.8,17.88,17.52,323712,5748776,17.8,17.88
2026/04/15 16:08:10,00042,东北电气,NE ELECTRIC,,0.405,-0.01,-2.40964,0.415,0.41,0.41,0.395,1254000,505150,0.395,0.405
2026/04/15 16:08:10,00045,大酒店,HK&S HOTELS,,5.97,-0.01,-0.16723,5.98,5.86,5.97,5.86,18000,106115,5.9,5.97
2026/04/15 16:08:10,00046,科联系统,COMPUTER & TECH,,1.24,0.0,0.0,1.24,0.0,0.0,0.0,0,0,1.24,1.25
2026/04/15 16:08:10,00048,中国汽车内饰,C AUTO INT DECO,,0.249,0.009,3.75,0.24,0.24,0.249,0.24,38000,9220,0.24,0.25
2026/04/15 16:08:10,00050,香港小轮（集团）,HK FERRY (HOLD),,5.11,-0.01,-0.19531,5.12,5.17,5.17,5.1,83000,424300,5.11,5.15
2026/04/15 16:08:10,00051,海港企业,HARBOUR CENTRE,,4.42,0.0,0.0,4.42,0.0,0.0,0.0,0,0,4.36,4.5
2026/04/15 16:08:10,00052,大快活集团,FAIRWOOD HOLD,,4.02,-0.02,-0.49505,4.04,4.01,4.05,4.01,16500,66365,4.02,4.07
2026/04/15 16:08:10,00053,国浩集团,GUOCO GROUP,,68.9,-0.9,-1.2894,69.8,69.8,69.8,68.65,13000,896850,68.7,69.1
2026/04/15 16:08:10,00055,中星集团控股,NEWAY GROUP,,0.189,0.014,8.0,0.175,0.175,0.195,0.175,1060000,192910,0.185,0.194
2026/04/15 16:08:10,00057,震雄集团,CHEN HSONG HOLD,,1.6,-0.02,-1.23457,1.62,1.63,1.63,1.6,146000,235740,1.6,1.62
2026/04/15 16:08:10,00058,新威国际,SUNWAY INT'L,,0.31,0.0,0.0,0.31,0.31,0.31,0.31,80000,24800,0.295,0.32
2026/04/15 16:08:10,00059,天誉置业,SKYFAME REALTY,,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0,0,0.0,0.0
2026/04/15 16:08:10,00060,香港食品投资,HK FOOD INV,,0.495,-0.085,-14.65517,0.58,0.5,0.53,0.48,1128000,563850,0.48,0.495
2026/04/15 16:08:10,00061,绿领控股,GREEN LEADER,,0.069,-0.001,-1.42857,0.07,0.07,0.07,0.069,240000,16580,0.069,0.071
2026/04/15 16:08:08,00062,载通,TRANSPORT INT'L,,10.92,0.05,0.45998,10.87,11.0,11.0,10.92,153784,1683254,10.85,10.92
