代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.752,0.001,0.133,0.752,0.758,0.751,0.752,0.752,0.752,3300,2482
sh900902,市北B股,0.17,0.001,0.592,0.168,0.17,0.169,0.17,0.17,0.17,400,68
sh900903,大众Ｂ股,0.0,0.0,0.0,0.188,0.189,0.188,0.189,0.189,0.188,0,0
sh900904,神奇B股,0.0,0.0,0.0,0.492,0.503,0.496,0.0,0.0,0.0,0,0
sh900905,老凤祥Ｂ,3.363,-0.001,-0.03,3.363,3.364,3.364,3.363,3.363,3.363,1700,5717
sh900906,中毅达B,0.0,0.0,0.0,0.275,0.276,0.276,0.0,0.0,0.0,0,0
sh900908,氯碱Ｂ股,0.0,0.0,0.0,0.693,0.695,0.692,0.0,0.0,0.0,0,0
sh900909,华谊B股,0.0,0.0,0.0,0.526,0.535,0.528,0.0,0.0,0.0,0,0
sh900910,海立Ｂ股,0.0,0.0,0.0,0.567,0.569,0.569,0.0,0.0,0.0,0,0
sh900911,金桥Ｂ股,0.0,0.0,0.0,0.763,0.764,0.764,0.0,0.0,0.0,0,0
sh900912,外高Ｂ股,0.688,0.0,0.0,0.686,0.688,0.688,0.688,0.688,0.688,5700,3922
sh900913,国新B股,0.0,0.0,0.0,0.211,0.219,0.217,0.0,0.0,0.0,0,0
sh900914,锦在线B,0.0,0.0,0.0,0.475,0.483,0.476,0.0,0.0,0.0,0,0
sh900915,中路Ｂ股,0.0,0.0,0.0,0.357,0.359,0.359,0.0,0.0,0.0,0,0
sh900916,凤凰B股,0.388,0.002,0.518,0.384,0.388,0.386,0.388,0.388,0.388,10000,3880
sh900917,海欣Ｂ股,0.0,0.0,0.0,0.273,0.274,0.275,0.0,0.0,0.0,0,0
sh900918,耀皮Ｂ股,0.0,0.0,0.0,0.348,0.353,0.35,0.0,0.0,0.0,0,0
sh900920,动力Ｂ股,0.38,0.002,0.529,0.371,0.38,0.378,0.38,0.38,0.38,27400,10412
sh900921,金煤B股,0.0,0.0,0.0,0.178,0.179,0.179,0.0,0.0,0.0,0,0
sh900922,三毛B股,0.0,0.0,0.0,0.707,0.74,0.707,0.0,0.0,0.0,0,0
sh900923,百联Ｂ股,0.0,0.0,0.0,0.493,0.498,0.498,0.504,0.504,0.491,0,0
sh900924,上工Ｂ股,0.0,0.0,0.0,0.346,0.351,0.352,0.351,0.355,0.351,0,0
sh900925,机电Ｂ股,0.0,0.0,0.0,1.407,1.432,1.419,0.0,0.0,0.0,0,0
sh900926,宝信Ｂ,1.012,0.0,0.0,1.011,1.012,1.012,1.012,1.012,1.012,5000,5060
sh900927,物贸Ｂ股,0.0,0.0,0.0,0.361,0.367,0.361,0.0,0.0,0.0,0,0
sh900928,临港B股,0.65,0.0,0.0,0.65,0.654,0.65,0.65,0.65,0.65,300,195
sh900929,锦旅Ｂ股,0.0,0.0,0.0,1.13,1.138,1.133,0.0,0.0,0.0,0,0
sh900932,陆家Ｂ股,0.403,0.0,0.0,0.402,0.403,0.403,0.403,0.403,0.403,3400,1370
sh900934,锦江Ｂ股,0.0,0.0,0.0,1.49,1.51,1.505,0.0,0.0,0.0,0,0
sh900936,鄂资Ｂ股,1.213,-0.004,-0.329,1.213,1.215,1.217,1.213,1.213,1.213,5800,7035
sh900937,华电B股,0.168,-0.002,-1.176,0.168,0.169,0.17,0.168,0.168,0.168,45500,7644
sh900938,海科B,0.0,0.0,0.0,0.221,0.232,0.23,0.23,0.231,0.228,0,0
sh900939,汇丽B,0.0,0.0,0.0,0.595,0.608,0.604,0.0,0.0,0.0,0,0
sh900940,大名城B,0.239,0.0,0.0,0.239,0.24,0.239,0.239,0.239,0.239,17900,4278
sh900941,东信Ｂ股,0.0,0.0,0.0,0.497,0.503,0.496,0.0,0.0,0.0,0,0
sh900942,黄山Ｂ股,0.0,0.0,0.0,0.711,0.713,0.713,0.0,0.0,0.0,0,0
sh900943,开开Ｂ股,0.0,0.0,0.0,0.437,0.443,0.442,0.0,0.0,0.0,0,0
sh900945,海控B股,0.0,0.0,0.0,0.247,0.249,0.248,0.0,0.0,0.0,0,0
sh900946,天雁B股,0.0,0.0,0.0,0.191,0.198,0.193,0.0,0.0,0.0,0,0
sh900947,振华Ｂ股,0.0,0.0,0.0,0.263,0.266,0.264,0.0,0.0,0.0,0,0
sh900948,伊泰Ｂ股,2.196,-0.003,-0.136,2.196,2.197,2.199,2.196,2.196,2.196,1200,2635
sz200011,深物业B,0.0,0.0,0.0,2.8,2.88,2.81,0.0,0.0,0.0,0,0
sz200012,南 玻Ｂ,1.58,0.0,0.0,1.57,1.58,1.58,1.58,1.58,1.58,33300,52614
sz200016,深康佳Ｂ,0.8,-0.01,-1.235,0.8,0.82,0.81,0.8,0.8,0.8,36200,28960
sz200017,深中华B,0.0,0.0,0.0,1.72,1.75,1.74,0.0,0.0,0.0,0,0
sz200019,深粮B,0.0,0.0,0.0,3.57,3.62,3.6,0.0,0.0,0.0,0,0
sz200020,深华发Ｂ,0.0,0.0,0.0,2.93,2.99,2.97,0.0,0.0,0.0,0,0
sz200025,特 力Ｂ,0.0,0.0,0.0,4.46,4.52,4.51,0.0,0.0,0.0,0,0
sz200026,飞亚达Ｂ,0.0,0.0,0.0,6.86,7.0,6.97,0.0,0.0,0.0,0,0
sz200028,一致Ｂ,0.0,0.0,0.0,13.96,14.03,14.01,0.0,0.0,0.0,0,0
sz200029,深深房Ｂ,3.97,0.0,0.0,3.96,3.97,3.97,3.97,3.97,3.97,1200,4764
sz200030,富奥B,0.0,0.0,0.0,3.16,3.19,3.18,0.0,0.0,0.0,0,0
sz200037,深南电B,0.0,0.0,0.0,2.11,2.14,2.12,0.0,0.0,0.0,0,0
sz200045,深纺织Ｂ,0.0,0.0,0.0,4.53,4.63,4.61,0.0,0.0,0.0,0,0
sz200055,方大Ｂ,0.0,0.0,0.0,1.26,1.27,1.27,0.0,0.0,0.0,0,0
sz200056,皇庭B,0.0,0.0,0.0,0.74,0.75,0.74,0.0,0.0,0.0,0,0
sz200058,深赛格B,0.0,0.0,0.0,1.84,1.85,1.84,0.0,0.0,0.0,0,0
sz200429,粤高速Ｂ,0.0,0.0,0.0,8.91,8.94,8.94,0.0,0.0,0.0,0,0
sz200468,宁通信B,0.0,0.0,0.0,4.39,4.47,4.44,0.0,0.0,0.0,0,0
sz200488,ST晨鸣B,0.0,0.0,0.0,0.89,0.9,0.89,0.0,0.0,0.0,0,0
sz200505,京粮B,0.0,0.0,0.0,1.96,2.0,1.99,0.0,0.0,0.0,0,0
sz200512,闽灿坤Ｂ,0.0,0.0,0.0,2.77,2.82,2.82,0.0,0.0,0.0,0,0
