代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.82,-0.8,-1.922,40.82,40.83,41.62,41.3,41.88,40.73,4229878,174168890,11:19:53,-36.124,5.236,1814407.539126,1814407.539126,0.95163
sh688002,睿创微纳,125.2,4.21,3.48,125.06,125.2,120.99,122.0,126.66,120.71,5657702,702106247,11:19:53,50.08,9.055,5831015.82176,5831015.82176,1.21479
sh688003,天准科技,72.84,3.64,5.26,72.71,72.84,69.2,72.48,76.0,70.59,4190228,307458927,11:19:53,112.079,7.585,1415430.522,1415430.522,2.15635
sh688004,博汇科技,22.53,0.33,1.486,22.53,22.54,22.2,22.36,22.55,22.19,705260,15743755,11:19:55,-46.938,3.058,180438.264,180438.264,0.88061
sh688005,容百科技,31.07,0.27,0.877,31.07,31.08,30.8,31.4,31.9,30.82,17512069,549599610,11:19:55,-115.074,2.778,2220652.03529,2220320.462464,2.45055
sh688006,杭可科技,31.03,1.68,5.724,31.03,31.04,29.35,29.7,31.68,29.5,18874618,579390731,11:19:55,50.869,3.474,1873194.687656,1873194.687656,3.12663
sh688007,光峰科技,14.46,0.11,0.767,14.46,14.47,14.35,14.36,14.49,14.33,1776612,25589013,11:19:48,241.0,2.58,664604.20821,664604.20821,0.38654
sh688008,澜起科技,151.92,4.74,3.221,151.92,151.93,147.18,147.48,152.5,144.34,25617221,3811574907,11:19:56,77.117,14.367,18567662.719032,17416511.707032,2.23453
sh688009,中国通号,5.32,-0.06,-1.115,5.32,5.33,5.38,5.38,5.4,5.31,27778637,148367394,11:19:54,15.647,1.19,5633783.708,4586381.576,0.32222
sh688010,福光股份,34.39,0.57,1.685,34.37,34.39,33.82,33.82,35.08,33.82,3195402,110250517,11:19:51,569.371,3.29,552171.266742,552171.266742,1.99014
sh688011,新光光电,67.67,0.14,0.207,67.67,67.68,67.53,67.55,68.5,65.98,887852,59891646,11:19:51,-99.515,6.324,676700.0,674416.293141,0.89086
sh688012,中微公司,319.48,-0.88,-0.275,319.17,319.49,320.36,323.1,324.5,317.2,5098252,1633256318,11:19:55,93.965,8.825,20028770.19388,20028770.19388,0.81322
sh688013,天臣医疗,38.05,-0.03,-0.079,38.05,38.06,38.08,38.07,38.3,37.53,516238,19576701,11:19:55,58.538,5.15,308797.058,308797.058,0.63611
sh688015,交控科技,23.06,0.26,1.14,23.06,23.07,22.8,22.8,23.09,22.61,741341,16969899,11:19:50,52.409,1.676,435097.791052,435097.791052,0.39291
sh688016,心脉医疗,100.35,-0.75,-0.742,100.31,100.35,101.1,101.09,101.2,99.97,849392,85317093,11:19:52,21.581,3.035,1236935.344095,1236935.344095,0.68909
sh688017,绿的谐波,206.98,0.48,0.232,206.96,206.98,206.5,212.0,213.77,206.2,2788253,582929754,11:19:54,623.246,10.822,3794566.92725,3794566.92725,1.52089
sh688018,乐鑫科技,151.57,0.47,0.311,151.57,151.74,151.1,151.58,152.8,150.08,1286494,194995523,11:19:54,48.087,5.682,2533386.60257,2375143.157354,0.82098
sh688019,安集科技,251.59,-0.26,-0.103,251.34,251.59,251.85,252.11,254.66,248.48,2161602,541615570,11:19:54,53.989,12.519,4402684.008964,4402684.008964,1.23524
sh688020,方邦股份,91.11,0.21,0.231,91.17,91.41,90.9,90.89,92.5,89.84,1030487,93995796,11:19:47,-79.921,5.428,750646.179,750646.179,1.25076
sh688021,奥福科技,24.31,0.2,0.83,24.3,24.31,24.11,24.08,24.4,23.82,983296,23681041,11:19:50,-41.203,2.166,185761.746027,185761.746027,1.28681
sh688022,瀚川智能,16.93,0.0,0.0,16.92,16.93,16.93,16.91,17.09,16.83,1687275,28547436,11:19:55,-2.7,4.298,297762.002532,297762.002532,0.95934
sh688023,安恒信息,51.67,1.07,2.115,51.66,51.67,50.6,51.04,51.75,50.8,1433456,73589617,11:19:51,-90.649,2.216,525920.402993,525920.402993,1.40832
sh688025,杰普特,287.66,16.08,5.921,287.49,287.64,271.58,266.15,292.32,262.62,3452160,953293315,11:19:54,98.177,11.895,2734191.702018,2734191.702018,3.63196
sh688026,洁特生物,16.29,0.07,0.432,16.28,16.29,16.22,16.24,16.31,16.07,845838,13722018,11:19:42,31.327,2.065,228653.651583,228580.636545,0.60279
sh688027,国盾量子,611.42,33.42,5.782,611.36,611.4,578.0,594.77,628.88,591.0,3616994,2202749754,11:19:56,12228.4,19.38,6289127.323142,4914249.73054,4.50018
sh688028,沃尔德,98.8,0.96,0.981,98.8,99.12,97.84,97.6,99.91,94.6,4276997,414465470,11:19:55,157.928,7.512,1491376.12,1491376.12,2.83341
sh688029,南微医学,75.19,-0.01,-0.013,75.1,75.19,75.2,75.41,75.73,74.52,362747,27246432,11:19:52,25.488,3.469,1412424.766018,1412424.766018,0.19311
sh688030,山石网科,15.71,0.46,3.016,15.7,15.73,15.25,15.25,15.79,15.25,1468698,22826488,11:19:53,-14.63,3.966,283150.548628,283150.548628,0.81488
sh688031,星环科技,140.75,4.17,3.053,140.75,140.89,136.58,137.0,142.27,136.59,3251177,454079194,11:19:54,-69.335,19.768,1704988.0177,1704988.0177,2.68391
sh688032,禾迈股份,114.1,1.0,0.884,114.1,114.28,113.1,113.43,114.88,111.8,772513,87740183,11:19:55,40.896,2.427,1415679.14845,1415679.14845,0.62263
sh688033,天宜新材,8.29,0.04,0.485,8.29,8.3,8.25,8.25,8.34,8.17,4050627,33439283,11:19:39,-3.128,1.413,466062.636084,466062.636084,0.7205
sh688035,德邦科技,63.41,0.79,1.262,63.37,63.41,62.62,62.64,64.15,62.52,2111694,133690569,11:19:54,83.434,3.881,901943.84,901943.84,1.4846
sh688036,传音控股,52.53,0.37,0.709,52.54,52.57,52.16,52.21,52.94,52.16,4032979,211823843,11:19:54,23.243,2.946,6047172.414885,6047172.414885,0.35033
sh688037,芯源微,188.06,6.07,3.335,188.07,188.09,181.99,182.9,189.98,180.3,3481887,648586205,11:19:55,186.198,14.011,3791802.928576,3791802.928576,1.72689
sh688038,中科通达,22.88,0.25,1.105,22.88,22.9,22.63,22.98,23.49,22.56,1453819,33418536,11:19:54,-143.0,4.501,266262.3392,266262.3392,1.24927
sh688039,当虹科技,43.73,1.08,2.532,43.72,43.73,42.65,42.75,43.79,42.75,1015455,44180223,11:19:51,-48.055,4.354,483660.027152,483660.027152,0.91812
sh688041,海光信息,252.23,0.23,0.091,252.24,252.29,252.0,252.5,255.0,250.0,12170239,3072230754,11:19:53,229.3,24.95,58626779.669293,58626779.669293,0.5236
sh688045,必易微,49.02,0.37,0.761,49.02,49.04,48.65,48.37,49.39,48.37,656288,32094379,11:19:56,288.353,2.459,345968.400078,345968.400078,0.92989
sh688046,药康生物,18.43,-0.45,-2.383,18.43,18.44,18.88,18.84,18.84,18.37,4378098,80912954,11:19:54,68.259,3.433,755630.0,755630.0,1.06783
sh688047,龙芯中科,142.17,0.47,0.332,142.12,142.17,141.7,141.96,143.2,140.5,2898759,411459125,11:19:54,-91.135,22.306,5701017.0,5701017.0,0.72288
sh688048,长光华芯,288.6,-3.9,-1.333,288.59,288.6,292.5,298.16,309.21,288.0,9199069,2743397894,11:19:54,-508.457,16.928,5087439.15498,5087439.15498,5.21844
sh688049,炬芯科技,46.86,0.21,0.45,46.84,46.86,46.65,46.71,47.03,46.59,1869841,87538477,11:19:53,39.712,4.012,820835.6079,820835.6079,1.06746
sh688050,爱博医疗,51.38,0.3,0.587,51.37,51.43,51.08,50.91,51.68,50.91,645733,33138582,11:19:53,25.063,3.536,993705.51315,993705.51315,0.33388
sh688051,佳华科技,31.89,0.44,1.399,31.89,31.91,31.45,31.44,31.9,31.14,370677,11722553,11:19:38,-20.442,4.116,246618.126,246618.126,0.47932
sh688052,纳芯微,162.05,5.84,3.739,162.05,162.06,156.21,156.21,163.98,155.03,2021844,324347173,11:19:55,-101.281,3.469,2635312.731765,2309673.256765,1.41855
sh688053,ST思科瑞,39.06,0.48,1.244,39.06,39.08,38.58,38.8,39.37,38.42,396831,15462607,11:19:42,-186.0,2.428,390600.0,390600.0,0.39683
sh688055,龙腾光电,4.26,-0.04,-0.93,4.25,4.26,4.3,4.3,4.3,4.2,8422373,35780741,11:19:51,-74.737,3.457,1420000.0284,1420000.0284,0.25267
sh688056,莱伯泰科,35.41,0.42,1.2,35.29,35.38,34.99,35.05,35.42,34.62,305189,10707447,11:19:54,60.017,2.97,238849.16086,238849.16086,0.45245
