代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.65,0.0,0.0,2.65,2.65,4197000.0,11149240.0,2.67,2.65,2.67,2.64
00991,大唐发电,2.5,-0.4,-0.01,2.5,2.5,5126000.0,12834890.0,2.51,2.51,2.53,2.49
03369,秦港股份,2.46,0.0,0.0,2.46,2.46,116500.0,286510.0,2.46,2.46,2.47,2.45
02016,浙商银行,2.44,0.41,0.01,2.44,2.44,1799000.0,4376144.0,2.43,2.43,2.44,2.42
00525,广深铁路股份,2.33,3.56,0.08,2.33,2.33,5296000.0,12244894.0,2.27,2.25,2.34,2.25
00895,东江环保,2.1,0.96,0.02,2.1,2.1,106600.0,223340.0,2.11,2.08,2.11,2.07
01375,中州证券,1.95,2.09,0.04,1.95,1.95,4637000.0,9035780.0,1.94,1.91,1.97,1.93
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,7945000.0,12799980.0,1.61,1.6,1.62,1.6
00347,鞍钢股份,1.56,-0.64,-0.01,1.56,1.56,2132000.0,3326520.0,1.57,1.57,1.59,1.55
01528,红星美凯龙,1.31,1.55,0.02,1.31,1.31,632400.0,820332.0,1.3,1.29,1.31,1.28
00338,上海石油化工股份,1.29,1.57,0.02,1.29,1.29,5714000.0,7354180.0,1.28,1.27,1.3,1.27
03996,中国能源建设,1.26,0.8,0.01,1.26,1.26,24778000.0,31147530.0,1.25,1.25,1.27,1.25
02866,中远海发,1.18,-0.84,-0.01,1.18,1.18,3509000.0,4123190.0,1.19,1.19,1.19,1.17
01812,晨鸣纸业,1.15,1.77,0.02,1.15,1.15,186000.0,213905.0,1.13,1.13,1.16,1.13
01053,重庆钢铁股份,1.15,0.88,0.01,1.15,1.15,1962000.0,2254040.0,1.15,1.14,1.16,1.15
06196,郑州银行,1.02,0.99,0.01,1.02,1.02,770000.0,782530.0,1.02,1.01,1.02,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,838000.0,718480.0,0.87,0.86,0.87,0.85
01033,中石化油服,0.83,-1.19,-0.01,0.83,0.83,16933000.0,14079480.0,0.84,0.84,0.84,0.83
00588,北京北辰实业股份,0.81,0.0,0.0,0.81,0.81,13428000.0,10969660.0,0.82,0.81,0.83,0.81
02009,金隅集团,0.78,-1.27,-0.01,0.78,0.78,4099000.0,3198380.0,0.79,0.79,0.79,0.78
03750,宁德时代,718.0,9.53,62.5,718.0,718.0,3211955.0,2269807230.0,684.5,655.5,723.0,682.5
03986,兆易创新,426.4,4.61,18.8,426.4,426.4,848228.0,355491033.8,409.0,407.6,431.8,398.8
06809,澜起科技,222.8,10.08,20.4,222.8,222.8,1220871.0,261831148.0,202.4,202.4,223.8,199.4
06869,长飞光纤光缆,213.8,3.99,8.2,213.8,213.8,9415244.0,1949682623.0,203.0,205.6,215.4,199.0
09980,东鹏饮料,207.6,0.78,1.6,207.6,207.6,38500.0,7920600.0,206.0,206.0,209.0,204.0
06160,百济神州,194.5,2.1,4.0,194.5,194.5,2120922.0,412241271.9,193.0,190.5,196.0,192.0
03200,大族数控,138.2,6.31,8.2,138.2,138.2,657994.0,90401943.0,131.2,130.0,139.8,130.8
02676,纳芯微,133.3,7.33,9.1,133.3,133.3,238500.0,31150350.0,127.6,124.2,134.9,124.3
01989,广合科技,132.3,3.12,4.0,132.3,132.3,782462.0,102920933.5,128.2,128.3,133.4,128.0
02359,药明康德,130.8,0.31,0.4,130.8,130.8,1511650.0,197885090.5,131.5,130.4,132.0,129.9
01304,峰岹科技,120.2,3.71,4.3,120.2,120.2,415400.0,51120120.0,117.8,115.9,127.8,117.8
09995,荣昌生物,119.8,1.27,1.5,119.8,119.8,2943294.0,349563297.2,121.0,118.3,121.2,115.2
01211,比亚迪股份,111.6,4.01,4.3,111.6,111.6,14331079.0,1591259892.2,108.5,107.3,112.6,108.2
06821,凯莱英,99.8,1.17,1.15,99.8,99.8,162600.0,16364650.0,100.4,98.65,101.8,98.65
01347,华虹半导体,90.7,0.33,0.3,90.7,90.7,6054133.0,552789859.55,91.05,90.4,92.55,89.95
06166,剑桥科技,88.55,2.55,2.2,88.55,88.55,2583575.0,225336625.0,85.95,86.35,89.65,84.55
00300,美的集团,86.9,0.64,0.55,86.9,86.9,578980.0,50223047.3,86.45,86.35,87.6,86.35
01772,赣锋锂业,83.2,6.05,4.75,83.2,83.2,10205753.0,842675987.85,79.7,78.45,84.85,78.8
00941,中国移动,81.7,0.43,0.35,81.7,81.7,4510441.0,367957601.75,81.35,81.35,81.75,81.3
02648,安井食品,81.0,0.87,0.7,81.0,81.0,67900.0,5499357.5,80.35,80.3,81.55,80.35
00501,豪威集团,80.6,2.48,1.95,80.6,80.6,555400.0,44282210.0,79.0,78.65,80.95,78.1
09927,赛力斯,80.4,1.64,1.3,80.4,80.4,357400.0,28831830.0,79.7,79.1,81.45,79.65
01276,恒瑞医药,68.0,-0.44,-0.3,68.0,68.0,1408700.0,96116075.0,69.1,68.3,69.3,67.45
02692,兆威机电,67.35,3.54,2.3,67.35,67.35,363760.0,24391189.0,65.95,65.05,68.0,65.5
01880,中国中免,66.55,1.29,0.85,66.55,66.55,284000.0,18814095.0,66.4,65.7,66.65,65.8
02318,中国平安,62.65,0.16,0.1,62.65,62.65,10088140.0,632203702.95,62.55,62.55,63.05,62.3
03606,福耀玻璃,62.45,0.89,0.55,62.45,62.45,294800.0,18360300.0,61.75,61.9,63.5,61.75
02315,百奥赛图-B,60.35,-1.23,-0.75,60.35,60.35,423000.0,25478875.0,62.35,61.1,62.35,59.15
00981,中芯国际,59.25,-0.08,-0.05,59.25,59.25,20257672.0,1205710840.0,59.3,59.3,60.15,58.75
02631,天岳先进,56.85,2.52,1.4,56.85,56.85,780300.0,44228110.0,55.5,55.45,58.2,55.1
