代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.51,-1.11,-2.667,40.5,40.51,41.62,41.3,41.88,40.4,5295358,217516207,13:22:08,-35.85,5.196,1800628.353993,1800628.353993,1.19133
sh688002,睿创微纳,126.0,5.01,4.141,126.0,126.03,120.99,122.0,126.66,120.71,6690536,831972657,13:22:08,50.4,9.113,5868274.7088,5868274.7088,1.43655
sh688003,天准科技,72.33,3.13,4.523,72.13,72.33,69.2,72.48,76.0,70.59,4569571,334826777,13:22:08,111.294,7.532,1405520.1765,1405520.1765,2.35156
sh688004,博汇科技,22.54,0.34,1.532,22.53,22.54,22.2,22.36,22.6,22.19,785369,17548343,13:22:07,-46.958,3.059,180518.352,180518.352,0.98063
sh688005,容百科技,31.08,0.28,0.909,31.08,31.1,30.8,31.4,31.9,30.82,18984162,595397034,13:22:07,-115.111,2.778,2221366.76076,2221035.081216,2.65654
sh688006,杭可科技,30.62,1.27,4.327,30.62,30.63,29.35,29.7,31.68,29.5,20149290,618700244,13:22:08,50.197,3.428,1848444.129424,1848444.129424,3.33779
sh688007,光峰科技,14.39,0.04,0.279,14.39,14.4,14.35,14.36,14.49,14.33,2039729,29381128,13:22:06,239.833,2.568,661386.898765,661386.898765,0.44379
sh688008,澜起科技,150.86,3.68,2.5,150.84,150.87,147.18,147.48,152.85,144.34,30500749,4550743362,13:22:08,76.579,14.267,18438109.516806,17294990.495806,2.66051
sh688009,中国通号,5.34,-0.04,-0.743,5.34,5.35,5.38,5.38,5.4,5.31,33048825,176420929,13:22:09,15.706,1.194,5654963.346,4603623.612,0.38335
sh688010,福光股份,34.19,0.37,1.094,34.18,34.19,33.82,33.82,35.08,33.82,3429134,118258011,13:22:06,566.06,3.27,548960.035182,548960.035182,2.13571
sh688011,新光光电,67.39,-0.14,-0.207,67.39,67.41,67.53,67.55,68.5,65.98,1003951,67699179,13:22:06,-99.103,6.298,673900.0,671625.742497,1.00735
sh688012,中微公司,317.7,-2.66,-0.83,317.68,317.7,320.36,323.1,324.5,317.2,6464989,2068443845,13:22:07,93.441,8.776,19917178.8237,19917178.8237,1.03123
sh688013,天臣医疗,38.18,0.1,0.263,38.12,38.18,38.08,38.07,38.3,37.53,610117,23154378,13:22:07,58.738,5.167,309852.0808,309852.0808,0.75179
sh688015,交控科技,22.94,0.14,0.614,22.93,22.95,22.8,22.8,23.09,22.61,905063,20736234,13:22:08,52.136,1.668,432833.622148,432833.622148,0.47968
sh688016,心脉医疗,100.28,-0.82,-0.811,100.26,100.28,101.1,101.09,101.2,99.97,1039566,104366791,13:22:07,21.566,3.033,1236072.509276,1236072.509276,0.84338
sh688017,绿的谐波,204.87,-1.63,-0.789,204.75,204.87,206.5,212.0,213.77,204.56,3473163,723738325,13:22:06,616.893,10.712,3755884.270875,3755884.270875,1.89449
sh688018,乐鑫科技,151.12,0.02,0.013,151.12,151.2,151.1,151.58,152.8,150.08,1545435,234090366,13:22:06,47.944,5.665,2525865.16712,2368091.534864,0.98622
sh688019,安集科技,250.54,-1.31,-0.52,250.53,250.54,251.85,252.11,254.66,248.48,2508508,628561965,13:22:06,53.764,12.467,4384309.597384,4384309.597384,1.43348
sh688020,方邦股份,90.57,-0.33,-0.363,90.54,90.58,90.9,90.89,92.5,89.84,1449893,132003496,13:22:08,-79.447,5.396,746197.173,746197.173,1.75981
sh688021,奥福科技,24.29,0.18,0.747,24.27,24.29,24.11,24.08,24.4,23.82,1168776,28191108,13:22:08,-41.169,2.164,185608.918593,185608.918593,1.52954
sh688022,瀚川智能,16.84,-0.09,-0.532,16.83,16.84,16.93,16.91,17.09,16.83,1955158,33064815,13:22:07,-2.686,4.276,296179.097616,296179.097616,1.11165
sh688023,安恒信息,51.27,0.67,1.324,51.27,51.3,50.6,51.04,51.75,50.8,1639566,84179230,13:22:06,-89.947,2.199,521849.023833,521849.023833,1.61082
sh688025,杰普特,281.16,9.58,3.528,280.25,281.15,271.58,266.15,292.32,262.62,4151183,1152606314,13:22:06,95.959,11.627,2672409.577068,2672409.577068,4.36739
sh688026,洁特生物,16.27,0.05,0.308,16.25,16.27,16.22,16.24,16.35,16.07,985015,15990366,13:22:03,31.288,2.063,228372.922729,228299.997335,0.70198
sh688027,国盾量子,607.85,29.85,5.164,607.84,607.85,578.0,594.77,628.88,591.0,3844486,2341380681,13:22:08,12157.0,19.267,6252405.945785,4885556.08045,4.78322
sh688028,沃尔德,98.73,0.89,0.91,98.73,98.75,97.84,97.6,99.91,94.6,5055781,491051252,13:22:07,157.816,7.506,1490319.477,1490319.477,3.34933
sh688029,南微医学,74.99,-0.21,-0.279,74.99,75.04,75.2,75.41,75.73,74.52,443546,33307115,13:22:07,25.42,3.459,1408667.817578,1408667.817578,0.23612
sh688030,山石网科,15.58,0.33,2.164,15.56,15.58,15.25,15.25,15.79,15.25,1579320,24553556,13:21:56,-14.509,3.933,280807.482344,280807.482344,0.87625
sh688031,星环科技,138.1,1.52,1.113,138.04,138.1,136.58,137.0,142.88,136.59,4573809,638811123,13:22:06,-68.03,19.396,1672886.99996,1672886.99996,3.77577
sh688032,禾迈股份,113.49,0.39,0.345,113.48,113.49,113.1,113.43,114.88,111.8,914674,103897094,13:22:07,40.677,2.414,1408110.662205,1408110.662205,0.7372
sh688033,天宜新材,8.31,0.06,0.727,8.3,8.31,8.25,8.25,8.34,8.17,4802330,39682755,13:22:03,-3.136,1.417,467187.033276,467187.033276,0.85421
sh688035,德邦科技,62.86,0.24,0.383,62.86,62.87,62.62,62.64,64.15,62.52,2688729,170046626,13:22:06,82.711,3.847,894120.64,894120.64,1.89028
sh688036,传音控股,52.64,0.48,0.92,52.63,52.64,52.16,52.21,52.94,52.16,4814811,252963899,13:22:06,23.292,2.952,6059835.44488,6059835.44488,0.41825
sh688037,芯源微,187.04,5.05,2.775,187.04,187.15,181.99,182.9,189.98,180.3,4158285,775642727,13:22:07,185.188,13.935,3771236.944384,3771236.944384,2.06236
sh688038,中科通达,23.1,0.47,2.077,23.09,23.1,22.63,22.98,23.49,22.56,1942142,44711912,13:22:06,-144.375,4.544,268822.554,268822.554,1.66889
sh688039,当虹科技,43.51,0.86,2.016,43.47,43.52,42.65,42.75,43.79,42.75,1212695,52756618,13:21:57,-47.813,4.332,481226.795824,481226.795824,1.09646
sh688041,海光信息,250.33,-1.67,-0.663,250.3,250.33,252.0,252.5,255.0,248.0,15936755,4014152523,13:22:08,227.573,24.762,58185155.432003,58185155.432003,0.68565
sh688045,必易微,48.87,0.22,0.452,48.81,48.87,48.65,48.37,49.39,48.37,789847,38611143,13:22:05,287.471,2.451,344909.745243,344909.745243,1.11913
sh688046,药康生物,18.44,-0.44,-2.331,18.45,18.47,18.88,18.84,18.84,18.37,5037993,93103180,13:22:06,68.296,3.435,756040.0,756040.0,1.22878
sh688047,龙芯中科,140.85,-0.85,-0.6,140.81,140.85,141.7,141.96,143.2,139.98,3910485,553846470,13:22:06,-90.288,22.099,5648085.0,5648085.0,0.97518
sh688048,长光华芯,289.66,-2.84,-0.971,289.62,289.66,292.5,298.16,309.21,288.0,10347729,3076833182,13:22:06,-510.324,16.99,5106124.828938,5106124.828938,5.87005
sh688049,炬芯科技,46.56,-0.09,-0.193,46.56,46.59,46.65,46.71,47.03,46.35,2633857,123118968,13:22:08,39.458,3.987,815580.5784,815580.5784,1.50362
sh688050,爱博医疗,51.12,0.04,0.078,51.12,51.13,51.08,50.91,51.68,50.91,766348,39316200,13:22:08,24.937,3.518,988677.0306,988677.0306,0.39624
sh688051,佳华科技,31.85,0.4,1.272,31.83,31.85,31.45,31.44,31.99,31.14,449004,14219194,13:22:08,-20.417,4.111,246308.79,246308.79,0.5806
sh688052,纳芯微,161.5,5.29,3.386,161.43,161.5,156.21,156.21,163.98,155.03,2495153,401205832,13:22:07,-100.938,3.457,2626368.44295,2301834.19295,1.75064
sh688053,ST思科瑞,39.0,0.42,1.089,39.0,39.01,38.58,38.8,39.37,38.42,585459,22813498,13:21:42,-185.714,2.424,390000.0,390000.0,0.58546
sh688055,龙腾光电,4.23,-0.07,-1.628,4.23,4.24,4.3,4.3,4.3,4.2,9974494,42355880,13:22:06,-74.211,3.432,1410000.0282,1410000.0282,0.29923
sh688056,莱伯泰科,35.34,0.35,1.0,35.32,35.34,34.99,35.05,35.42,34.62,367044,12888058,13:21:51,59.898,2.964,238376.99364,238376.99364,0.54415
sh688057,金达莱,12.44,0.05,0.404,12.44,12.45,12.39,12.38,12.45,12.26,437023,5417298,13:22:07,25.091,1.088,343344.0,343344.0,0.15834
sh688058,宝兰德,29.07,0.68,2.395,29.06,29.09,28.39,28.55,29.25,28.27,683904,19697206,13:22:06,-36.797,3.463,220456.833408,220456.833408,0.90181
sh688059,华锐精密,127.07,5.98,4.938,127.01,127.02,121.09,121.11,127.5,121.11,2157297,267225886,13:22:06,73.451,9.585,1270531.860976,1189102.838162,2.30533
sh688060,云涌科技,46.11,0.77,1.698,46.05,46.15,45.34,45.35,46.2,44.95,165844,7561829,13:22:08,-78.821,3.082,277539.446808,277539.446808,0.27553
sh688061,灿瑞科技,32.36,0.2,0.622,32.34,32.37,32.16,32.4,32.6,32.06,473141,15300146,13:22:00,-70.348,1.562,371782.069276,145688.305488,1.05093
sh688062,迈威生物,39.67,0.58,1.484,39.67,39.68,39.09,39.19,41.0,38.45,10206708,406729760,13:22:08,-16.325,45.358,1585213.2,809942.39,4.99912
