代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.65,-2.21,-0.06,2.65,2.65,3614000.0,9658120.0,2.73,2.71,2.73,2.64
00991,大唐发电,2.51,0.0,0.0,2.51,2.51,14124834.0,35399464.62,2.49,2.51,2.52,2.48
03369,秦港股份,2.46,0.41,0.01,2.46,2.46,1032000.0,2546360.0,2.47,2.45,2.47,2.45
02016,浙商银行,2.43,0.41,0.01,2.43,2.43,4973237.0,12057305.39,2.42,2.42,2.44,2.41
00525,广深铁路股份,2.25,-0.44,-0.01,2.25,2.25,3228000.0,7283020.0,2.28,2.26,2.29,2.24
00895,东江环保,2.08,-1.89,-0.04,2.08,2.08,1268800.0,2648408.0,2.16,2.12,2.16,2.07
01375,中州证券,1.91,-0.52,-0.01,1.91,1.91,6612000.0,12769780.0,1.94,1.92,1.96,1.91
01618,中国中冶,1.6,-1.23,-0.02,1.6,1.6,20523638.0,33034114.16,1.61,1.62,1.62,1.6
00347,鞍钢股份,1.57,-0.63,-0.01,1.57,1.57,5754500.0,9027695.0,1.57,1.58,1.6,1.55
01528,红星美凯龙,1.29,0.0,0.0,1.29,1.29,7044800.0,9158966.0,1.3,1.29,1.32,1.29
00338,上海石油化工股份,1.27,-1.55,-0.02,1.27,1.27,26849300.0,34462034.0,1.3,1.29,1.31,1.27
03996,中国能源建设,1.25,-2.34,-0.03,1.25,1.25,89134000.0,112167150.0,1.28,1.28,1.28,1.24
02866,中远海发,1.19,1.71,0.02,1.19,1.19,14186000.0,16753370.0,1.18,1.17,1.19,1.17
01053,重庆钢铁股份,1.14,-0.87,-0.01,1.14,1.14,4506000.0,5170240.0,1.15,1.15,1.16,1.14
01812,晨鸣纸业,1.13,-1.74,-0.02,1.13,1.13,1270500.0,1446050.0,1.15,1.15,1.16,1.13
06196,郑州银行,1.01,0.0,0.0,1.01,1.01,3440000.0,3491570.0,1.02,1.01,1.02,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,3368600.0,2896818.0,0.86,0.86,0.87,0.85
01033,中石化油服,0.84,-3.45,-0.03,0.84,0.84,82058000.0,69099718.0,0.86,0.87,0.86,0.83
00588,北京北辰实业股份,0.81,-6.9,-0.06,0.81,0.81,136478000.0,122321620.0,0.9,0.87,1.01,0.81
02009,金隅集团,0.79,-1.25,-0.01,0.79,0.79,8641000.0,6820985.0,0.8,0.8,0.81,0.78
03750,宁德时代,655.5,-0.68,-4.5,655.5,655.5,3932787.0,2576849892.38,660.0,660.0,674.0,648.0
03986,兆易创新,407.6,-4.54,-19.4,407.6,407.6,1566424.0,654699080.8,433.8,427.0,437.0,406.8
09980,东鹏饮料,206.0,2.49,5.0,206.0,206.0,359628.0,73604034.8,201.0,201.0,209.4,199.6
06869,长飞光纤光缆,205.6,-4.99,-10.8,205.6,205.6,19999809.0,4111183121.0,217.0,216.4,218.2,200.4
06809,澜起科技,202.4,-3.53,-7.4,202.4,202.4,1628490.0,340846802.8,216.8,209.8,218.0,201.0
06160,百济神州,190.5,3.03,5.6,190.5,190.5,5645014.0,1072129221.21,187.8,184.9,191.8,187.1
02359,药明康德,130.4,0.31,0.4,130.4,130.4,3593108.0,468416340.07,131.9,130.0,132.5,128.4
03200,大族数控,130.0,-3.7,-5.0,130.0,130.0,989504.0,131503764.12,138.0,135.0,138.8,130.0
01989,广合科技,128.3,-0.93,-1.2,128.3,128.3,1144300.0,146663100.6,133.6,129.5,133.6,126.1
02676,纳芯微,124.2,2.81,3.4,124.2,124.2,225900.0,27982020.0,122.1,120.8,126.3,121.1
09995,荣昌生物,118.3,9.13,9.9,118.3,118.3,7099398.0,817938387.7,111.5,108.4,119.1,107.8
01304,峰岹科技,115.9,2.84,3.2,115.9,115.9,325000.0,38305830.0,115.4,112.7,122.5,114.1
01211,比亚迪股份,107.3,-1.92,-2.1,107.3,107.3,20699945.0,2244025694.5,110.6,109.4,111.0,107.0
06821,凯莱英,98.65,-1.94,-1.95,98.65,98.65,591400.0,58361402.5,102.5,100.6,104.5,95.8
01347,华虹半导体,90.4,0.17,0.15,90.4,90.4,17326574.0,1589135094.6,92.6,90.25,93.45,89.85
00300,美的集团,86.35,1.11,0.95,86.35,86.35,2861717.0,246472979.5,86.0,85.4,86.65,85.35
06166,剑桥科技,86.35,-3.14,-2.8,86.35,86.35,10943825.0,997094924.85,88.0,89.15,95.3,85.3
00941,中国移动,81.35,-0.18,-0.15,81.35,81.35,17277952.0,1405443528.9,81.7,81.5,81.75,80.9
02648,安井食品,80.3,-0.43,-0.35,80.3,80.3,420575.0,33521208.75,81.4,80.65,81.6,78.9
09927,赛力斯,79.1,-1.56,-1.25,79.1,79.1,512608.0,40981718.09,80.5,80.35,81.6,79.1
00501,豪威集团,78.65,-2.3,-1.85,78.65,78.65,939000.0,74586485.0,80.8,80.5,82.8,78.6
01772,赣锋锂业,78.45,-4.97,-4.1,78.45,78.45,11642548.0,919399253.45,83.2,82.55,83.2,77.3
01276,恒瑞医药,68.3,4.04,2.65,68.3,68.3,4362127.0,295575366.0,67.2,65.65,68.55,66.8
01880,中国中免,65.7,0.92,0.6,65.7,65.7,1464300.0,96816997.5,66.0,65.1,67.1,65.3
02692,兆威机电,65.05,-4.48,-3.05,65.05,65.05,647300.0,44191035.0,68.8,68.1,71.15,64.85
