代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.84,-0.78,-1.874,40.83,40.84,41.62,41.3,41.88,40.29,6630688,271794968,14:23:11,-36.142,5.238,1815296.518812,1815296.518812,1.49175
sh688002,睿创微纳,125.46,4.47,3.695,125.45,125.46,120.99,122.0,126.66,120.71,8440807,1052609008,14:23:11,50.184,9.073,5843124.960048,5843124.960048,1.81236
sh688003,天准科技,71.51,2.31,3.338,71.53,71.58,69.2,72.48,76.0,70.59,5039248,368511876,14:23:11,110.032,7.446,1389585.8955,1389585.8955,2.59327
sh688004,博汇科技,22.73,0.53,2.387,22.72,22.74,22.2,22.36,22.84,22.19,1339905,30162529,14:23:07,-47.354,3.085,182040.024,182040.024,1.67304
sh688005,容百科技,31.16,0.36,1.169,31.15,31.16,30.8,31.4,31.9,30.82,21431109,671455646,14:23:13,-115.407,2.786,2227084.56452,2226752.031232,2.99896
sh688006,杭可科技,30.52,1.17,3.986,30.51,30.52,29.35,29.7,31.68,29.5,22623709,694029257,14:23:10,50.033,3.417,1842407.407904,1842407.407904,3.74768
sh688007,光峰科技,14.47,0.12,0.836,14.47,14.48,14.35,14.36,14.49,14.33,2520814,36328561,14:23:06,241.167,2.582,665063.823845,665063.823845,0.54846
sh688008,澜起科技,150.82,3.64,2.473,150.82,150.83,147.18,147.48,152.85,144.34,35197566,5258797946,14:23:11,76.558,14.263,18433220.716722,17290404.789722,3.0702
sh688009,中国通号,5.34,-0.04,-0.743,5.34,5.35,5.38,5.38,5.4,5.31,39323897,209951198,14:23:12,15.706,1.194,5654963.346,4603623.612,0.45614
sh688010,福光股份,34.46,0.64,1.892,34.45,34.46,33.82,33.82,35.08,33.82,3817346,131596584,14:23:09,570.53,3.296,553295.197788,553295.197788,2.3775
sh688011,新光光电,67.89,0.36,0.533,67.79,67.87,67.53,67.55,68.5,65.98,1188969,80227208,14:23:09,-99.838,6.345,678900.0,676608.868647,1.193
sh688012,中微公司,318.01,-2.35,-0.734,318.0,318.01,320.36,323.1,324.5,316.0,8934164,2851387803,14:23:11,93.532,8.785,19936613.27581,19936613.27581,1.42509
sh688013,天臣医疗,38.35,0.27,0.709,38.36,38.37,38.08,38.07,38.44,37.53,826613,31441139,14:23:11,59.0,5.19,311231.726,311231.726,1.01855
sh688015,交控科技,23.08,0.28,1.228,23.09,23.1,22.8,22.8,23.16,22.61,1167017,26772119,14:23:02,52.455,1.678,435475.152536,435475.152536,0.61851
sh688016,心脉医疗,100.55,-0.55,-0.544,100.56,100.6,101.1,101.09,101.2,99.97,1348796,135393005,14:23:11,21.624,3.041,1239400.586435,1239400.586435,1.09425
sh688017,绿的谐波,206.6,0.1,0.048,206.6,206.63,206.5,212.0,213.77,204.0,4313914,896167210,14:23:12,622.102,10.803,3787600.3825,3787600.3825,2.35309
sh688018,乐鑫科技,151.91,0.81,0.536,151.9,151.91,151.1,151.58,152.8,150.08,1854170,280834807,14:23:12,48.195,5.695,2539069.46491,2380471.049902,1.18324
sh688019,安集科技,253.18,1.33,0.528,253.1,253.16,251.85,252.11,254.66,248.48,3224213,808703261,14:23:12,54.33,12.598,4430508.117928,4430508.117928,1.84247
sh688020,方邦股份,91.05,0.15,0.165,90.93,91.05,90.9,90.89,92.5,89.84,1692571,154023824,14:23:08,-79.868,5.424,750151.845,750151.845,2.05437
sh688021,奥福科技,24.55,0.44,1.825,24.55,24.56,24.11,24.08,24.64,23.82,1444797,34953602,14:23:08,-41.61,2.187,187595.675235,187595.675235,1.89076
sh688022,瀚川智能,16.92,-0.01,-0.059,16.91,16.92,16.93,16.91,17.09,16.83,2632829,44527716,14:23:13,-2.699,4.296,297586.124208,297586.124208,1.49696
sh688023,安恒信息,51.59,0.99,1.957,51.56,51.59,50.6,51.04,51.75,50.8,1875265,96304689,14:23:03,-90.509,2.212,525106.127161,525106.127161,1.84239
sh688025,杰普特,283.21,11.63,4.282,283.25,283.7,271.58,266.15,292.32,262.62,4717047,1311510733,14:23:12,96.659,11.711,2691894.708783,2691894.708783,4.96273
sh688026,洁特生物,16.41,0.19,1.171,16.41,16.42,16.22,16.24,16.47,16.07,1407548,22912385,14:23:12,31.558,2.08,230338.024707,230264.471805,1.0031
sh688027,国盾量子,613.08,35.08,6.069,612.8,613.08,578.0,594.77,628.88,591.0,4136115,2519546432,14:23:11,12261.6,19.433,6306202.249308,4927591.87596,5.14606
sh688028,沃尔德,98.27,0.43,0.439,98.21,98.27,97.84,97.6,99.91,94.6,5835099,567364391,14:23:13,157.081,7.471,1483375.823,1483375.823,3.86561
sh688029,南微医学,75.24,0.04,0.053,75.24,75.27,75.2,75.41,75.73,74.52,571204,42890028,14:23:07,25.505,3.471,1413364.003128,1413364.003128,0.30408
sh688030,山石网科,15.82,0.57,3.738,15.81,15.82,15.25,15.25,15.82,15.25,2203368,34383213,14:23:05,-14.733,3.994,285133.143176,285133.143176,1.22249
sh688031,星环科技,138.77,2.19,1.603,138.76,138.77,136.58,137.0,142.88,136.59,5418440,756081438,14:23:12,-68.36,19.49,1681003.106332,1681003.106332,4.47303
sh688032,禾迈股份,114.09,0.99,0.875,114.09,114.18,113.1,113.43,114.88,111.8,1066259,121169227,14:23:10,40.892,2.427,1415555.074905,1415555.074905,0.85938
