代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.88,-0.74,-1.778,40.87,40.88,41.62,41.3,41.88,40.88,3626542,149516234,10:49:20,-36.177,5.244,1817074.478184,1817074.478184,0.81589
sh688002,睿创微纳,125.28,4.29,3.546,125.2,125.28,120.99,122.0,126.66,120.71,4646764,575214559,10:49:20,50.112,9.06,5834741.710464,5834741.710464,0.99772
sh688003,天准科技,73.21,4.01,5.795,73.23,73.4,69.2,72.48,76.0,70.59,4002399,293768358,10:49:20,112.648,7.623,1422620.3805,1422620.3805,2.05969
sh688004,博汇科技,22.37,0.17,0.766,22.37,22.4,22.2,22.36,22.45,22.19,625341,13947975,10:49:10,-46.604,3.036,179156.856,179156.856,0.78082
sh688005,容百科技,31.22,0.42,1.364,31.2,31.23,30.8,31.4,31.9,30.82,16278390,511233328,10:49:22,-115.63,2.791,2231372.91734,2231039.743744,2.27791
sh688006,杭可科技,31.59,2.24,7.632,31.5,31.58,29.35,29.7,31.68,29.5,16861186,516397090,10:49:19,51.787,3.537,1907000.328168,1907000.328168,2.7931
sh688007,光峰科技,14.42,0.07,0.488,14.42,14.43,14.35,14.36,14.48,14.33,1535034,22097438,10:49:18,240.333,2.573,662765.74567,662765.74567,0.33398
sh688008,澜起科技,150.14,2.96,2.011,150.14,150.15,147.18,147.48,151.21,144.34,21145511,3134019684,10:49:20,76.213,14.199,18350111.115294,17212447.786294,1.84447
sh688009,中国通号,5.33,-0.05,-0.929,5.32,5.33,5.38,5.38,5.4,5.31,24908602,133096134,10:49:21,15.676,1.192,5644373.527,4595002.594,0.28893
sh688010,福光股份,34.34,0.52,1.538,34.34,34.35,33.82,33.82,35.08,33.82,2680654,92611784,10:49:18,568.543,3.285,551368.458852,551368.458852,1.66955
sh688011,新光光电,68.0,0.47,0.696,67.89,67.99,67.53,67.55,68.5,65.98,783290,52818001,10:49:21,-100.0,6.355,680000.0,677705.1564,0.78594
sh688012,中微公司,319.51,-0.85,-0.265,319.5,319.51,320.36,323.1,324.5,317.2,3900656,1250561663,10:49:22,93.974,8.826,20030650.94731,20030650.94731,0.6222
sh688013,天臣医疗,38.04,-0.04,-0.105,38.0,38.03,38.08,38.07,38.3,37.53,451951,17132227,10:49:10,58.523,5.149,308715.9024,308715.9024,0.55689
sh688015,交控科技,22.98,0.18,0.789,22.97,22.98,22.8,22.8,23.03,22.61,592518,13543754,10:49:14,52.227,1.671,433588.345116,433588.345116,0.31403
sh688016,心脉医疗,100.45,-0.65,-0.643,100.34,100.44,101.1,101.09,101.2,99.97,708636,71188649,10:49:19,21.602,3.038,1238167.965265,1238167.965265,0.5749
sh688017,绿的谐波,206.7,0.2,0.097,206.61,206.7,206.5,212.0,213.77,206.39,2487236,520597098,10:49:21,622.403,10.808,3789433.68375,3789433.68375,1.3567
sh688018,乐鑫科技,151.8,0.7,0.463,151.8,151.88,151.1,151.58,152.8,150.08,1059071,160482472,10:49:21,48.16,5.691,2537230.8918,2378747.31996,0.67585
sh688019,安集科技,249.8,-2.05,-0.814,249.8,250.0,251.85,252.11,254.66,248.48,1637509,410527821,10:49:21,53.605,12.43,4371360.01208,4371360.01208,0.93575
sh688020,方邦股份,91.61,0.71,0.781,91.6,91.61,90.9,90.89,92.5,89.84,789313,71989466,10:49:20,-80.36,5.458,754765.629,754765.629,0.95803
sh688021,奥福科技,24.26,0.15,0.622,24.23,24.25,24.11,24.08,24.33,23.82,878901,21141959,10:49:20,-41.119,2.161,185379.677442,185379.677442,1.15019
sh688022,瀚川智能,16.87,-0.06,-0.354,16.86,16.87,16.93,16.91,17.09,16.85,1324868,22421539,10:49:22,-2.691,4.283,296706.732588,296706.732588,0.75329
sh688023,安恒信息,51.56,0.96,1.897,51.51,51.58,50.6,51.04,51.75,50.8,1232669,63238802,10:49:21,-90.456,2.211,524800.773724,524800.773724,1.21106
sh688025,杰普特,274.07,2.49,0.917,274.09,275.38,271.58,266.15,278.0,262.62,2302375,626930872,10:49:21,93.539,11.333,2605019.536161,2605019.536161,2.42229
sh688026,洁特生物,16.21,-0.01,-0.062,16.19,16.21,16.22,16.24,16.31,16.07,717838,11641222,10:49:21,31.173,2.055,227530.736167,227458.079705,0.51157
sh688027,国盾量子,613.0,35.0,6.055,613.0,613.5,578.0,594.77,628.88,591.0,3442722,2095978434,10:49:20,12260.0,19.43,6305379.3613,4926948.881,4.28336
sh688028,沃尔德,98.6,0.76,0.777,98.6,98.68,97.84,97.6,99.91,94.6,3536049,341296702,10:49:22,157.609,7.496,1488357.14,1488357.14,2.34255
sh688029,南微医学,75.08,-0.12,-0.16,75.04,75.08,75.2,75.41,75.73,74.52,297100,22314908,10:49:22,25.451,3.464,1410358.444376,1410358.444376,0.15816
sh688030,山石网科,15.63,0.38,2.492,15.63,15.65,15.25,15.25,15.7,15.25,1230453,19093279,10:49:17,-14.556,3.946,281708.661684,281708.661684,0.68269
sh688031,星环科技,141.48,4.9,3.588,141.34,141.48,136.58,137.0,142.27,136.59,2902905,404971641,10:49:21,-69.695,19.87,1713830.939568,1713830.939568,2.3964
sh688032,禾迈股份,114.0,0.9,0.796,114.0,114.05,113.1,113.43,114.88,111.8,637491,72322364,10:49:19,40.86,2.425,1414438.413,1414438.413,0.5138
sh688033,天宜新材,8.28,0.03,0.364,8.28,8.3,8.25,8.25,8.34,8.17,3288858,27130401,10:49:15,-3.125,1.412,465500.437488,465500.437488,0.585
sh688035,德邦科技,63.11,0.49,0.782,63.15,63.18,62.62,62.64,64.15,62.52,1834791,116178311,10:49:21,83.039,3.862,897676.64,897676.64,1.28993
sh688036,传音控股,52.49,0.33,0.633,52.47,52.49,52.16,52.21,52.79,52.16,2823169,148212047,10:49:21,23.226,2.944,6042567.676705,6042567.676705,0.24524
sh688037,芯源微,188.0,6.01,3.302,187.89,188.0,181.99,182.9,189.96,180.3,2765928,513632996,10:49:22,186.139,14.006,3790593.1648,3790593.1648,1.3718
sh688038,中科通达,22.96,0.33,1.458,22.95,22.96,22.63,22.98,23.49,22.56,1310104,30126050,10:49:18,-143.5,4.517,267193.3264,267193.3264,1.12578
sh688039,当虹科技,43.52,0.87,2.04,43.54,43.6,42.65,42.75,43.79,42.75,898402,39064096,10:49:21,-47.824,4.333,481337.397248,481337.397248,0.81229
sh688041,海光信息,252.42,0.42,0.167,252.42,252.5,252.0,252.5,255.0,250.0,10514909,2653767335,10:49:20,229.473,24.969,58670942.093022,58670942.093022,0.45238
sh688045,必易微,48.98,0.33,0.678,48.93,48.98,48.65,48.37,49.39,48.37,580694,28390630,10:49:20,288.118,2.457,345686.092122,345686.092122,0.82278
sh688046,药康生物,18.51,-0.37,-1.96,18.5,18.51,18.88,18.84,18.84,18.37,3823646,70659297,10:49:18,68.556,3.448,758910.0,758910.0,0.9326
sh688047,龙芯中科,142.3,0.6,0.423,142.25,142.29,141.7,141.96,142.68,140.5,2418954,343056581,10:49:21,-91.218,22.327,5706230.0,5706230.0,0.60323
sh688048,长光华芯,294.12,1.62,0.554,294.12,294.18,292.5,298.16,309.21,292.01,7499970,2249323611,10:49:21,-518.182,17.252,5184745.683516,5184745.683516,4.25458
sh688049,炬芯科技,46.78,0.13,0.279,46.75,46.78,46.65,46.71,47.03,46.59,1547647,72446853,10:49:20,39.644,4.005,819434.2667,819434.2667,0.88352
sh688050,爱博医疗,51.35,0.27,0.529,51.35,51.38,51.08,50.91,51.68,50.91,563737,28925753,10:49:20,25.049,3.534,993125.303625,993125.303625,0.29148
sh688051,佳华科技,31.75,0.3,0.954,31.71,31.75,31.45,31.44,31.8,31.14,267099,8433897,10:49:17,-20.353,4.098,245535.45,245535.45,0.34538
sh688052,纳芯微,161.92,5.71,3.655,161.92,162.05,156.21,156.21,163.98,155.03,1691029,270566152,10:49:22,-101.2,3.466,2633198.627136,2307820.387136,1.18645
sh688053,ST思科瑞,39.0,0.42,1.089,39.0,39.08,38.58,38.8,39.37,38.42,362410,14118132,10:49:21,-185.714,2.424,390000.0,390000.0,0.36241
sh688055,龙腾光电,4.24,-0.06,-1.395,4.24,4.25,4.3,4.3,4.3,4.2,7689662,32666557,10:49:21,-74.386,3.44,1413333.3616,1413333.3616,0.23069
sh688056,莱伯泰科,35.13,0.14,0.4,35.12,35.17,34.99,35.05,35.3,34.62,255051,8939513,10:49:21,59.542,2.947,236960.49198,236960.49198,0.37812
sh688057,金达莱,12.45,0.06,0.484,12.44,12.45,12.39,12.38,12.45,12.26,270067,3341072,10:49:22,25.111,1.089,343620.0,343620.0,0.09785
sh688058,宝兰德,28.98,0.59,2.078,28.98,29.0,28.39,28.55,29.05,28.27,507332,14560996,10:49:18,-36.684,3.453,219774.304512,219774.304512,0.66898
sh688059,华锐精密,123.79,2.7,2.23,123.7,123.88,121.09,121.11,124.2,121.11,1224800,150410988,10:49:21,71.555,9.338,1237736.201072,1158409.068514,1.30885
sh688060,云涌科技,45.73,0.39,0.86,45.67,45.78,45.34,45.35,45.89,44.95,102113,4635724,10:49:17,-78.171,3.056,275252.199144,275252.199144,0.16965
sh688061,灿瑞科技,32.39,0.23,0.715,32.39,32.4,32.16,32.4,32.6,32.06,354305,11444812,10:49:18,-70.413,1.563,372126.737449,145823.368812,0.78698
sh688062,迈威生物,39.96,0.87,2.226,39.95,39.96,39.09,39.19,41.0,38.45,8285216,330016491,10:49:20,-16.444,45.689,1596801.6,815863.32,4.058
sh688063,派能科技,74.78,1.74,2.382,74.77,74.78,73.04,74.0,75.47,72.71,6821429,507567478,10:49:22,213.657,1.993,1834796.464022,1834796.464022,2.78018
sh688065,凯赛生物,48.51,0.0,0.0,48.51,48.53,48.51,48.53,48.9,48.22,1318248,64018486,10:49:19,57.75,1.988,3498976.790694,2829966.867189,0.22597
sh688066,航天宏图,20.0,0.02,0.1,19.99,20.0,19.98,19.85,20.15,19.36,6977998,137624154,10:49:22,-3.752,12.466,522556.712,522556.712,2.67071
sh688067,爱威科技,26.51,0.11,0.417,26.51,26.52,26.4,26.25,26.63,26.06,479007,12612871,10:49:20,77.971,3.478,180268.0,180268.0,0.70442
sh688068,热景生物,124.95,-1.3,-1.03,124.95,125.12,126.25,124.1,126.2,121.0,1378064,170098176,10:49:20,-58.939,3.95,1158385.7103,1158385.7103,1.48646
sh688069,德林海,35.06,0.35,1.008,35.06,35.1,34.71,34.8,35.37,34.59,755459,26348608,10:49:19,-44.949,3.185,396178.0,396178.0,0.66855
sh688070,纵横股份,48.29,-0.17,-0.351,48.27,48.29,48.46,48.4,48.65,47.9,473151,22860696,10:49:13,402.417,7.114,422923.82,422923.82,0.54025
sh688071,华依科技,31.76,0.14,0.443,31.75,31.79,31.62,31.36,31.89,31.29,458611,14503980,10:49:16,-57.745,2.543,269292.163424,269292.163424,0.54088
sh688072,拓荆科技,403.67,1.67,0.415,402.53,403.63,402.0,403.0,407.55,395.24,1658387,666066401,10:49:22,162.77,18.716,11411468.815404,11411468.815404,0.58664
sh688073,毕得医药,62.76,0.06,0.096,62.76,62.85,62.7,62.77,63.27,61.58,470925,29319769,10:49:19,47.545,2.848,570381.381648,570381.381648,0.51817
sh688075,安旭生物,38.91,-0.1,-0.256,38.87,38.93,39.01,39.2,39.2,38.69,119312,4634051,10:49:02,25.768,0.958,494479.194255,494479.194255,0.09389
sh688076,ST诺泰,30.82,-0.11,-0.356,30.82,30.85,30.93,30.88,31.1,30.72,712905,21982570,10:49:22,16.394,3.133,974071.946554,974071.946554,0.22557
sh688077,大地熊,29.7,0.33,1.124,29.68,29.69,29.37,29.45,29.76,29.22,776061,22893417,10:49:19,59.4,3.092,340001.15688,340001.15688,0.67791
sh688078,龙软科技,24.32,0.32,1.333,24.31,24.35,24.0,24.1,24.55,23.96,427602,10366969,10:49:22,52.87,2.469,177275.776,177275.776,0.58662
sh688079,美迪凯,15.49,0.2,1.308,15.48,15.49,15.29,15.14,15.64,15.04,5257857,80590113,10:49:20,-39.718,4.993,637368.854722,626268.844642,1.30047
sh688080,映翰通,56.23,1.05,1.903,56.23,56.32,55.18,55.63,56.47,55.0,643041,35927217,10:49:21,31.949,3.689,414168.430236,414168.430236,0.87303
sh688081,兴图新科,50.2,0.84,1.702,50.19,50.2,49.36,50.0,50.68,48.69,1235175,61490120,10:49:22,-63.544,13.222,517260.8,517260.8,1.19873
sh688082,盛美上海,155.18,-0.82,-0.526,155.17,155.18,156.0,155.06,156.5,154.02,1596177,247772364,10:49:20,50.058,5.532,7451197.195702,7370757.268448,0.33605
sh688083,中望软件,56.38,-0.26,-0.459,56.38,56.47,56.64,57.26,57.64,56.0,1808167,102474391,10:49:20,106.377,3.687,956465.534948,956465.534948,1.06585
sh688084,晶品特装,67.3,-0.99,-1.45,67.31,67.38,68.29,68.01,68.24,66.81,988179,66495066,10:49:21,-88.553,3.247,509185.51418,509185.51418,1.30609
sh688085,三友医疗,17.94,-0.16,-0.884,17.94,17.96,18.1,18.1,18.16,17.82,1063937,19114959,10:49:22,358.8,2.883,598231.721412,571822.12542,0.33379
sh688087,英科再生,37.56,-0.26,-0.687,37.55,37.57,37.82,37.82,38.07,37.4,714808,26886473,10:49:20,22.764,2.656,728869.7349,699538.06044,0.3838
sh688088,虹软科技,41.73,0.66,1.607,41.73,41.74,41.07,41.43,41.93,41.27,2145035,89378628,10:49:21,94.841,6.287,1674084.0792,1674084.0792,0.53469
sh688089,嘉必优,18.52,0.1,0.543,18.48,18.52,18.42,18.2,18.53,18.2,465015,8572928,10:49:21,25.027,1.915,311708.49024,311708.49024,0.27629
sh688090,瑞松科技,67.69,-0.61,-0.893,67.69,67.84,68.3,69.11,69.16,67.16,1620126,110400133,10:49:21,564.083,9.333,828322.963216,828322.963216,1.32396
sh688091,上海谊众,57.9,0.68,1.188,57.88,57.9,57.22,57.88,58.67,56.01,2821084,163041392,10:49:21,1930.0,8.192,1196814.0756,1196814.0756,1.3648
