代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.762,0.011,1.465,0.762,0.763,0.751,0.752,0.764,0.752,1508805,1147979
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,753600,127084
sh900903,大众Ｂ股,0.187,-0.001,-0.532,0.187,0.188,0.188,0.188,0.189,0.186,747599,140168
sh900904,神奇B股,0.497,0.001,0.202,0.495,0.497,0.496,0.493,0.501,0.486,112654,55334
sh900905,老凤祥Ｂ,3.372,0.008,0.238,3.371,3.372,3.364,3.363,3.375,3.36,77995,262700
sh900906,中毅达B,0.278,0.002,0.725,0.278,0.279,0.276,0.276,0.279,0.275,404889,112231
sh900908,氯碱Ｂ股,0.694,0.002,0.289,0.693,0.694,0.692,0.693,0.695,0.691,318900,220974
sh900909,华谊B股,0.53,0.002,0.379,0.529,0.53,0.528,0.529,0.531,0.521,187600,98863
sh900910,海立Ｂ股,0.571,0.002,0.351,0.57,0.571,0.569,0.568,0.574,0.563,582212,331710
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.771,0.772,0.764,0.764,0.773,0.764,584845,450525
sh900912,外高Ｂ股,0.692,0.004,0.581,0.693,0.695,0.688,0.688,0.698,0.686,518964,360286
sh900913,国新B股,0.217,0.0,0.0,0.214,0.217,0.217,0.212,0.218,0.212,278816,59511
sh900914,锦在线B,0.482,0.006,1.261,0.479,0.482,0.476,0.475,0.484,0.475,260340,124939
sh900915,中路Ｂ股,0.362,0.003,0.836,0.357,0.361,0.359,0.359,0.362,0.355,54340,19354
sh900916,凤凰B股,0.391,0.005,1.295,0.388,0.391,0.386,0.388,0.392,0.385,763300,297030
sh900917,海欣Ｂ股,0.276,0.001,0.364,0.275,0.276,0.275,0.274,0.276,0.272,354020,96934
sh900918,耀皮Ｂ股,0.35,0.0,0.0,0.348,0.35,0.35,0.352,0.353,0.346,160100,56119
sh900920,动力Ｂ股,0.386,0.008,2.116,0.385,0.386,0.378,0.38,0.387,0.373,2485138,952555
sh900921,金煤B股,0.179,0.0,0.0,0.177,0.179,0.179,0.178,0.18,0.175,1463318,259338
sh900922,三毛B股,0.718,0.011,1.556,0.711,0.716,0.707,0.733,0.733,0.71,83400,59686
sh900923,百联Ｂ股,0.495,-0.003,-0.602,0.494,0.495,0.498,0.498,0.498,0.49,392813,193755
sh900924,上工Ｂ股,0.35,-0.002,-0.568,0.35,0.351,0.352,0.349,0.352,0.346,259051,90236
sh900925,机电Ｂ股,1.408,-0.011,-0.775,1.408,1.409,1.419,1.419,1.43,1.402,544931,770188
sh900926,宝信Ｂ,1.028,0.016,1.581,1.027,1.028,1.012,1.012,1.032,1.008,1161019,1188665
sh900927,物贸Ｂ股,0.364,0.003,0.831,0.362,0.363,0.361,0.361,0.365,0.361,82600,29827
sh900928,临港B股,0.652,0.002,0.308,0.652,0.653,0.65,0.65,0.654,0.645,211214,137190
sh900929,锦旅Ｂ股,1.134,0.001,0.088,1.13,1.134,1.133,1.13,1.136,1.129,34504,39015
sh900932,陆家Ｂ股,0.406,0.003,0.744,0.406,0.407,0.403,0.403,0.406,0.402,564687,228092
sh900934,锦江Ｂ股,1.517,0.012,0.797,1.516,1.517,1.505,1.51,1.519,1.508,190400,288243
sh900936,鄂资Ｂ股,1.253,0.036,2.958,1.253,1.254,1.217,1.213,1.254,1.213,1663133,2067309
sh900937,华电B股,0.167,-0.003,-1.765,0.167,0.168,0.17,0.168,0.169,0.167,2185600,366612
sh900938,海科B,0.23,0.0,0.0,0.229,0.23,0.23,0.23,0.23,0.229,105884,24284
sh900939,汇丽B,0.593,-0.011,-1.821,0.591,0.593,0.604,0.596,0.598,0.587,780290,461665
sh900940,大名城B,0.244,0.005,2.092,0.242,0.244,0.239,0.239,0.245,0.238,671028,162591
sh900941,东信Ｂ股,0.506,0.01,2.016,0.506,0.507,0.496,0.502,0.507,0.498,1667251,838569
sh900942,黄山Ｂ股,0.713,0.0,0.0,0.713,0.715,0.713,0.711,0.716,0.709,155897,111037
sh900943,开开Ｂ股,0.442,0.0,0.0,0.437,0.442,0.442,0.438,0.442,0.437,41200,18055
sh900945,海控B股,0.253,0.005,2.016,0.248,0.253,0.248,0.248,0.253,0.246,221600,55045
sh900946,天雁B股,0.193,0.0,0.0,0.193,0.194,0.193,0.198,0.198,0.191,326720,62832
sh900947,振华Ｂ股,0.265,0.001,0.379,0.265,0.266,0.264,0.264,0.267,0.263,1086644,288796
sh900948,伊泰Ｂ股,2.213,0.014,0.637,2.213,2.214,2.199,2.196,2.215,2.196,1228900,2717337
sz200011,深物业B,2.78,-0.03,-1.068,2.77,2.78,2.81,2.81,2.85,2.76,120300,337812
sz200012,南 玻Ｂ,1.59,0.01,0.633,1.58,1.59,1.58,1.58,1.59,1.57,642739,1015023
sz200016,深康佳Ｂ,0.82,0.01,1.235,0.81,0.82,0.81,0.8,0.82,0.8,1198960,967182
sz200017,深中华B,1.75,0.01,0.575,1.75,1.76,1.74,1.75,1.76,1.73,90874,158694
sz200019,深粮B,3.61,0.01,0.278,3.6,3.61,3.6,3.58,3.62,3.58,146400,526508
sz200020,深华发Ｂ,2.97,0.0,0.0,2.95,2.97,2.97,2.96,2.97,2.95,91301,269767
sz200025,特 力Ｂ,4.5,-0.01,-0.222,4.46,4.5,4.51,4.49,4.53,4.45,172929,776331
sz200026,飞亚达Ｂ,6.95,-0.02,-0.287,6.93,6.95,6.97,6.86,6.97,6.85,71300,493089
sz200028,一致Ｂ,14.0,-0.01,-0.071,13.99,14.0,14.01,14.02,14.03,13.96,193951,2712521
sz200029,深深房Ｂ,3.97,0.0,0.0,3.96,3.97,3.97,3.97,3.97,3.91,107800,424736
sz200030,富奥B,3.19,0.01,0.314,3.18,3.19,3.18,3.19,3.2,3.17,132000,421191
sz200037,深南电B,2.18,0.06,2.83,2.17,2.18,2.12,2.12,2.2,2.12,1072512,2319921
sz200045,深纺织Ｂ,4.52,-0.09,-1.952,4.52,4.53,4.61,4.58,4.58,4.5,252600,1144005
sz200055,方大Ｂ,1.27,0.0,0.0,1.25,1.27,1.27,1.26,1.27,1.25,237675,299358
sz200056,皇庭B,0.74,0.0,0.0,0.73,0.74,0.74,0.74,0.75,0.72,325800,239818
sz200058,深赛格B,1.84,0.0,0.0,1.83,1.84,1.84,1.84,1.84,1.83,118400,217148
sz200429,粤高速Ｂ,8.93,-0.01,-0.112,8.91,8.93,8.94,8.91,8.96,8.87,714300,6352349
sz200468,宁通信B,4.41,-0.03,-0.676,4.41,4.44,4.44,4.44,4.46,4.4,144300,638379
