代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,40.84,-0.78,-1.874,40.84,40.85,41.62,41.3,41.88,40.29,8070089,330501060,15:00:01,-36.142,5.238,1815296.518812,1815296.518812,1.81558
sh688002,睿创微纳,125.6,4.61,3.81,125.58,125.6,120.99,122.0,126.66,120.71,9896755,1235564990,15:24:09,50.24,9.084,5849645.26528,5849645.26528,2.12497
sh688003,天准科技,71.93,2.73,3.945,71.93,71.98,69.2,72.48,76.0,70.59,5715245,417195688,15:24:09,110.679,7.49,1397747.3565,1397747.3565,2.94114
sh688004,博汇科技,22.68,0.48,2.162,22.65,22.68,22.2,22.36,22.84,22.19,1824950,41169793,15:00:03,-47.25,3.078,181639.584,181639.584,2.27868
sh688005,容百科技,31.14,0.34,1.104,31.14,31.15,30.8,31.4,31.9,30.82,23614727,739515788,15:24:09,-115.333,2.784,2225655.11358,2225322.793728,3.30452
sh688006,杭可科技,30.31,0.96,3.271,30.31,30.32,29.35,29.7,31.68,29.5,24849999,761644552,15:00:01,49.689,3.394,1829730.292712,1829730.292712,4.11647
sh688007,光峰科技,14.41,0.06,0.418,14.41,14.45,14.35,14.36,14.49,14.33,3263370,47060875,15:00:03,240.167,2.571,662306.130035,662306.130035,0.71002
sh688008,澜起科技,151.0,3.82,2.595,150.99,151.0,147.18,147.48,152.85,144.34,39731202,5943470586,15:24:09,76.65,14.28,18455220.3171,17311040.4671,3.46566
sh688009,中国通号,5.35,-0.03,-0.558,5.35,5.36,5.38,5.38,5.4,5.31,46238961,246938149,15:00:03,15.735,1.197,5665553.165,4612244.63,0.53635
sh688010,福光股份,34.33,0.51,1.508,34.33,34.35,33.82,33.82,35.08,33.82,4275797,147378491,15:00:03,568.377,3.284,551207.897274,551207.897274,2.66303
sh688011,新光光电,67.94,0.41,0.607,67.93,67.94,67.53,67.55,68.5,65.98,1410569,95236551,15:00:03,-99.912,6.349,679400.0,677107.181262,1.41535
sh688012,中微公司,318.5,-1.86,-0.581,318.48,318.5,320.36,323.1,324.5,316.0,10501167,3350409237,15:24:09,93.676,8.798,19967332.2485,19967332.2485,1.67505
sh688013,天臣医疗,38.3,0.22,0.578,38.29,38.3,38.08,38.07,38.5,37.53,1019324,38835768,15:00:03,58.923,5.184,310825.948,310825.948,1.25601
sh688015,交控科技,23.06,0.26,1.14,23.06,23.07,22.8,22.8,23.16,22.61,1416137,32513769,15:00:01,52.409,1.676,435097.791052,435097.791052,0.75055
sh688016,心脉医疗,100.53,-0.57,-0.564,100.53,100.54,101.1,101.09,101.2,99.97,1620373,162691860,15:00:01,21.619,3.041,1239154.062201,1239154.062201,1.31458
sh688017,绿的谐波,207.98,1.48,0.717,207.98,207.99,206.5,212.0,213.77,204.0,5005515,1039493862,15:24:09,626.257,10.875,3812899.93975,3812899.93975,2.73033
sh688018,乐鑫科技,152.0,0.9,0.596,151.98,152.0,151.1,151.58,152.8,150.08,2219441,336407344,15:00:03,48.223,5.698,2540573.752,2381881.3744,1.41634
