代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
02068,中铝国际,2.64,-0.38,-0.01,2.64,2.64,5546000.0,14715960.0,2.67,2.65,2.67,2.63
00991,大唐发电,2.49,-0.8,-0.02,2.49,2.49,7152000.0,17902880.0,2.51,2.51,2.53,2.49
03369,秦港股份,2.46,0.0,0.0,2.46,2.46,245500.0,604855.0,2.46,2.46,2.47,2.45
02016,浙商银行,2.44,0.41,0.01,2.44,2.44,2137700.0,5201810.0,2.43,2.43,2.44,2.42
00525,广深铁路股份,2.34,4.0,0.09,2.34,2.34,9860000.0,22980484.0,2.27,2.25,2.37,2.25
00895,东江环保,2.14,2.88,0.06,2.14,2.14,386400.0,813535.0,2.11,2.08,2.14,2.07
01375,中州证券,1.94,1.57,0.03,1.94,1.94,7815000.0,15206210.0,1.94,1.91,1.97,1.93
01618,中国中冶,1.61,0.63,0.01,1.61,1.61,11309000.0,18215640.0,1.61,1.6,1.62,1.6
00347,鞍钢股份,1.56,-0.64,-0.01,1.56,1.56,3384000.0,5278180.0,1.57,1.57,1.59,1.55
01528,红星美凯龙,1.3,0.78,0.01,1.3,1.3,2966800.0,3836126.0,1.3,1.29,1.31,1.28
00338,上海石油化工股份,1.29,1.57,0.02,1.29,1.29,6820000.0,8776090.0,1.28,1.27,1.3,1.27
03996,中国能源建设,1.25,0.0,0.0,1.25,1.25,34396000.0,43275174.0,1.25,1.25,1.27,1.25
02866,中远海发,1.17,-1.68,-0.02,1.17,1.17,5192000.0,6098090.0,1.19,1.19,1.19,1.17
01812,晨鸣纸业,1.16,2.65,0.03,1.16,1.16,229000.0,263385.0,1.13,1.13,1.16,1.13
01053,重庆钢铁股份,1.16,1.75,0.02,1.16,1.16,3290000.0,3792220.0,1.15,1.14,1.16,1.15
06196,郑州银行,1.02,0.99,0.01,1.02,1.02,1466000.0,1488790.0,1.02,1.01,1.02,1.01
02880,辽港股份,0.86,0.0,0.0,0.86,0.86,975100.0,836240.0,0.87,0.86,0.87,0.85
01033,中石化油服,0.84,0.0,0.0,0.84,0.84,22295000.0,18536500.0,0.84,0.84,0.84,0.83
