代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.762,0.011,1.465,0.761,0.762,0.751,0.752,0.764,0.752,1481805,1127405
sh900902,市北B股,0.168,-0.001,-0.592,0.168,0.169,0.169,0.17,0.17,0.168,706500,119171
sh900903,大众Ｂ股,0.187,-0.001,-0.532,0.187,0.188,0.188,0.188,0.189,0.186,746025,139874
sh900904,神奇B股,0.497,0.001,0.202,0.497,0.498,0.496,0.493,0.501,0.486,111654,54837
sh900905,老凤祥Ｂ,3.373,0.009,0.268,3.372,3.373,3.364,3.363,3.375,3.36,73995,249212
sh900906,中毅达B,0.277,0.001,0.362,0.277,0.278,0.276,0.276,0.279,0.275,401300,111233
sh900908,氯碱Ｂ股,0.694,0.002,0.289,0.692,0.694,0.692,0.693,0.695,0.691,318900,220974
sh900909,华谊B股,0.528,0.0,0.0,0.528,0.532,0.528,0.529,0.531,0.521,185600,97803
sh900910,海立Ｂ股,0.571,0.002,0.351,0.57,0.571,0.569,0.568,0.574,0.563,569712,324573
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.771,0.772,0.764,0.764,0.773,0.764,575245,443116
sh900912,外高Ｂ股,0.691,0.003,0.436,0.692,0.695,0.688,0.688,0.698,0.686,518594,360030
sh900913,国新B股,0.215,-0.002,-0.922,0.214,0.217,0.217,0.212,0.218,0.212,278716,59490
sh900914,锦在线B,0.479,0.003,0.63,0.479,0.481,0.476,0.475,0.484,0.475,241990,116123
sh900915,中路Ｂ股,0.362,0.003,0.836,0.357,0.361,0.359,0.359,0.362,0.355,54340,19354
sh900916,凤凰B股,0.391,0.005,1.295,0.391,0.392,0.386,0.388,0.391,0.385,656508,255273
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.276,0.275,0.274,0.276,0.272,350100,95854
sh900918,耀皮Ｂ股,0.348,-0.002,-0.571,0.348,0.35,0.35,0.352,0.353,0.346,157800,55314
sh900920,动力Ｂ股,0.386,0.008,2.116,0.386,0.387,0.378,0.38,0.387,0.373,2028338,776508
sh900921,金煤B股,0.178,-0.001,-0.559,0.177,0.178,0.179,0.178,0.18,0.175,1362318,241274
sh900922,三毛B股,0.718,0.011,1.556,0.711,0.718,0.707,0.733,0.733,0.71,83400,59686
sh900923,百联Ｂ股,0.494,-0.004,-0.803,0.493,0.495,0.498,0.498,0.498,0.49,383450,189120
sh900924,上工Ｂ股,0.349,-0.003,-0.852,0.349,0.35,0.352,0.349,0.352,0.346,256251,89256
sh900925,机电Ｂ股,1.404,-0.015,-1.057,1.404,1.408,1.419,1.419,1.43,1.402,528900,747657
sh900926,宝信Ｂ,1.028,0.016,1.581,1.028,1.03,1.012,1.012,1.032,1.008,1140519,1167587
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.362,0.364,0.361,0.361,0.365,0.361,82500,29790
sh900928,临港B股,0.651,0.001,0.154,0.65,0.651,0.65,0.65,0.654,0.645,191300,124207
sh900929,锦旅Ｂ股,1.135,0.002,0.177,1.13,1.134,1.133,1.13,1.136,1.129,34504,39015
sh900932,陆家Ｂ股,0.405,0.002,0.496,0.405,0.406,0.403,0.403,0.406,0.402,551961,222925
sh900934,锦江Ｂ股,1.516,0.011,0.731,1.516,1.517,1.505,1.51,1.519,1.508,188100,284754
sh900936,鄂资Ｂ股,1.252,0.035,2.876,1.251,1.252,1.217,1.213,1.254,1.213,1610781,2001739
sh900937,华电B股,0.168,-0.002,-1.176,0.167,0.168,0.17,0.168,0.169,0.167,2162900,362808
sh900938,海科B,0.229,-0.001,-0.435,0.229,0.23,0.23,0.23,0.23,0.229,105784,24261
sh900939,汇丽B,0.591,-0.013,-2.152,0.589,0.591,0.604,0.596,0.598,0.587,732290,433232
sh900940,大名城B,0.243,0.004,1.674,0.242,0.243,0.239,0.239,0.245,0.238,663728,160817
sh900941,东信Ｂ股,0.506,0.01,2.016,0.505,0.506,0.496,0.502,0.506,0.498,1581151,794971
sh900942,黄山Ｂ股,0.713,0.0,0.0,0.713,0.715,0.713,0.711,0.716,0.709,154668,110161
sh900943,开开Ｂ股,0.437,-0.005,-1.131,0.437,0.442,0.442,0.438,0.442,0.437,40200,17613
sh900945,海控B股,0.248,0.0,0.0,0.247,0.248,0.248,0.248,0.248,0.246,113800,28143
sh900946,天雁B股,0.193,0.0,0.0,0.193,0.194,0.193,0.198,0.198,0.191,321620,61843
sh900947,振华Ｂ股,0.265,0.001,0.379,0.265,0.266,0.264,0.264,0.267,0.263,1084444,288213
sh900948,伊泰Ｂ股,2.214,0.015,0.682,2.213,2.214,2.199,2.196,2.215,2.196,1152700,2548713
sz200011,深物业B,2.8,-0.01,-0.356,2.77,2.81,2.81,2.81,2.85,2.76,117200,329194
sz200012,南 玻Ｂ,1.58,0.0,0.0,1.57,1.59,1.58,1.58,1.59,1.57,607739,959711
sz200016,深康佳Ｂ,0.81,0.0,0.0,0.81,0.82,0.81,0.8,0.82,0.8,1198760,967018
sz200017,深中华B,1.76,0.02,1.149,1.75,1.76,1.74,1.75,1.76,1.73,86374,150819
sz200019,深粮B,3.62,0.02,0.556,3.61,3.62,3.6,3.58,3.62,3.58,134600,483812
sz200020,深华发Ｂ,2.95,-0.02,-0.673,2.95,2.98,2.97,2.96,2.96,2.95,91201,269470
sz200025,特 力Ｂ,4.45,-0.06,-1.33,4.45,4.51,4.51,4.49,4.53,4.45,170229,764179
sz200026,飞亚达Ｂ,6.95,-0.02,-0.287,6.95,6.96,6.97,6.86,6.97,6.85,70200,485444
sz200028,一致Ｂ,13.99,-0.02,-0.143,13.99,14.01,14.01,14.02,14.03,13.96,186094,2602466
sz200029,深深房Ｂ,3.97,0.0,0.0,3.96,3.97,3.97,3.97,3.97,3.91,107800,424736
sz200030,富奥B,3.19,0.01,0.314,3.19,3.2,3.18,3.19,3.2,3.17,128200,409068
sz200037,深南电B,2.17,0.05,2.358,2.17,2.18,2.12,2.12,2.2,2.12,1034512,2237319
sz200045,深纺织Ｂ,4.52,-0.09,-1.952,4.51,4.52,4.61,4.58,4.58,4.5,248000,1123213
sz200055,方大Ｂ,1.26,-0.01,-0.787,1.25,1.27,1.27,1.26,1.27,1.25,235500,296615
sz200056,皇庭B,0.73,-0.01,-1.351,0.73,0.74,0.74,0.74,0.75,0.72,321100,236340
sz200058,深赛格B,1.83,-0.01,-0.543,1.83,1.84,1.84,1.84,1.84,1.83,104100,190836
sz200429,粤高速Ｂ,8.91,-0.03,-0.336,8.9,8.91,8.94,8.91,8.96,8.87,693300,6165024
sz200468,宁通信B,4.45,0.01,0.225,4.43,4.45,4.44,4.44,4.46,4.4,94200,417480
sz200488,ST晨鸣B,0.89,0.0,0.0,0.89,0.9,0.89,0.9,0.9,0.88,570552,506059
sz200505,京粮B,1.97,-0.02,-1.005,1.97,1.98,1.99,2.0,2.0,1.97,116930,230598
