代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,41.62,-0.79,-1.863,41.61,41.62,42.41,42.44,42.93,41.4,6565365,276502524,15:00:03,-36.832,5.338,1849966.726566,1849966.726566,1.47706
sh688002,睿创微纳,120.99,0.61,0.507,120.99,121.0,120.38,120.52,124.31,120.4,8918321,1091441806,15:00:03,48.396,8.75,5634940.928712,5634940.928712,1.91489
sh688003,天准科技,69.2,-0.65,-0.931,69.2,69.22,69.85,70.4,71.68,68.8,2750612,192966601,15:00:03,106.478,7.206,1344697.86,1344697.86,1.4155
sh688004,博汇科技,22.2,-0.15,-0.671,22.2,22.24,22.35,22.35,22.77,22.03,1289533,28921179,15:00:01,-46.25,3.013,177795.36,177795.36,1.61015
sh688005,容百科技,30.8,-1.36,-4.229,30.8,30.81,32.16,32.0,32.1,30.69,22858542,712989229,15:34:59,-114.074,2.753,2201354.4476,2201025.75616,3.1987
sh688006,杭可科技,29.35,-2.12,-6.737,29.35,29.36,31.47,31.4,31.4,29.24,20922237,627431548,15:00:03,48.115,3.286,1771777.76612,1771777.76612,3.46583
sh688007,光峰科技,14.35,-0.2,-1.375,14.35,14.38,14.55,14.65,14.73,14.33,3581392,52000369,15:00:01,239.167,2.561,659548.436225,659548.436225,0.77921
sh688008,澜起科技,147.18,-6.18,-4.03,147.18,147.19,153.36,156.0,156.08,146.03,49131662,7391381043,15:34:59,74.711,13.919,17988339.909078,16873105.536078,4.28564
sh688009,中国通号,5.38,-0.02,-0.37,5.38,5.39,5.4,5.42,5.44,5.37,25424372,137304364,15:34:59,15.824,1.203,5697322.622,4638107.684,0.29491
sh688010,福光股份,33.82,-0.31,-0.908,33.82,33.87,34.13,34.2,34.86,33.78,3963246,136034369,15:00:01,559.934,3.235,543019.256796,543019.256796,2.46837
sh688011,新光光电,67.53,0.53,0.791,67.53,67.55,67.0,67.0,68.51,66.8,1556896,105165202,15:00:03,-99.309,6.311,675300.0,673021.017819,1.56217
sh688012,中微公司,320.36,-4.14,-1.276,320.35,320.36,324.5,327.95,334.66,319.0,13764563,4498310907,15:34:59,94.224,8.85,20083938.96116,20083938.96116,2.19559
sh688013,天臣医疗,38.08,0.5,1.33,38.08,38.1,37.58,37.94,38.7,37.41,1384046,52649189,15:00:03,58.585,5.154,309040.5248,309040.5248,1.70542
sh688015,交控科技,22.8,0.41,1.831,22.8,22.81,22.39,22.44,23.04,22.25,1814754,41230443,15:00:03,51.818,1.658,430192.09176,430192.09176,0.96181
sh688016,心脉医疗,101.1,0.15,0.149,101.1,101.13,100.95,101.5,102.3,100.81,1897199,192714160,15:00:03,21.742,3.058,1246180.00287,1246180.00287,1.53916
sh688017,绿的谐波,206.5,-0.4,-0.193,206.48,206.5,206.9,209.0,213.82,205.88,5975248,1255402682,15:00:01,621.801,10.797,3785767.08125,3785767.08125,3.25928
sh688018,乐鑫科技,151.1,-2.0,-1.306,151.08,151.1,153.1,154.53,154.78,150.49,2635950,401972768,15:00:01,47.938,5.665,2525530.8811,2367778.12942,1.68213
sh688019,安集科技,251.85,-9.95,-3.801,251.85,251.97,261.8,267.0,268.33,251.06,3085919,791528284,15:00:00,60.833,13.269,4407233.86326,4407233.86326,1.76344
sh688020,方邦股份,90.9,-1.46,-1.581,90.9,90.91,92.36,94.21,94.96,90.4,1760490,163502405,15:00:01,-79.737,5.415,748916.01,748916.01,2.1368
sh688021,奥福科技,24.11,-0.07,-0.289,24.11,24.15,24.18,24.37,25.0,24.01,2429349,59491817,15:00:01,-40.864,2.148,184233.471687,184233.471687,3.17921
sh688022,瀚川智能,16.93,-0.07,-0.412,16.91,16.93,17.0,17.18,17.35,16.81,5096210,86785000,15:00:01,-2.7,4.298,297762.002532,297762.002532,2.89758
