# 数据单位说明: 价格(元), 成交量(股), 成交额(元), 换手率(%)
日期,开盘,最高,最低,收盘,成交量,成交额,流动股本,换手率
2017-03-29,1.94,1.94,1.94,1.94,40000.0,100000.0,27170000.0,0.001472211998527788
2017-04-06,1.94,1.94,1.94,1.94,30000.0,75000.0,27170000.0,0.001104158998895841
2018-11-14,2.33,2.33,2.33,2.33,20000.0,60000.0,27167500.0,0.0007361737370019325
2019-05-23,0.0,0.0,0.0,0.0,449000.0,767790.0,27637500.0,0.01624604251469923
2019-05-24,2.34,2.34,2.34,2.34,1000.0,3010.0,27637500.0,3.618272274988693e-05
2019-05-27,3.88,3.88,3.88,3.88,1000.0,5000.0,27637500.0,3.618272274988693e-05
2019-07-12,0.0,0.0,0.0,0.0,150000.0,450000.0,27470000.0,0.005460502366217692
2020-03-04,3.88,3.88,3.88,3.88,6000.0,30000.0,27512500.0,0.00021808268968650612
2020-03-05,3.88,3.88,3.88,3.88,7000.0,35000.0,27512500.0,0.00025442980463425714
2020-03-06,3.88,5.44,3.88,5.44,15000.0,93000.0,27512500.0,0.0005452067242162653
2020-03-09,5.44,5.44,5.44,5.44,3000.0,21000.0,27512500.0,0.00010904134484325306
2020-03-16,4.27,5.44,4.27,5.44,9000.0,52900.0,27512500.0,0.0003271240345297592
2020-03-17,5.43,5.43,5.4,5.4,2000.0,13950.0,27512500.0,7.269422989550204e-05
2020-03-18,5.4,5.4,5.4,5.4,2000.0,13920.0,27512500.0,7.269422989550204e-05
2020-03-23,5.4,5.4,5.4,5.4,1000.0,6960.0,27512500.0,3.634711494775102e-05
2020-03-25,4.27,5.44,4.27,5.44,3000.0,18000.0,27512500.0,0.00010904134484325306
2020-12-23,5.59,5.71,5.53,5.62,4999399.0,36209948.0,27058000.0,0.1847660211397738
2020-12-24,5.61,5.65,5.58,5.59,1268910.0,9173896.0,27058000.0,0.04689592726735162
2020-12-25,5.6,5.62,5.54,5.56,914034.0,6571662.0,27058000.0,0.03378054549486289
2020-12-28,5.55,5.58,5.45,5.52,620632.0,4403353.0,27058000.0,0.02293709808559391
2020-12-29,5.48,5.56,5.47,5.55,355629.0,2530829.0,27058000.0,0.01314321088033114
2020-12-30,5.51,5.6,5.51,5.56,221836.0,1592686.0,27058000.0,0.008198536477197132
2020-12-31,5.53,5.61,5.53,5.59,362886.0,2614581.0,25708000.0,0.014115683833826047
2021-01-04,5.56,5.59,5.51,5.54,206397.0,1475325.0,25708000.0,0.008028512525283958
2021-01-05,5.54,5.6,5.54,5.59,398887.0,2864977.0,25708000.0,0.01551606503812043
2021-01-06,5.56,5.58,5.55,5.57,163246.0,1169104.0,25708000.0,0.006350007779679478
2021-01-07,5.57,5.59,5.51,5.56,364448.0,2611936.0,25708000.0,0.014176443130543021
2021-01-08,5.52,5.59,5.52,5.56,329735.0,2366241.0,25708000.0,0.012826163062081843
2021-01-11,5.55,5.59,5.51,5.54,428615.0,3070422.0,25708000.0,0.01667243659561226
2021-01-12,5.54,5.59,5.53,5.53,448171.0,3213766.0,25708000.0,0.017433133654893417
2021-01-13,5.54,5.61,5.54,5.59,481859.0,3468166.0,25708000.0,0.01874354286603392
2021-01-14,5.56,5.61,5.54,5.59,161660.0,1162581.0,25708000.0,0.006288314921425237
2021-01-15,5.56,5.59,5.56,5.58,68550.0,492998.0,25708000.0,0.0026664851408121984
2021-01-18,5.56,5.63,5.56,5.6,247031.0,1782498.0,25708000.0,0.009609110004667808
2021-01-19,5.59,5.95,5.59,5.82,943257.0,6999652.0,25708000.0,0.03669118562315233
2021-01-20,5.85,5.89,5.59,5.82,890658.0,6540985.0,25708000.0,0.034645168819044656
2021-01-21,5.75,5.82,5.71,5.72,618498.0,4605221.0,25708000.0,0.02405858098646336
2021-01-22,5.8,6.03,5.75,5.98,968152.0,7378532.0,25708000.0,0.037659561226077484
2021-01-25,5.99,6.17,5.85,5.88,707226.0,5471852.0,25708000.0,0.027509957989730823
2021-01-26,5.79,5.89,5.64,5.64,596170.0,4365752.0,25708000.0,0.023190057569628133
2021-01-27,5.59,5.72,5.59,5.64,223613.0,1627740.0,25708000.0,0.008698187334681811
2021-01-28,5.58,5.72,5.58,5.65,187810.0,1373172.0,25052221.0,0.007496740508556108
2021-01-29,5.61,5.74,5.61,5.68,216998.0,1590327.0,25052221.0,0.008661826829645164
2021-02-01,5.72,5.84,5.7,5.8,296539.0,2207000.0,25052221.0,0.011836834746108938
2021-02-02,5.75,5.8,5.61,5.71,93221.0,689004.0,25052221.0,0.0037210672858107073
2021-02-03,5.79,5.79,5.62,5.67,72684.0,530091.0,25052221.0,0.0029012996492406803
2021-02-04,5.63,5.65,5.51,5.54,132033.0,945720.0,25052221.0,0.005270311163229799
2021-02-05,5.54,5.63,5.54,5.58,47638.0,342014.0,25052221.0,0.001901547970537223
2021-02-08,5.58,5.59,5.53,5.58,66559.0,477714.0,25052221.0,0.0026568103482721155
2021-02-09,5.53,5.58,5.48,5.58,154965.0,1105777.0,25052221.0,0.006185679106056106
2021-02-10,5.58,5.58,5.42,5.42,228574.0,1615910.0,25052221.0,0.00912390162932061
2021-02-18,5.44,5.54,5.29,5.3,153484.0,1059612.0,25052221.0,0.006126562590997421
2021-02-19,5.3,5.35,5.3,5.35,36058.0,247116.0,25052221.0,0.001439313504379512
2021-02-22,5.32,5.33,5.3,5.3,98812.0,675670.0,25052221.0,0.003944241111396869
2021-02-23,5.3,5.36,5.29,5.32,48449.0,332212.0,25052221.0,0.0019339203498164894
2021-02-24,5.3,5.31,5.28,5.3,58295.0,397247.0,25052221.0,0.0023269393959122428
2021-02-25,5.3,5.55,5.3,5.44,181517.0,1268269.0,25052221.0,0.0072455452153324055
2021-02-26,5.44,5.56,5.36,5.53,228965.0,1615331.0,25052221.0,0.009139509027962033
2021-03-01,5.58,5.67,5.53,5.62,312750.0,2270021.0,25052221.0,0.012483923082109168
2021-03-02,5.58,5.62,5.53,5.53,91885.0,660576.0,25052221.0,0.003667738680734135
2021-03-03,5.56,5.65,5.56,5.64,170235.0,1231485.0,25052221.0,0.0067952059021034504
2021-03-04,5.69,5.75,5.65,5.68,217918.0,1597554.0,25052221.0,0.008698550120566157
2021-03-05,5.64,5.68,5.61,5.65,77606.0,562866.0,25052221.0,0.0030977692556679905
2021-03-08,5.64,5.71,5.58,5.59,78410.0,568740.0,25052221.0,0.0031298622186032928
2021-03-09,5.55,5.63,5.47,5.54,43631.0,312764.0,25052221.0,0.0017416020719280738
2021-03-10,5.55,5.59,5.55,5.57,69440.0,499503.0,25052221.0,0.002771810132123615
