序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,244.55,430.71%,82.94%,28.54亿,20.09亿,8.45亿,48.64亿
2,603293,埃泰克,71.02,112.06%,71.89%,8.50亿,10.15亿,-1.65亿,18.66亿
3,300027,华谊兄弟,2.09,20.11%,15.60%,1.62亿,6.45亿,-4.82亿,8.07亿
4,300798,锦鸡股份,13.42,20.04%,21.41%,5.37亿,4.63亿,7380.59万,9.99亿
5,301148,嘉戎技术,60.23,20.00%,14.97%,2.50亿,2.62亿,-1186.73万,5.12亿
6,301396,宏景科技,289.42,20.00%,19.78%,21.40亿,20.19亿,1.21亿,41.60亿
7,301603,乔锋智能,90.41,20.00%,32.64%,5.78亿,4.89亿,8887.73万,10.66亿
8,688227,品高股份,84.47,20.00%,6.89%,2.89亿,3.19亿,-3021.47万,6.07亿
9,688668,鼎通科技,207.23,20.00%,9.46%,13.94亿,11.94亿,2.00亿,25.88亿
10,300905,宝丽迪,46.32,20.00%,6.93%,1.47亿,2.91亿,-1.44亿,4.38亿
11,300736,百邦科技,23.78,19.98%,18.70%,2.14亿,3.07亿,-9317.40万,5.21亿
12,688287,*ST观典,2.35,19.90%,17.24%,6742.69万,7580.63万,-837.94万,1.43亿
13,301382,蜂助手,40.49,15.69%,30.11%,12.28亿,8.98亿,3.30亿,21.27亿
14,301282,金禄电子,45.45,15.06%,24.31%,6.70亿,5.42亿,1.28亿,12.11亿
15,300290,荣科科技,16.39,15.02%,14.82%,8.41亿,6.90亿,1.51亿,15.30亿
16,300088,长信科技,7.77,14.10%,30.35%,35.67亿,22.44亿,13.24亿,58.11亿
17,300587,天铁科技,5.93,14.04%,6.84%,2.51亿,1.56亿,9430.58万,4.07亿
18,300857,协创数据,319.0,13.65%,9.79%,55.23亿,47.41亿,7.82亿,102.63亿
19,300938,信测标准,51.19,12.38%,14.74%,9.27亿,6.24亿,3.03亿,15.50亿
20,301086,鸿富瀚,164.61,12.31%,8.28%,3.51亿,2.57亿,9446.15万,6.08亿
21,301548,崇德科技,79.2,12.18%,12.67%,1.35亿,1.14亿,2019.69万,2.49亿
22,301030,仕净科技,11.4,12.09%,11.68%,1.60亿,1.02亿,5717.30万,2.62亿
23,300936,中英科技,74.1,11.93%,18.93%,3.74亿,2.67亿,1.07亿,6.41亿
24,300853,申昊科技,23.55,11.88%,12.54%,1.70亿,1.11亿,5892.71万,2.82亿
25,688159,有方科技,47.84,11.85%,11.16%,2.98亿,1.88亿,1.10亿,4.86亿
26,300270,中威电子,11.45,11.71%,9.43%,1.82亿,9088.97万,9120.82万,2.73亿
27,301123,奕东电子,69.61,11.64%,13.72%,9.72亿,5.42亿,4.30亿,15.14亿
28,300351,永贵电器,17.85,11.56%,16.05%,4.74亿,2.60亿,2.14亿,7.34亿
29,688500,慧辰股份,53.66,11.56%,6.80%,1.68亿,9434.77万,7367.34万,2.62亿
30,300352,北信源,7.81,11.41%,10.02%,6.03亿,3.43亿,2.60亿,9.46亿
31,300390,天华新能,85.68,11.37%,15.80%,50.36亿,38.36亿,12.00亿,88.71亿
32,301369,联动科技,173.82,11.20%,8.42%,2.76亿,2.48亿,2767.48万,5.24亿
33,688678,福立旺,29.2,10.86%,11.70%,5.42亿,4.07亿,1.35亿,9.48亿
34,300738,奥飞数据,25.94,10.85%,15.96%,24.25亿,15.06亿,9.19亿,39.31亿
35,688685,迈信林,45.2,10.68%,5.74%,2.28亿,1.40亿,8824.19万,3.67亿
36,301580,爱迪特,76.34,10.33%,13.04%,3.65亿,3.24亿,4074.85万,6.89亿
37,301091,深城交,23.73,10.27%,3.77%,2.70亿,1.93亿,7647.70万,4.63亿
38,300163,先锋新材,5.05,10.26%,13.36%,1.93亿,1.03亿,9026.74万,2.95亿
39,300858,科拓生物,23.5,10.17%,20.44%,4.73亿,3.99亿,7389.73万,8.72亿
40,300684,中石科技,59.64,10.12%,13.15%,9.88亿,5.61亿,4.27亿,15.49亿
41,300911,亿田智能,36.16,10.08%,7.44%,2.52亿,2.01亿,5040.27万,4.53亿
42,601778,晶科科技,6.66,10.08%,20.97%,28.28亿,20.72亿,7.56亿,49.00亿
43,300953,震裕科技,207.86,10.07%,10.67%,15.89亿,11.11亿,4.79亿,27.00亿
44,600156,华升股份,8.42,10.07%,5.12%,5665.48万,1.12亿,-5541.36万,1.69亿
45,571,新大洲A,5.69,10.06%,3.29%,8451.89万,6221.86万,2230.03万,1.47亿
46,600719,大连热电,7.33,10.06%,7.84%,1.52亿,7246.54万,7947.98万,2.24亿
47,782,恒申新材,5.81,10.04%,3.89%,5283.49万,6391.11万,-1107.62万,1.17亿
48,600961,株冶集团,20.08,10.03%,3.55%,2.02亿,3.26亿,-1.24亿,5.28亿
49,2726,龙大美食,3.62,10.03%,4.07%,1818.46万,1.41亿,-1.23亿,1.59亿
50,2613,北玻股份,4.17,10.03%,10.67%,2.02亿,1.34亿,6799.90万,3.36亿
51,603826,坤彩科技,34.16,10.02%,2.84%,2.87亿,3.39亿,-5205.57万,6.26亿
52,967,盈峰环境,13.07,10.02%,4.88%,8.98亿,10.79亿,-1.81亿,19.77亿
53,593,德龙汇能,18.33,10.02%,7.67%,2.72亿,2.14亿,5832.20万,4.86亿
54,70,特发信息,20.77,10.01%,23.92%,24.13亿,18.58亿,5.55亿,42.71亿
55,1203,大中矿业,46.39,10.01%,1.48%,3.91亿,4.85亿,-9473.09万,8.76亿
56,2875,安奈儿,20.99,10.01%,9.96%,1.63亿,2.10亿,-4635.74万,3.73亿
57,2213,大为股份,38.34,10.01%,21.00%,7.24亿,8.69亿,-1.45亿,15.92亿
58,603933,睿能科技,24.95,10.01%,10.53%,2.76亿,2.46亿,2999.95万,5.22亿
59,603906,龙蟠科技,25.05,10.01%,4.17%,1.63亿,4.22亿,-2.59亿,5.86亿
60,603322,超讯通信,36.26,10.01%,12.10%,2.72亿,4.06亿,-1.35亿,6.78亿
61,600549,厦门钨业,61.88,10.01%,6.38%,31.48亿,27.60亿,3.88亿,59.08亿
62,2940,昂利康,35.6,10.01%,10.48%,3.21亿,3.51亿,-2958.37万,6.72亿
63,2929,润建股份,65.29,10.01%,13.45%,9.47亿,8.20亿,1.28亿,17.67亿
64,2580,圣阳股份,27.8,10.01%,14.82%,8.24亿,10.07亿,-1.82亿,18.31亿
65,2468,申通快递,18.03,10.01%,8.75%,9.66亿,13.41亿,-3.75亿,23.08亿
66,1268,联合精密,31.34,10.00%,4.45%,3196.18万,5428.37万,-2232.18万,8624.55万
67,815,美利云,22.21,10.00%,11.14%,7.14亿,9.75亿,-2.60亿,16.89亿
68,3041,真爱美家,57.97,10.00%,3.80%,1.64亿,1.29亿,3499.49万,2.93亿
69,2263,大东南,5.17,10.00%,14.80%,2.42亿,11.84亿,-9.42亿,14.26亿
70,605060,联德股份,58.95,10.00%,3.68%,2.39亿,2.65亿,-2532.68万,5.04亿
71,603052,可川科技,75.77,10.00%,3.43%,2.28亿,2.47亿,-1883.63万,4.75亿
72,1230,劲旅环境,27.72,10.00%,6.69%,7189.41万,6947.44万,241.97万,1.41亿
73,2209,达意隆,16.5,10.00%,7.11%,9634.06万,8000.32万,1633.74万,1.76亿
74,605287,德才股份,46.98,10.00%,3.70%,1.20亿,1.17亿,318.18万,2.37亿
75,2990,盛视科技,46.32,10.00%,17.63%,4.58亿,6.23亿,-1.65亿,10.81亿
76,600847,万里股份,14.63,10.00%,5.87%,5685.89万,7140.44万,-1454.55万,1.28亿
77,603985,恒润股份,24.54,10.00%,13.08%,6.94亿,6.73亿,2158.01万,13.67亿
78,603920,世运电路,58.86,10.00%,1.87%,0.00,7.94亿,-7.94亿,7.94亿
79,603897,长城科技,50.6,10.00%,5.48%,2.23亿,3.44亿,-1.21亿,5.67亿
80,600507,方大特钢,6.05,10.00%,4.01%,2.83亿,2.64亿,1911.01万,5.48亿
81,2859,洁美科技,46.33,10.00%,3.95%,3.63亿,3.60亿,224.82万,7.23亿
82,2850,科达利,205.59,10.00%,2.68%,5.08亿,5.63亿,-5547.66万,10.71亿
83,2771,真视通,18.37,10.00%,12.59%,1.30亿,2.69亿,-1.40亿,3.99亿
84,2595,豪迈科技,89.02,10.00%,0.77%,3.23亿,2.08亿,1.15亿,5.30亿
85,2491,通鼎互联,15.62,10.00%,22.15%,23.97亿,15.01亿,8.97亿,38.98亿
86,2008,大族激光,86.67,10.00%,5.25%,21.29亿,21.32亿,-240.80万,42.61亿
87,657,中钨高新,51.9,10.00%,8.58%,31.45亿,29.86亿,1.60亿,61.31亿
88,603315,福鞍股份,16.84,9.99%,10.10%,3.04亿,2.27亿,7714.02万,5.30亿
89,603220,中贝通信,31.93,9.99%,20.44%,14.68亿,12.46亿,2.22亿,27.14亿
90,600875,东方电气,42.04,9.99%,6.72%,36.15亿,26.50亿,9.65亿,62.64亿
91,600749,西藏旅游,19.93,9.99%,17.22%,4.34亿,3.13亿,1.21亿,7.48亿
92,600683,京投发展,10.9,9.99%,3.28%,9034.36万,1.71亿,-8092.38万,2.62亿
93,2802,洪汇新材,14.87,9.99%,7.91%,7009.25万,1.01亿,-3084.28万,1.71亿
94,2757,南兴股份,22.79,9.99%,10.32%,3.36亿,3.09亿,2735.30万,6.44亿
95,2297,博云新材,16.08,9.99%,22.64%,1.61亿,19.26亿,-17.65亿,20.86亿
96,2237,恒邦股份,16.51,9.99%,4.91%,4.68亿,4.67亿,120.44万,9.36亿
97,762,西藏矿业,37.11,9.99%,14.91%,15.54亿,12.44亿,3.10亿,27.97亿
98,2333,罗普斯金,6.39,9.98%,9.21%,1.73亿,2.04亿,-3089.66万,3.78亿
99,605336,帅丰电器,15.65,9.98%,4.76%,6046.69万,7184.23万,-1137.54万,1.32亿
100,605166,聚合顺,11.13,9.98%,4.24%,6686.44万,7753.98万,-1067.55万,1.44亿
101,600768,宁波富邦,17.52,9.98%,8.19%,8573.40万,1.04亿,-1822.40万,1.90亿
102,603687,大胜达,19.84,9.98%,28.77%,13.46亿,17.76亿,-4.29亿,31.22亿
103,603032,德新科技,22.15,9.98%,13.68%,3.54亿,3.25亿,2929.68万,6.79亿
104,2062,宏润建设,8.05,9.97%,2.41%,9366.95万,1.18亿,-2409.36万,2.11亿
105,603878,武进不锈,8.27,9.97%,4.21%,9734.19万,9009.17万,725.03万,1.87亿
106,600284,浦东建设,7.5,9.97%,4.54%,1.77亿,1.39亿,3829.95万,3.15亿
107,605388,均瑶健康,8.06,9.96%,9.96%,1.67亿,2.97亿,-1.31亿,4.64亿
108,2033,丽江股份,10.93,9.96%,19.49%,5.69亿,5.36亿,3336.06万,11.04亿
109,600666,奥瑞德,6.85,9.95%,22.86%,21.30亿,16.43亿,4.87亿,37.73亿
110,570,苏常柴A,6.74,9.95%,10.78%,1.98亿,1.90亿,732.86万,3.88亿
111,546,金圆股份,7.08,9.94%,8.88%,2.00亿,2.25亿,-2495.37万,4.25亿
112,2421,达实智能,2.9,9.85%,6.22%,1.69亿,1.86亿,-1690.86万,3.55亿
113,301309,万得凯,35.4,9.70%,13.20%,1.67亿,1.06亿,6144.78万,2.73亿
114,300604,长川科技,154.09,9.12%,6.28%,26.13亿,20.05亿,6.07亿,46.18亿
115,300438,鹏辉能源,68.58,9.05%,16.46%,24.59亿,19.85亿,4.73亿,44.44亿
116,688548,广钢气体,26.01,9.01%,5.42%,5.59亿,3.85亿,1.74亿,9.44亿
117,301345,涛涛车业,241.67,8.99%,9.10%,4.42亿,3.18亿,1.24亿,7.60亿
118,301636,泽润新能,77.37,8.99%,39.62%,2.28亿,2.52亿,-2467.27万,4.80亿
119,603629,利通电子,95.85,8.98%,21.64%,25.48亿,26.79亿,-1.30亿,52.27亿
120,300689,澄天伟业,51.69,8.98%,6.42%,1.86亿,1.47亿,3881.17万,3.33亿
121,300231,银信科技,11.68,8.96%,11.00%,3.42亿,2.12亿,1.30亿,5.55亿
122,300491,通合科技,27.75,8.95%,11.17%,2.82亿,1.89亿,9313.75万,4.71亿
123,301004,嘉益股份,51.95,8.91%,1.72%,7155.82万,4659.81万,2496.00万,1.18亿
124,688677,海泰新光,75.7,8.76%,7.81%,3.60亿,3.27亿,3271.74万,6.87亿
125,301012,扬电科技,32.82,8.75%,12.95%,5.18亿,3.03亿,2.15亿,8.21亿
126,300696,爱乐达,34.26,8.56%,6.49%,3.38亿,2.49亿,8852.59万,5.87亿
127,300214,日科化学,8.02,8.53%,7.62%,1.40亿,9966.95万,4057.62万,2.40亿
128,688479,友车科技,35.28,8.49%,7.12%,8682.77万,6874.36万,1808.41万,1.56亿
129,300687,赛意信息,20.58,8.43%,6.84%,2.71亿,1.81亿,8917.57万,4.52亿
130,688802,沐曦股份,736.74,8.36%,26.20%,18.63亿,15.15亿,3.48亿,33.78亿
131,300502,新易盛,537.5,8.15%,4.73%,123.53亿,95.03亿,28.51亿,218.56亿
132,301283,聚胶股份,49.9,8.10%,5.56%,9318.41万,7925.89万,1392.52万,1.72亿
133,301053,远信工业,61.36,8.05%,11.48%,3.02亿,2.92亿,988.77万,5.94亿
134,301002,崧盛股份,40.52,8.02%,8.45%,1.71亿,1.14亿,5707.81万,2.86亿
135,605303,园林股份,24.0,8.01%,7.00%,1.54亿,1.06亿,4779.24万,2.60亿
136,301360,荣旗科技,81.0,8.00%,12.80%,1.64亿,9445.37万,6974.38万,2.59亿
137,600338,西藏珠峰,20.51,8.00%,13.25%,15.25亿,9.11亿,6.14亿,24.36亿
138,603129,春风动力,275.19,7.97%,3.29%,8.42亿,5.08亿,3.34亿,13.50亿
139,301040,中环海陆,34.88,7.95%,12.46%,2.06亿,1.93亿,1338.56万,3.99亿
140,301328,维峰电子,59.16,7.92%,3.63%,1.23亿,1.07亿,1573.64万,2.29亿
141,300866,安克创新,120.68,7.89%,4.19%,7.90亿,7.27亿,6379.60万,15.17亿
142,603301,振德医疗,92.31,7.89%,1.90%,2.96亿,1.50亿,1.46亿,4.46亿
143,301068,大地海洋,34.35,7.82%,2.33%,4327.13万,3520.54万,806.59万,7847.67万
144,600184,光电股份,21.87,7.79%,8.54%,6.24亿,4.44亿,1.80亿,10.68亿
145,300322,硕贝德,31.26,7.79%,23.48%,20.04亿,11.76亿,8.28亿,31.79亿
146,1339,智微智能,72.65,7.76%,11.56%,5.39亿,4.42亿,9695.14万,9.81亿
147,688365,光云科技,19.88,7.75%,5.69%,2.82亿,1.87亿,9530.58万,4.70亿
148,688719,爱科赛博,53.86,7.72%,6.94%,1.82亿,1.47亿,3490.68万,3.28亿
149,603698,航天工程,42.58,7.72%,13.05%,14.69亿,14.36亿,3283.60万,29.04亿
150,600382,广东明珠,10.05,7.72%,6.14%,2.53亿,1.66亿,8725.90万,4.19亿
151,301157,华塑科技,79.5,7.68%,37.39%,2.90亿,3.15亿,-2504.12万,6.04亿
152,603399,永杉锂业,12.97,7.63%,17.43%,5.58亿,5.88亿,-2971.81万,11.47亿
153,2240,盛新锂能,49.8,7.63%,9.50%,21.42亿,21.65亿,-2331.80万,43.07亿
154,2624,完美世界,20.78,7.61%,6.65%,13.27亿,11.46亿,1.81亿,24.73亿
155,300394,天孚通信,355.57,7.53%,6.26%,99.23亿,68.75亿,30.48亿,167.99亿
156,300657,弘信电子,35.25,7.47%,13.34%,13.27亿,8.44亿,4.82亿,21.71亿
157,2378,章源钨业,32.39,7.47%,9.24%,18.54亿,16.49亿,2.05亿,35.03亿
158,688,国城矿业,46.73,7.47%,2.41%,7.23亿,5.99亿,1.23亿,13.22亿
159,600986,浙文互联,10.98,7.44%,19.39%,17.67亿,13.71亿,3.96亿,31.39亿
160,300277,汽轮科技,20.01,7.41%,7.61%,7.29亿,4.21亿,3.08亿,11.50亿
161,688556,高测股份,14.26,7.38%,8.68%,6.64亿,3.53亿,3.11亿,10.17亿
162,300804,广康生化,51.08,7.36%,15.03%,1.05亿,9628.55万,898.27万,2.02亿
163,300209,行云科技,13.58,7.35%,23.92%,13.71亿,9.75亿,3.96亿,23.46亿
164,610,西安旅游,9.65,7.34%,17.55%,2.14亿,1.72亿,4218.14万,3.86亿
165,605090,九丰能源,42.71,7.31%,4.98%,8.00亿,6.59亿,1.41亿,14.59亿
166,300245,天玑科技,14.42,7.29%,13.88%,3.71亿,2.26亿,1.45亿,5.97亿
167,300410,正业科技,9.63,7.24%,16.68%,3.22亿,2.60亿,6257.76万,5.82亿
168,301397,溯联股份,36.94,7.23%,12.00%,1.89亿,1.18亿,7030.41万,3.07亿
169,2283,天润工业,11.15,7.21%,5.26%,3.41亿,2.30亿,1.11亿,5.72亿
170,301178,天亿马,56.01,7.20%,9.10%,1.39亿,1.11亿,2837.80万,2.50亿
171,2328,新朋股份,13.4,7.20%,33.16%,13.05亿,11.87亿,1.18亿,24.92亿
172,300285,国瓷材料,35.68,7.15%,6.53%,11.11亿,8.03亿,3.08亿,19.15亿
173,300153,科泰电源,28.78,7.15%,8.03%,4.29亿,2.91亿,1.39亿,7.20亿
174,301222,浙江恒威,39.14,7.14%,9.36%,1.66亿,1.22亿,4359.87万,2.88亿
175,688258,卓易信息,114.1,7.14%,5.07%,4.14亿,2.82亿,1.32亿,6.97亿
176,2899,英派斯,33.36,7.13%,4.63%,1.40亿,8433.76万,5563.06万,2.24亿
177,688027,国盾量子,619.14,7.12%,5.63%,15.13亿,12.49亿,2.64亿,27.61亿
178,2943,宇晶股份,57.35,7.12%,20.11%,8.79亿,7.73亿,1.06亿,16.52亿
179,1223,欧克科技,55.66,7.08%,2.74%,8621.73万,5435.67万,3186.05万,1.41亿
180,688282,理工导航,88.26,7.07%,3.04%,1.31亿,1.04亿,2713.35万,2.35亿
181,6,深振业A,9.4,7.06%,3.05%,2.35亿,1.40亿,9479.06万,3.76亿
182,603730,岱美股份,10.01,7.06%,1.73%,2.01亿,1.63亿,3819.08万,3.64亿
183,688403,汇成股份,16.88,7.04%,6.60%,5.95亿,4.09亿,1.86亿,10.04亿
184,603061,金海通,245.98,7.02%,6.06%,6.05亿,6.55亿,-5076.15万,12.60亿
185,603040,新坐标,86.02,6.98%,2.08%,1.28亿,1.09亿,1921.14万,2.37亿
186,300137,先河环保,16.13,6.96%,15.25%,7.19亿,5.77亿,1.42亿,12.96亿
187,301128,强瑞技术,190.07,6.86%,9.35%,8.53亿,7.72亿,8027.50万,16.25亿
188,2842,翔鹭钨业,33.85,6.85%,26.28%,13.30亿,10.29亿,3.01亿,23.59亿
189,301373,凌玮科技,92.94,6.83%,23.59%,4.91亿,3.65亿,1.26亿,8.56亿
190,300097,智云股份,10.5,6.82%,17.28%,2.38亿,2.24亿,1417.04万,4.62亿
191,300276,三丰智能,7.36,6.82%,6.47%,2.87亿,2.14亿,7365.52万,5.01亿
192,605198,安德利,47.17,6.77%,1.79%,1.46亿,7899.47万,6698.23万,2.25亿
193,300928,华安鑫创,30.63,6.72%,6.33%,5762.64万,4567.71万,1194.92万,1.03亿
194,600126,杭钢股份,10.17,6.72%,7.93%,15.90亿,10.79亿,5.11亿,26.70亿
195,2532,天山铝业,19.69,6.72%,2.03%,10.34亿,5.69亿,4.65亿,16.04亿
196,2733,雄韬股份,32.18,6.70%,11.72%,7.81亿,5.87亿,1.95亿,13.68亿
197,301313,凡拓数创,33.43,6.70%,6.66%,8831.26万,7601.89万,1229.37万,1.64亿
198,300464,星徽股份,7.81,6.69%,6.70%,1.06亿,7539.60万,3066.36万,1.81亿
