序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
43,603687,大胜达,19.84,9.98%,7.78%,4.83亿,3.49亿,1.34亿,8.33亿
44,605388,均瑶健康,8.06,9.96%,8.30%,1.67亿,2.12亿,-4585.58万,3.83亿
45,570,苏常柴A,6.74,9.95%,10.26%,1.98亿,1.70亿,2740.22万,3.68亿
46,546,金圆股份,7.08,9.94%,7.20%,2.00亿,1.38亿,6169.42万,3.42亿
47,2421,达实智能,2.9,9.85%,5.35%,1.69亿,1.33亿,3587.37万,3.04亿
48,2468,申通快递,17.95,9.52%,7.56%,8.73亿,11.01亿,-2.28亿,19.92亿
49,688146,中船特气,65.62,9.11%,6.11%,2.96亿,2.26亿,7048.68万,5.53亿
50,688282,理工导航,89.78,8.92%,1.63%,6889.60万,5045.36万,1844.24万,1.24亿
51,688,国城矿业,47.3,8.79%,1.45%,4.53亿,3.26亿,1.27亿,7.92亿
52,301128,强瑞技术,193.36,8.71%,5.46%,5.27亿,4.17亿,1.10亿,9.53亿
53,688479,友车科技,35.3,8.55%,3.83%,4688.71万,3064.24万,1624.47万,8294.39万
54,600875,东方电气,41.46,8.48%,3.33%,17.25亿,12.55亿,4.70亿,30.83亿
55,300953,震裕科技,204.73,8.41%,5.93%,8.71亿,5.92亿,2.79亿,14.80亿
56,2008,大族激光,85.41,8.40%,2.18%,9.28亿,7.31亿,1.97亿,17.26亿
57,301369,联动科技,169.42,8.39%,4.67%,1.54亿,1.31亿,2268.56万,2.88亿
58,300137,先河环保,16.32,8.22%,6.61%,3.08亿,2.25亿,8240.99万,5.50亿
59,300696,爱乐达,34.14,8.17%,3.16%,1.54亿,1.24亿,2952.83万,2.84亿
60,301157,华塑科技,79.84,8.14%,21.30%,1.64亿,1.74亿,-1024.23万,3.43亿
61,603322,超讯通信,35.62,8.07%,8.02%,1.58亿,2.73亿,-1.15亿,4.46亿
62,688258,卓易信息,115.07,8.05%,2.53%,2.01亿,1.23亿,7728.78万,3.43亿
63,300857,协创数据,302.05,7.61%,4.85%,25.30亿,23.11亿,2.19亿,49.59亿
64,603129,春风动力,274.28,7.61%,1.92%,4.87亿,2.76亿,2.11亿,7.76亿
65,2192,融捷股份,80.9,7.47%,7.80%,9.77亿,6.08亿,3.70亿,15.96亿
66,300322,硕贝德,31.15,7.41%,9.03%,7.06亿,4.23亿,2.83亿,11.80亿
67,301345,涛涛车业,238.05,7.36%,4.96%,2.47亿,1.58亿,8868.99万,4.11亿
68,2328,新朋股份,13.42,7.36%,19.22%,7.49亿,6.75亿,7392.70万,14.33亿
69,571,新大洲A,5.55,7.35%,2.29%,6206.93万,3740.75万,2466.18万,1.02亿
70,300277,汽轮科技,19.98,7.25%,3.74%,3.32亿,1.70亿,1.63亿,5.57亿
71,2595,豪迈科技,86.8,7.25%,0.47%,1.91亿,1.24亿,6708.44万,3.19亿
72,301285,鸿日达,99.11,7.24%,1.56%,1.91亿,1.18亿,7270.75万,3.15亿
73,2738,中矿资源,86.4,7.24%,2.85%,11.21亿,5.58亿,5.63亿,17.17亿
74,300051,琏升科技,17.21,7.23%,10.20%,3.07亿,3.06亿,113.66万,6.37亿
75,2703,浙江世宝,20.72,7.19%,6.87%,4.67亿,3.14亿,1.53亿,8.15亿
76,300840,酷特智能,19.85,7.18%,5.58%,1.04亿,8668.62万,1681.63万,1.95亿
77,301321,翰博高新,23.66,7.06%,2.80%,5618.98万,3560.15万,2058.83万,9563.00万
78,688227,品高股份,75.35,7.05%,2.76%,1.36亿,9431.44万,4143.86万,2.33亿
79,2805,丰元股份,18.85,7.04%,12.34%,2.84亿,3.52亿,-6782.14万,6.47亿
80,603358,华达科技,34.88,6.96%,2.19%,2.00亿,1.35亿,6480.16万,3.42亿
81,601778,晶科科技,6.47,6.94%,8.74%,10.96亿,9.00亿,1.96亿,20.12亿
82,762,西藏矿业,36.07,6.91%,6.83%,7.16亿,5.29亿,1.87亿,12.68亿
83,300276,三丰智能,7.36,6.82%,4.19%,1.87亿,1.29亿,5770.91万,3.23亿
84,301360,荣旗科技,80.06,6.75%,7.29%,9151.23万,5192.33万,3958.90万,1.46亿
85,300351,永贵电器,17.08,6.75%,5.46%,1.47亿,9014.55万,5675.16万,2.41亿
86,301282,金禄电子,42.1,6.58%,11.86%,2.77亿,2.68亿,885.56万,5.66亿
87,301283,聚胶股份,49.16,6.50%,2.40%,4009.79万,2947.89万,1061.90万,7309.28万
88,155,川能动力,17.03,6.50%,3.41%,6.52亿,3.77亿,2.75亿,10.56亿
89,603206,嘉环科技,17.58,6.48%,4.09%,1.14亿,1.03亿,1168.17万,2.20亿
90,301004,嘉益股份,50.78,6.46%,0.94%,3996.21万,2381.69万,1614.52万,6429.39万
91,2466,天齐锂业,65.74,6.38%,3.29%,18.49亿,12.03亿,6.46亿,31.32亿
92,3038,鑫铂股份,16.68,6.31%,4.07%,6273.81万,3537.54万,2736.28万,1.08亿
93,593,德龙汇能,17.7,6.24%,3.53%,1.21亿,9149.90万,2941.13万,2.21亿
94,688003,天准科技,73.49,6.20%,1.75%,1.21亿,1.27亿,-616.80万,2.49亿
95,300159,*ST新研,3.44,6.17%,1.64%,6566.78万,1931.88万,4634.90万,1.02亿
96,688287,*ST观典,2.08,6.12%,10.80%,3707.54万,5025.99万,-1318.45万,9000.91万
97,600176,中国巨石,33.0,6.11%,2.68%,18.26亿,16.60亿,1.67亿,35.41亿
98,600105,永鼎股份,39.8,6.02%,6.87%,19.68亿,15.97亿,3.71亿,38.60亿
99,600356,恒丰纸业,9.71,6.00%,4.16%,6613.58万,4808.58万,1805.00万,1.19亿
100,2943,宇晶股份,56.75,6.00%,9.71%,4.24亿,3.47亿,7668.96万,7.87亿
101,600356,恒丰纸业,9.71,6.00%,4.16%,6613.58万,4808.58万,1805.00万,1.19亿
102,2943,宇晶股份,56.75,6.00%,9.71%,4.24亿,3.47亿,7668.96万,7.87亿
103,300438,鹏辉能源,66.62,5.93%,8.71%,12.79亿,9.83亿,2.96亿,23.07亿
104,301489,思泉新材,210.26,5.92%,3.97%,1.97亿,1.50亿,4694.68万,3.93亿
105,603185,弘元绿能,25.57,5.88%,1.69%,1.49亿,8849.70万,6089.04万,2.86亿
106,301322,绿通科技,36.2,5.85%,2.22%,4646.05万,2432.48万,2213.57万,7498.07万
107,301061,匠心家居,74.74,5.83%,0.60%,3199.96万,2570.93万,629.02万,6379.77万
108,300069,金利华电,23.5,5.81%,6.53%,9933.42万,6260.79万,3672.63万,1.74亿
109,600338,西藏珠峰,20.09,5.79%,6.80%,7.84亿,4.32亿,3.52亿,12.38亿
110,688382,益方生物,22.5,5.78%,2.11%,1.46亿,9795.99万,4805.18万,2.66亿
111,688135,利扬芯片,36.02,5.75%,5.92%,2.68亿,1.97亿,7041.14万,4.90亿
112,603315,福鞍股份,16.19,5.75%,3.21%,9518.95万,6312.67万,3206.28万,1.63亿
113,300418,昆仑万维,52.65,5.74%,2.80%,10.60亿,5.57亿,5.02亿,18.31亿
114,688027,国盾量子,611.05,5.72%,3.07%,8.87亿,5.80亿,3.07亿,14.91亿
115,301178,天亿马,55.23,5.70%,5.42%,8065.25万,6477.82万,1587.43万,1.48亿
116,688678,福立旺,27.84,5.69%,3.75%,1.82亿,1.12亿,6944.06万,2.96亿
117,300928,华安鑫创,30.32,5.64%,4.05%,3320.63万,3235.83万,84.79万,6587.52万
118,600673,东阳光,35.28,5.63%,1.26%,7.95亿,4.85亿,3.10亿,13.17亿
119,2802,洪汇新材,14.28,5.62%,2.61%,3153.63万,1664.70万,1488.94万,5444.51万
120,688182,灿勤科技,30.95,5.60%,0.92%,6237.73万,4841.91万,1395.82万,1.12亿
121,688486,龙迅股份,68.04,5.59%,1.44%,6982.32万,5702.24万,1280.09万,1.30亿
122,300798,锦鸡股份,11.8,5.55%,10.29%,2.60亿,1.86亿,7396.04万,4.56亿
123,301012,扬电科技,31.84,5.50%,5.42%,2.06亿,1.21亿,8505.37万,3.36亿
124,603698,航天工程,41.7,5.49%,7.33%,7.49亿,8.46亿,-9701.20万,16.04亿
125,301251,威尔高,71.2,5.43%,6.09%,1.30亿,9846.16万,3112.75万,2.31亿
126,300853,申昊科技,22.19,5.42%,2.83%,3632.42万,2199.83万,1432.59万,6072.21万
127,300769,德方纳米,48.5,5.39%,6.21%,4.47亿,3.00亿,1.47亿,7.55亿
128,300767,震安科技,23.38,5.32%,3.60%,1.20亿,7204.68万,4839.56万,2.00亿
129,2899,英派斯,32.79,5.30%,1.78%,5067.08万,2880.69万,2186.39万,8665.67万
130,601113,华鼎股份,4.59,5.28%,2.25%,6588.72万,4685.82万,1902.91万,1.14亿
131,2497,雅化集团,27.52,5.28%,3.22%,5.53亿,3.56亿,1.97亿,9.26亿
132,300986,志特新材,25.04,5.25%,5.38%,3.04亿,2.13亿,9116.18万,5.44亿
133,1309,德明利,527.44,5.24%,5.15%,22.46亿,17.76亿,4.70亿,42.07亿
134,300604,长川科技,148.59,5.23%,2.03%,8.43亿,5.72亿,2.71亿,14.55亿
135,300520,科大国创,38.95,5.21%,5.39%,2.87亿,2.74亿,1278.21万,5.89亿
136,605598,上海港湾,53.8,5.20%,1.93%,1.20亿,1.18亿,234.00万,2.47亿
137,300058,蓝色光标,17.28,5.17%,10.10%,31.08亿,28.76亿,2.32亿,60.83亿
138,301182,凯旺科技,70.27,5.13%,3.08%,1.05亿,8927.20万,1533.95万,2.04亿
139,603061,金海通,241.6,5.11%,2.44%,2.36亿,2.46亿,-999.02万,4.94亿
140,300870,欧陆通,355.2,5.09%,2.41%,4.91亿,4.28亿,6339.87万,9.38亿
141,2235,安妮股份,9.76,5.06%,7.36%,2.52亿,1.41亿,1.12亿,3.96亿
142,603488,展鹏科技,11.45,5.05%,1.71%,2713.54万,2230.82万,482.72万,5704.46万
143,609,ST中迪,9.77,5.05%,0.99%,1228.23万,1543.56万,-315.32万,2788.69万
144,301499,维科精密,35.39,5.01%,13.59%,9946.80万,6652.39万,3294.41万,1.67亿
145,603268,*ST松发,121.22,5.00%,1.62%,2.45亿,2.07亿,3783.98万,4.52亿
146,300750,宁德时代,452.46,4.98%,0.81%,86.10亿,64.52亿,21.57亿,153.66亿
147,300490,华自科技,19.66,4.97%,4.47%,2.15亿,1.23亿,9195.89万,3.42亿
148,300302,同有科技,23.87,4.97%,5.01%,2.47亿,1.73亿,7411.91万,4.32亿
149,688692,达梦数据,246.23,4.96%,1.31%,1.45亿,8599.71万,5911.29万,2.34亿
150,688548,广钢气体,25.04,4.95%,1.71%,1.63亿,1.03亿,5989.24万,2.95亿
151,605098,行动教育,63.13,4.95%,1.84%,6987.66万,6772.05万,215.61万,1.39亿
152,1223,欧克科技,54.55,4.94%,0.46%,741.41万,658.77万,82.64万,2289.31万
153,301086,鸿富瀚,153.79,4.93%,2.58%,8831.37万,7811.76万,1019.61万,1.82亿
154,605081,*ST太和,7.23,4.93%,0.86%,0.00,702.47万,-702.47万,702.54万
155,2469,三维化学,8.76,4.91%,2.15%,7858.92万,3718.99万,4139.94万,1.17亿
156,4,*ST国华,3.64,4.90%,0.49%,0.00,227.25万,-227.25万,227.57万
157,603308,应流股份,68.19,4.89%,1.72%,4.27亿,3.09亿,1.18亿,7.79亿
158,688677,海泰新光,72.98,4.86%,3.26%,1.61亿,1.17亿,4388.44万,2.82亿
159,603778,国晟科技,28.11,4.85%,19.48%,23.10亿,9.10亿,14.00亿,32.42亿
160,600184,光电股份,21.27,4.83%,3.55%,2.36亿,1.95亿,4059.54万,4.37亿
161,1311,多利科技,32.9,4.81%,1.94%,5298.91万,3242.09万,2056.82万,8647.06万
162,2961,瑞达期货,24.21,4.81%,1.73%,1.09亿,8629.57万,2255.84万,1.99亿
163,2798,帝欧水华,6.99,4.80%,6.08%,1.12亿,8691.37万,2522.82万,2.02亿
164,2708,光洋股份,13.75,4.80%,4.11%,1.76亿,1.19亿,5705.38万,2.97亿
165,792,盐湖股份,38.78,4.78%,1.04%,13.01亿,7.08亿,5.93亿,21.00亿
166,300843,胜蓝股份,67.64,4.77%,2.66%,1.49亿,1.30亿,1870.64万,2.86亿
167,1234,泰慕士,28.16,4.76%,2.21%,3209.42万,2408.78万,800.64万,5671.48万
168,601100,恒立液压,108.83,4.74%,0.45%,3.39亿,3.12亿,2713.68万,6.61亿
169,605196,华通线缆,49.69,4.74%,1.31%,2.25亿,9899.20万,1.26亿,3.29亿
170,688433,华曙高科,82.62,4.71%,1.43%,1.31亿,9894.04万,3194.21万,2.37亿
171,603067,振华股份,37.37,4.68%,2.28%,3.07亿,2.76亿,3011.59万,6.01亿
172,2762,*ST金比,7.85,4.67%,3.15%,1834.90万,3309.14万,-1474.24万,5211.98万
173,1300,三柏硕,17.76,4.66%,2.92%,6345.34万,6162.77万,182.57万,1.28亿
174,301043,绿岛风,53.98,4.65%,0.99%,1603.07万,987.93万,615.14万,2986.32万
175,300502,新易盛,519.98,4.63%,1.80%,41.76亿,37.26亿,4.50亿,81.20亿
176,1358,兴欣新材,27.03,4.61%,2.29%,1869.79万,1116.47万,753.31万,3046.40万
177,688178,万德斯,32.89,4.61%,1.24%,1684.21万,1694.72万,-10.51万,3399.03万
178,2757,南兴股份,21.67,4.58%,3.17%,1.14亿,5984.46万,5391.45万,1.91亿
179,603179,新泉股份,68.38,4.57%,1.85%,3.59亿,2.66亿,9266.90万,6.47亿
180,603383,顶点软件,33.07,4.55%,3.64%,1.22亿,1.16亿,548.71万,2.46亿
181,301181,标榜股份,49.3,4.54%,3.19%,7929.42万,5744.30万,2185.12万,1.40亿
182,688301,奕瑞科技,111.44,4.54%,0.55%,7637.71万,4796.37万,2841.34万,1.27亿
183,688006,杭可科技,30.68,4.53%,1.58%,1.63亿,1.23亿,3958.53万,2.90亿
184,603985,恒润股份,23.32,4.53%,7.90%,4.33亿,3.68亿,6494.09万,8.15亿
185,600520,三佳科技,25.39,4.49%,2.76%,6664.89万,3928.69万,2736.19万,1.10亿
186,2589,瑞康医药,3.75,4.46%,20.60%,4.74亿,6.02亿,-1.28亿,10.83亿
187,1335,信凯科技,43.77,4.44%,2.90%,1507.59万,1426.09万,81.50万,3190.23万
188,301397,溯联股份,35.98,4.44%,3.93%,6223.28万,3466.49万,2756.78万,9846.74万
189,2154,报喜鸟,3.76,4.44%,2.90%,8611.48万,4152.73万,4458.74万,1.28亿
190,688556,高测股份,13.87,4.44%,2.90%,1.94亿,1.29亿,6567.68万,3.31亿
191,301040,中环海陆,33.73,4.39%,4.40%,6827.14万,6360.95万,466.19万,1.39亿
192,2199,*ST东晶,9.74,4.39%,1.09%,1558.35万,974.89万,583.46万,2563.31万
193,2125,湘潭电化,14.07,4.38%,2.72%,1.38亿,1.00亿,3794.32万,2.41亿
194,301376,致欧科技,16.75,4.36%,1.92%,2943.41万,2502.08万,441.33万,6147.54万
195,2245,蔚蓝锂芯,19.87,4.36%,4.60%,5.92亿,3.86亿,2.06亿,9.90亿
196,688719,爱科赛博,52.16,4.32%,2.02%,5631.27万,3428.58万,2202.69万,9327.30万
197,300687,赛意信息,19.8,4.32%,1.05%,2891.72万,1687.48万,1204.24万,6848.01万
198,300385,ST雪浪,14.31,4.30%,4.37%,1.07亿,7225.02万,3456.19万,1.80亿
199,301003,江苏博云,54.1,4.30%,2.99%,7816.29万,3954.95万,3861.34万,1.24亿
200,700,模塑科技,11.95,4.28%,3.44%,2.02亿,1.61亿,4143.92万,3.78亿
201,301225,恒勃股份,119.48,4.26%,6.38%,1.12亿,1.09亿,305.95万,2.27亿
202,600433,冠豪高新,3.68,4.25%,3.11%,1.12亿,8671.53万,2560.23万,2.03亿
203,300911,亿田智能,34.24,4.23%,2.17%,6079.52万,6408.68万,-329.15万,1.27亿
204,603959,百利科技,6.91,4.22%,4.71%,9460.10万,6426.09万,3034.01万,1.61亿
205,300394,天孚通信,344.6,4.22%,1.95%,26.18亿,21.57亿,4.62亿,51.16亿
206,300738,奥飞数据,24.38,4.19%,5.23%,7.39亿,4.95亿,2.43亿,12.50亿
207,300243,瑞丰高材,15.95,4.18%,12.84%,1.99亿,1.91亿,753.40万,3.94亿
208,688279,峰岹科技,178.54,4.17%,1.18%,1.03亿,9277.33万,1014.41万,1.98亿
209,605166,聚合顺,10.54,4.15%,0.83%,1729.21万,911.16万,818.06万,2724.58万
210,300364,中文在线,28.59,4.15%,4.64%,4.89亿,3.02亿,1.88亿,8.70亿
211,2176,江特电机,11.35,4.13%,3.60%,4.03亿,2.76亿,1.27亿,6.91亿
212,605198,安德利,46.0,4.12%,0.54%,3659.01万,2632.34万,1026.67万,6752.44万
213,300531,优博讯,19.95,4.12%,3.87%,1.41亿,9160.04万,4961.16万,2.36亿
214,300170,汉得信息,21.27,4.11%,3.37%,3.98亿,2.74亿,1.24亿,7.27亿
215,603659,璞泰来,36.32,4.10%,1.42%,6.20亿,4.50亿,1.70亿,10.92亿
216,688449,联芸科技,48.39,4.09%,1.40%,1.06亿,7998.01万,2563.61万,1.96亿
217,2858,力盛体育,16.27,4.09%,2.20%,2801.76万,1976.91万,824.84万,5153.48万
218,2108,沧州明珠,5.12,4.07%,2.38%,8993.43万,5073.01万,3920.42万,2.01亿
219,1339,智微智能,70.16,4.06%,4.67%,1.97亿,1.84亿,1364.72万,3.91亿
220,300522,世名科技,13.61,4.05%,5.72%,1.09亿,9315.52万,1617.26万,2.04亿
221,603629,利通电子,91.51,4.05%,9.79%,11.69亿,10.33亿,1.36亿,23.32亿
222,2353,杰瑞股份,113.9,4.04%,1.45%,6.16亿,5.04亿,1.12亿,11.34亿
223,688615,合合信息,185.91,4.03%,2.25%,2.15亿,1.57亿,5745.73万,4.06亿
224,1389,广合科技,133.0,4.02%,2.17%,2.15亿,1.68亿,4647.39万,4.30亿
225,2838,道恩股份,27.94,4.02%,0.67%,4172.04万,3230.39万,941.66万,8128.48万
226,2460,赣锋锂业,85.47,4.02%,3.68%,21.53亿,15.23亿,6.31亿,37.72亿
227,2015,协鑫能科,18.51,3.99%,6.60%,9.71亿,9.67亿,327.00万,19.70亿
228,688507,索辰科技,90.91,3.98%,1.65%,4078.96万,2992.78万,1086.17万,7294.34万
229,301053,远信工业,59.04,3.96%,4.14%,1.07亿,1.01亿,617.24万,2.10亿
230,301085,亚康股份,66.98,3.94%,11.70%,2.13亿,2.51亿,-3808.52万,4.68亿
231,688158,优刻得,47.58,3.93%,6.33%,6.46亿,5.54亿,9193.70万,12.28亿
232,2355,兴民智通,6.34,3.93%,3.73%,8703.39万,5731.43万,2971.97万,1.46亿
233,300383,光环新网,18.55,3.92%,4.93%,9.17亿,7.04亿,2.13亿,16.36亿
234,301222,浙江恒威,37.95,3.89%,3.76%,6532.95万,4679.98万,1852.98万,1.14亿
235,603955,大千生态,26.73,3.89%,0.61%,1423.40万,718.02万,705.38万,2166.59万
236,300454,深信服,110.94,3.89%,2.31%,4.24亿,3.01亿,1.23亿,7.37亿
237,2785,万里石,43.81,3.89%,2.16%,1.01亿,7969.07万,2131.44万,1.83亿
238,2222,福晶科技,86.8,3.88%,2.02%,4.69亿,2.98亿,1.71亿,8.21亿
239,534,万泽股份,43.35,3.88%,2.49%,2.89亿,2.42亿,4684.16万,5.41亿
240,603171,税友股份,55.74,3.86%,1.69%,1.94亿,1.75亿,1901.57万,3.84亿
241,2756,永兴材料,78.58,3.85%,2.32%,3.94亿,2.94亿,1.00亿,7.08亿
242,2532,天山铝业,19.16,3.85%,0.88%,4.62亿,2.24亿,2.37亿,6.91亿
243,933,神火股份,35.06,3.85%,1.05%,4.66亿,3.50亿,1.16亿,8.26亿
244,600331,宏达股份,16.25,3.83%,1.45%,2.88亿,1.67亿,1.20亿,4.75亿
245,603200,上海洗霸,64.21,3.80%,3.38%,2.08亿,1.60亿,4874.90万,3.77亿
246,301002,崧盛股份,38.93,3.79%,2.66%,5209.11万,3602.54万,1606.57万,8875.52万
247,300209,行云科技,13.13,3.79%,10.79%,5.79亿,4.28亿,1.50亿,10.27亿
248,301662,宏工科技,145.26,3.78%,6.69%,8948.87万,7072.16万,1876.71万,1.61亿
249,688316,青云科技,76.88,3.78%,5.09%,1.04亿,7996.33万,2390.02万,1.87亿
250,2766,索菱股份,4.94,3.78%,2.61%,6916.22万,3401.66万,3514.56万,1.11亿
251,300891,惠云钛业,8.52,3.78%,0.94%,1379.09万,834.99万,544.10万,2617.78万
252,603271,永杰新材,50.59,3.77%,3.03%,6651.77万,6951.55万,-299.78万,1.44亿
253,301123,奕东电子,64.7,3.77%,2.93%,1.62亿,1.38亿,2407.24万,3.14亿
254,603119,浙江荣泰,81.0,3.77%,5.32%,4.20亿,4.39亿,-1906.56万,8.83亿
255,600238,*ST椰岛,4.72,3.74%,3.63%,3436.48万,3808.01万,-371.53万,7435.65万
256,2079,苏州固锝,10.26,3.74%,2.71%,1.42亿,7785.21万,6455.49万,2.24亿
257,301279,金道科技,28.68,3.73%,1.25%,1817.91万,1407.77万,410.14万,3569.05万
258,300017,网宿科技,18.94,3.72%,6.10%,15.05亿,11.09亿,3.96亿,26.62亿
259,822,山东海化,5.87,3.71%,2.84%,1.01亿,3949.76万,6157.48万,1.47亿
260,703,恒逸石化,15.92,3.71%,0.95%,2.76亿,2.73亿,347.13万,5.68亿
261,600353,旭光电子,15.72,3.69%,1.38%,7474.59万,5015.47万,2459.12万,1.79亿
262,600773,西藏城投,21.11,3.68%,2.27%,2.63亿,1.77亿,8664.55万,4.56亿
263,2239,奥特佳,3.1,3.68%,1.57%,1.17亿,3247.55万,8415.59万,1.57亿
264,301248,杰创智能,59.87,3.67%,10.49%,3.57亿,3.28亿,2866.27万,7.18亿
265,300393,中来股份,9.61,3.67%,2.68%,1.53亿,8402.95万,6902.29万,2.43亿
266,2734,利民股份,17.8,3.67%,4.05%,1.94亿,1.09亿,8438.45万,3.09亿
267,600595,中孚实业,8.5,3.66%,0.94%,1.93亿,1.22亿,7077.09万,3.20亿
268,688448,磁谷科技,63.02,3.65%,1.07%,2438.80万,2237.26万,201.54万,4774.52万
269,688362,甬矽电子,49.26,3.64%,1.37%,1.59亿,1.03亿,5608.19万,2.73亿
270,688228,开普云,110.46,3.64%,1.30%,5486.82万,3809.13万,1677.69万,9575.95万
271,605289,罗曼股份,131.2,3.63%,3.88%,2.92亿,2.51亿,4106.49万,5.48亿
272,300776,帝尔激光,83.33,3.62%,2.86%,2.46亿,1.45亿,1.01亿,3.99亿
273,688191,智洋创新,41.31,3.61%,0.87%,4922.34万,2884.47万,2037.87万,8222.33万
274,2511,中顺洁柔,8.6,3.61%,1.22%,8160.14万,4740.73万,3419.41万,1.32亿
275,603612,索通发展,27.43,3.59%,1.56%,1.32亿,7211.28万,5946.96万,2.12亿
276,300432,富临精工,26.25,3.59%,1.89%,4.84亿,3.35亿,1.49亿,8.33亿
277,688257,新锐股份,77.3,3.58%,1.55%,1.77亿,1.20亿,5661.28万,3.01亿
278,600251,冠农股份,11.29,3.58%,0.71%,4005.43万,1889.06万,2116.37万,6119.37万
279,2572,索菲亚,13.03,3.58%,1.20%,6393.05万,3502.83万,2890.22万,1.01亿
280,603823,百合花,15.68,3.57%,0.64%,2624.89万,1382.83万,1242.06万,4149.79万
281,2995,天地在线,24.15,3.56%,7.23%,1.07亿,8270.39万,2423.07万,1.96亿
282,301571,国科天成,74.17,3.56%,2.08%,1.03亿,7734.39万,2558.20万,1.83亿
283,600318,新力金融,7.94,3.52%,1.79%,4607.32万,2473.22万,2134.10万,7230.40万
284,70,特发信息,19.54,3.50%,6.22%,5.69亿,4.62亿,1.08亿,10.57亿
