序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,237.0,414.32%,56.78%,19.66亿,12.45亿,7.22亿,32.47亿
2,603293,埃泰克,74.86,123.53%,37.63%,4.26亿,5.34亿,-1.08亿,9.92亿
3,300027,华谊兄弟,2.09,20.11%,12.67%,1.40亿,5.13亿,-3.74亿,6.55亿
4,300905,宝丽迪,46.32,20.00%,6.39%,1.47亿,2.55亿,-1.08亿,4.03亿
5,688668,鼎通科技,204.86,18.63%,6.43%,9.55亿,7.43亿,2.12亿,17.20亿
6,301603,乔锋智能,89.28,18.50%,23.90%,4.85亿,2.71亿,2.14亿,7.70亿
7,301148,嘉戎技术,57.65,14.86%,3.38%,5569.92万,3252.45万,2317.47万,1.12亿
8,300088,长信科技,7.82,14.83%,13.57%,15.64亿,8.60亿,7.04亿,24.97亿
9,301382,蜂助手,39.71,13.46%,21.41%,8.58亿,6.42亿,2.16亿,15.09亿
10,301396,宏景科技,272.81,13.11%,10.78%,11.41亿,10.27亿,1.14亿,22.08亿
11,300390,天华新能,86.13,11.96%,10.31%,32.32亿,23.83亿,8.50亿,57.48亿
12,301636,泽润新能,79.03,11.33%,22.64%,1.29亿,1.18亿,1057.28万,2.72亿
13,2132,恒星科技,4.57,10.12%,9.12%,3.37亿,2.19亿,1.18亿,5.65亿
14,782,恒申新材,5.81,10.04%,3.50%,5283.49万,5175.88万,107.61万,1.05亿
15,603399,永杉锂业,13.26,10.04%,7.97%,2.17亿,1.62亿,5539.92万,5.21亿
16,600961,株冶集团,20.08,10.03%,3.09%,2.02亿,2.55亿,-5386.17万,4.58亿
17,2726,龙大美食,3.62,10.03%,3.84%,1818.46万,1.32亿,-1.13亿,1.50亿
18,2613,北玻股份,4.17,10.03%,9.09%,2.02亿,7252.95万,1.30亿,2.85亿
19,603826,坤彩科技,34.16,10.02%,2.15%,2.35亿,2.02亿,3312.42万,4.71亿
20,967,盈峰环境,13.07,10.02%,4.23%,8.98亿,7.11亿,1.87亿,17.15亿
21,1203,大中矿业,46.39,10.01%,1.23%,3.91亿,3.36亿,5507.83万,7.27亿
22,2213,大为股份,38.34,10.01%,18.53%,7.24亿,6.59亿,6506.77万,14.14亿
23,603906,龙蟠科技,25.05,10.01%,3.72%,1.63亿,3.58亿,-1.95亿,5.23亿
24,2940,昂利康,35.6,10.01%,9.66%,3.21亿,2.96亿,2593.09万,6.18亿
25,2580,圣阳股份,27.8,10.01%,14.30%,8.24亿,9.41亿,-1.17亿,17.66亿
26,2240,盛新锂能,50.9,10.01%,5.36%,13.92亿,10.24亿,3.69亿,24.21亿
27,1268,联合精密,31.34,10.00%,4.01%,3196.18万,4535.81万,-1339.62万,7751.73万
28,815,美利云,22.21,10.00%,10.13%,7.14亿,8.10亿,-9595.70万,15.33亿
29,3041,真爱美家,57.97,10.00%,3.43%,1.64亿,9097.79万,7300.46万,2.64亿
30,2263,大东南,5.17,10.00%,12.69%,2.42亿,9.77亿,-7.35亿,12.22亿
31,605060,联德股份,58.95,10.00%,3.27%,2.39亿,2.05亿,3414.21万,4.46亿
32,603052,可川科技,75.77,10.00%,3.15%,2.28亿,2.06亿,2228.17万,4.35亿
33,1230,劲旅环境,27.72,10.00%,5.76%,7189.41万,4422.70万,2766.71万,1.21亿
34,605287,德才股份,46.98,10.00%,3.24%,1.20亿,8632.43万,3399.61万,2.07亿
35,2990,盛视科技,46.32,10.00%,13.61%,4.00亿,4.24亿,-2459.35万,8.28亿
36,603920,世运电路,58.86,10.00%,1.59%,0.00,6.71亿,-6.71亿,6.74亿
37,603897,长城科技,50.6,10.00%,5.22%,2.23亿,3.16亿,-9290.42万,5.39亿
38,2850,科达利,205.59,10.00%,2.26%,5.08亿,3.89亿,1.19亿,8.98亿
39,2771,真视通,18.37,10.00%,11.34%,1.30亿,2.24亿,-9457.75万,3.59亿
40,600683,京投发展,10.9,9.99%,3.07%,9034.36万,1.54亿,-6382.38万,2.45亿
41,2297,博云新材,16.08,9.99%,21.86%,1.61亿,18.52亿,-16.91亿,20.14亿
42,600768,宁波富邦,17.52,9.98%,7.52%,8573.40万,8775.90万,-202.50万,1.74亿
