序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,228.51,395.90%,64.47%,22.15亿,14.86亿,7.28亿,37.16亿
2,603293,埃泰克,72.64,116.90%,48.02%,5.67亿,6.87亿,-1.19亿,12.60亿
3,300027,华谊兄弟,2.09,20.11%,13.12%,1.40亿,5.38亿,-3.99亿,6.79亿
4,300798,锦鸡股份,13.42,20.04%,19.57%,5.37亿,3.67亿,1.69亿,9.05亿
5,301603,乔锋智能,90.41,20.00%,29.33%,5.76亿,3.77亿,1.98亿,9.53亿
6,688668,鼎通科技,207.23,20.00%,9.12%,13.94亿,10.91亿,3.03亿,24.90亿
7,300905,宝丽迪,46.32,20.00%,6.74%,1.47亿,2.78亿,-1.32亿,4.26亿
8,300088,长信科技,8.11,19.09%,20.26%,23.86亿,12.60亿,11.26亿,38.26亿
9,301148,嘉戎技术,59.48,18.51%,9.39%,1.86亿,1.27亿,5924.96万,3.14亿
10,301396,宏景科技,282.2,17.01%,13.57%,14.86亿,13.07亿,1.79亿,28.04亿
11,301382,蜂助手,40.55,15.86%,24.48%,10.00亿,7.25亿,2.75亿,17.27亿
12,688287,*ST观典,2.22,13.27%,13.11%,4748.89万,6046.67万,-1297.78万,1.08亿
13,300390,天华新能,87.05,13.15%,12.48%,39.79亿,29.63亿,10.16亿,69.52亿
14,301282,金禄电子,44.5,12.66%,17.00%,4.37亿,3.73亿,6446.76万,8.31亿
15,300911,亿田智能,36.48,11.05%,5.24%,1.74亿,1.39亿,3462.06万,3.17亿
16,300351,永贵电器,17.72,10.75%,10.82%,3.16亿,1.70亿,1.45亿,4.88亿
17,301369,联动科技,172.55,10.39%,5.67%,1.86亿,1.62亿,2342.19万,3.50亿
18,300209,行云科技,13.96,10.36%,17.41%,10.18亿,6.61亿,3.57亿,16.87亿
19,600156,华升股份,8.42,10.07%,4.23%,5665.48万,8113.63万,-2448.16万,1.38亿
20,571,新大洲A,5.69,10.06%,3.19%,8451.89万,5775.14万,2676.75万,1.42亿
21,782,恒申新材,5.81,10.04%,3.63%,5283.49万,5597.81万,-314.32万,1.09亿
22,600961,株冶集团,20.08,10.03%,3.39%,2.02亿,3.01亿,-9968.86万,5.03亿
23,2726,龙大美食,3.62,10.03%,3.93%,1818.46万,1.35亿,-1.17亿,1.53亿
24,2613,北玻股份,4.17,10.03%,10.20%,2.02亿,1.19亿,8329.96万,3.21亿
25,603826,坤彩科技,34.16,10.02%,2.75%,2.87亿,3.20亿,-3275.22万,6.07亿
26,967,盈峰环境,13.07,10.02%,4.78%,8.98亿,10.36亿,-1.39亿,19.36亿
27,70,特发信息,20.77,10.01%,14.36%,15.41亿,9.41亿,6.00亿,25.20亿
28,1203,大中矿业,46.39,10.01%,1.37%,3.91亿,4.20亿,-2974.59万,8.12亿
29,2875,安奈儿,20.99,10.01%,4.67%,8721.78万,8198.79万,522.99万,1.71亿
30,2213,大为股份,38.34,10.01%,20.21%,7.24亿,8.06亿,-8193.70万,15.30亿
31,603906,龙蟠科技,25.05,10.01%,3.83%,1.63亿,3.74亿,-2.10亿,5.38亿
32,603322,超讯通信,36.26,10.01%,11.27%,2.72亿,3.58亿,-8669.06万,6.30亿
33,2940,昂利康,35.6,10.01%,10.06%,3.21亿,3.22亿,-89.90万,6.45亿
34,2580,圣阳股份,27.8,10.01%,14.41%,8.24亿,9.54亿,-1.30亿,17.79亿
35,2468,申通快递,18.03,10.01%,8.13%,9.63亿,11.79亿,-2.16亿,21.43亿
36,1268,联合精密,31.34,10.00%,4.13%,3196.18万,4791.54万,-1595.35万,7997.43万
37,815,美利云,22.21,10.00%,10.52%,7.14亿,8.77亿,-1.62亿,15.94亿
38,3041,真爱美家,57.97,10.00%,3.64%,1.64亿,1.16亿,4771.35万,2.80亿
39,2263,大东南,5.17,10.00%,13.23%,2.42亿,10.31亿,-7.89亿,12.73亿
40,605060,联德股份,58.95,10.00%,3.50%,2.39亿,2.40亿,-73.90万,4.80亿
41,603052,可川科技,75.77,10.00%,3.32%,2.28亿,2.31亿,-327.93万,4.59亿
42,1230,劲旅环境,27.72,10.00%,6.48%,7189.41万,6487.96万,701.45万,1.37亿
43,605287,德才股份,46.98,10.00%,3.54%,1.20亿,1.06亿,1383.69万,2.27亿
44,2990,盛视科技,46.32,10.00%,13.89%,4.00亿,4.46亿,-4605.41万,8.46亿
45,603985,恒润股份,24.54,10.00%,12.22%,6.94亿,5.79亿,1.15亿,12.74亿
46,603920,世运电路,58.86,10.00%,1.72%,0.00,7.29亿,-7.29亿,7.30亿
47,603897,长城科技,50.6,10.00%,5.35%,2.23亿,3.30亿,-1.07亿,5.53亿
48,600507,方大特钢,6.05,10.00%,3.24%,2.65亿,1.72亿,9220.52万,4.41亿
49,2850,科达利,205.59,10.00%,2.32%,5.08亿,4.14亿,9375.66万,9.22亿
50,2771,真视通,18.37,10.00%,11.94%,1.30亿,2.49亿,-1.19亿,3.78亿
51,2850,科达利,205.59,10.00%,2.32%,5.08亿,4.14亿,9375.66万,9.22亿
52,2771,真视通,18.37,10.00%,11.94%,1.30亿,2.49亿,-1.19亿,3.78亿
53,657,中钨高新,51.9,10.00%,8.19%,31.45亿,26.80亿,4.66亿,58.36亿
54,603315,福鞍股份,16.84,9.99%,9.60%,3.04亿,1.98亿,1.05亿,5.04亿
55,600683,京投发展,10.9,9.99%,3.19%,9034.36万,1.64亿,-7398.17万,2.55亿
56,2802,洪汇新材,14.87,9.99%,7.21%,7009.25万,8495.48万,-1486.23万,1.55亿
57,2757,南兴股份,22.79,9.99%,9.35%,3.36亿,2.45亿,9084.09万,5.82亿
58,2297,博云新材,16.08,9.99%,22.17%,1.61亿,18.82亿,-17.21亿,20.42亿
59,605166,聚合顺,11.13,9.98%,3.73%,6686.44万,5872.99万,813.44万,1.26亿
60,600768,宁波富邦,17.52,9.98%,7.83%,8573.40万,9528.38万,-954.98万,1.81亿
61,603687,大胜达,19.84,9.98%,7.87%,4.83亿,3.61亿,1.22亿,8.44亿
62,2062,宏润建设,8.05,9.97%,2.31%,9366.95万,1.09亿,-1522.30万,2.03亿
63,605388,均瑶健康,8.06,9.96%,9.32%,1.67亿,2.66亿,-9921.37万,4.33亿
64,600666,奥瑞德,6.85,9.95%,22.08%,21.30亿,15.07亿,6.23亿,36.38亿
65,570,苏常柴A,6.74,9.95%,10.56%,1.98亿,1.82亿,1566.20万,3.80亿
66,546,金圆股份,7.08,9.94%,8.15%,2.00亿,1.88亿,1155.37万,3.89亿
67,300438,鹏辉能源,69.11,9.89%,12.59%,18.94亿,14.70亿,4.24亿,33.74亿
68,2491,通鼎互联,15.6,9.86%,13.52%,13.90亿,8.49亿,5.41亿,23.57亿
69,2421,达实智能,2.9,9.85%,5.78%,1.69亿,1.60亿,885.23万,3.30亿
70,688556,高测股份,14.55,9.56%,6.50%,5.03亿,2.45亿,2.58亿,7.59亿
71,2008,大族激光,86.24,9.46%,3.02%,13.30亿,10.50亿,2.81亿,24.35亿
72,300853,申昊科技,22.96,9.07%,6.07%,8052.97万,5148.39万,2904.58万,1.33亿
73,300936,中英科技,72.2,9.06%,10.71%,1.91亿,1.60亿,3079.95万,3.53亿
74,301636,泽润新能,77.3,8.89%,29.85%,1.77亿,1.81亿,-410.87万,3.59亿
75,600875,东方电气,41.57,8.77%,4.70%,25.53亿,17.71亿,7.83亿,43.38亿
76,300322,硕贝德,31.5,8.62%,14.38%,11.69亿,7.38亿,4.31亿,19.19亿
77,688479,友车科技,35.32,8.61%,5.49%,6853.41万,5102.70万,1750.71万,1.20亿
78,301123,奕东电子,67.69,8.56%,7.22%,4.59亿,2.94亿,1.65亿,7.77亿
79,301012,扬电科技,32.75,8.52%,8.82%,3.52亿,1.92亿,1.60亿,5.53亿
80,300857,协创数据,304.01,8.31%,5.94%,31.32亿,29.36亿,1.96亿,61.01亿
81,300137,先河环保,16.33,8.29%,10.62%,5.05亿,3.91亿,1.13亿,8.98亿
82,688258,卓易信息,115.29,8.25%,3.67%,3.10亿,1.91亿,1.19亿,5.04亿
83,300696,爱乐达,34.16,8.24%,4.60%,2.36亿,1.73亿,6280.48万,4.15亿
84,688227,品高股份,76.16,8.20%,3.85%,1.83亿,1.41亿,4179.11万,3.26亿
85,601778,晶科科技,6.54,8.10%,14.76%,19.66亿,14.36亿,5.30亿,34.28亿
86,301004,嘉益股份,51.54,8.05%,1.28%,5526.98万,3213.97万,2313.01万,8814.26万
87,300840,酷特智能,20.01,8.05%,8.28%,1.69亿,1.20亿,4845.85万,2.90亿
88,301283,聚胶股份,49.87,8.04%,3.51%,6125.46万,4566.68万,1558.78万,1.08亿
89,688590,新致软件,15.18,8.04%,5.24%,1.27亿,8517.75万,4144.08万,2.20亿
90,300410,正业科技,9.7,8.02%,11.29%,2.18亿,1.71亿,4729.18万,3.93亿
91,301157,华塑科技,79.71,7.96%,25.31%,2.01亿,2.06亿,-519.51万,4.09亿
92,300604,长川科技,152.37,7.90%,3.61%,15.51亿,10.10亿,5.42亿,26.19亿
93,600749,西藏旅游,19.53,7.78%,12.60%,3.14亿,2.24亿,8993.53万,5.40亿
