序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,229.26,397.53%,72.32%,24.59亿,17.30亿,7.29亿,41.95亿
2,603293,埃泰克,73.28,118.81%,56.54%,6.75亿,7.98亿,-1.23亿,14.79亿
3,300027,华谊兄弟,2.09,20.11%,15.36%,1.62亿,6.32亿,-4.69亿,7.95亿
4,300798,锦鸡股份,13.42,20.04%,20.95%,5.37亿,4.38亿,9848.23万,9.76亿
5,301148,嘉戎技术,60.23,20.00%,13.82%,2.43亿,2.23亿,1930.99万,4.72亿
6,688227,品高股份,84.47,20.00%,6.39%,2.89亿,2.48亿,4087.23万,5.73亿
7,688668,鼎通科技,207.23,20.00%,9.36%,13.94亿,11.64亿,2.30亿,25.60亿
8,300905,宝丽迪,46.32,20.00%,6.83%,1.47亿,2.84亿,-1.37亿,4.31亿
9,301603,乔锋智能,90.41,20.00%,31.57%,5.78亿,4.52亿,1.25亿,10.30亿
10,300736,百邦科技,23.78,19.98%,17.61%,2.13亿,2.74亿,-6134.21万,4.88亿
11,688287,*ST观典,2.33,18.88%,14.64%,5477.94万,6548.38万,-1070.44万,1.21亿
12,301396,宏景科技,286.46,18.77%,17.92%,19.72亿,17.77亿,1.95亿,37.52亿
13,300290,荣科科技,16.83,18.11%,11.67%,6.97亿,4.94亿,2.03亿,12.01亿
14,300938,信测标准,53.57,17.61%,8.04%,4.39亿,3.41亿,9832.28万,8.18亿
15,301030,仕净科技,11.83,16.32%,9.03%,1.21亿,6909.40万,5196.69万,2.00亿
16,300088,长信科技,7.78,14.24%,27.24%,32.56亿,19.46亿,13.10亿,52.12亿
17,301382,蜂助手,39.94,14.11%,26.94%,10.85亿,8.14亿,2.71亿,19.01亿
18,301282,金禄电子,44.88,13.62%,20.44%,5.46亿,4.60亿,8589.60万,10.07亿
19,300587,天铁科技,5.87,12.88%,4.02%,1.40亿,7225.63万,6758.89万,2.31亿
20,300351,永贵电器,17.91,11.94%,13.73%,4.05亿,2.19亿,1.86亿,6.25亿
21,688159,有方科技,47.82,11.81%,9.35%,2.57亿,1.48亿,1.09亿,4.06亿
22,301091,深城交,24.05,11.76%,3.23%,2.37亿,1.58亿,7908.95万,3.96亿
23,301580,爱迪特,77.29,11.71%,10.55%,2.92亿,2.58亿,3385.21万,5.53亿
24,688500,慧辰股份,53.59,11.41%,3.65%,8809.69万,4546.58万,4263.11万,1.38亿
25,300390,天华新能,85.64,11.32%,13.86%,43.89亿,33.49亿,10.40亿,77.52亿
26,301369,联动科技,173.84,11.21%,7.24%,2.37亿,2.12亿,2426.66万,4.49亿
27,300936,中英科技,73.53,11.07%,15.21%,2.88亿,2.20亿,6856.31万,5.10亿
28,688220,翱捷科技,84.47,11.00%,4.07%,6.85亿,5.05亿,1.80亿,12.16亿
29,300853,申昊科技,23.32,10.78%,8.78%,1.14亿,7421.32万,4025.28万,1.96亿
30,300857,协创数据,310.5,10.62%,7.81%,42.41亿,37.73亿,4.68亿,80.98亿
31,300163,先锋新材,5.05,10.26%,10.11%,1.54亿,6559.42万,8865.06万,2.21亿
32,301123,奕东电子,68.74,10.25%,10.62%,7.14亿,4.32亿,2.83亿,11.59亿
33,301086,鸿富瀚,161.45,10.15%,6.57%,2.78亿,1.94亿,8390.16万,4.77亿
