序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,688287,*ST观典,1.96,20.25%,6.76%,2414.81万,2338.66万,76.15万,4753.47万
2,688805,健信超导,56.92,20.01%,29.90%,2.48亿,2.70亿,-2259.13万,5.18亿
3,301189,奥尼电子,86.39,20.00%,11.91%,4.75亿,6.64亿,-1.89亿,11.39亿
4,688166,博瑞医药,57.66,20.00%,6.73%,7.66亿,7.60亿,621.30万,15.26亿
5,301408,华人健康,20.78,19.98%,28.43%,7.85亿,4.87亿,2.98亿,12.73亿
6,300097,智云股份,9.83,17.44%,20.68%,2.83亿,2.46亿,3622.93万,5.29亿
7,301017,漱玉平民,16.28,15.79%,14.53%,3.48亿,2.31亿,1.17亿,5.79亿
8,301248,杰创智能,57.75,14.52%,14.69%,5.09亿,4.00亿,1.09亿,9.09亿
9,688253,英诺特,43.1,14.11%,4.57%,1.56亿,1.06亿,4944.52万,2.62亿
10,300051,琏升科技,16.05,13.27%,17.33%,5.41亿,4.55亿,8588.34万,9.96亿
11,688603,天承科技,98.56,13.12%,22.13%,6.57亿,3.52亿,3.04亿,10.09亿
12,688618,三旺通信,39.37,12.61%,10.34%,2.07亿,2.39亿,-3210.61万,4.46亿
13,300857,协创数据,280.69,12.46%,11.83%,61.85亿,50.31亿,11.54亿,112.15亿
14,301631,壹连科技,102.99,12.19%,18.36%,3.48亿,2.16亿,1.31亿,5.64亿
15,300798,锦鸡股份,11.18,11.58%,19.82%,4.77亿,3.30亿,1.47亿,8.07亿
16,300444,双杰电气,15.37,10.97%,21.88%,11.46亿,8.89亿,2.56亿,20.35亿
17,301232,飞沃科技,216.12,10.81%,26.15%,13.55亿,11.69亿,1.86亿,25.23亿
18,688802,沐曦股份,679.9,10.75%,25.65%,18.30亿,12.49亿,5.81亿,30.79亿
19,301055,张小泉,33.0,10.22%,7.57%,2.05亿,1.71亿,3446.98万,3.76亿
20,785,居然智家,2.7,10.20%,2.23%,1.40亿,2.09亿,-6899.15万,3.49亿
21,2124,天邦食品,3.14,10.18%,19.74%,4.15亿,7.97亿,-3.82亿,12.11亿
22,2589,瑞康医药,3.59,10.12%,6.88%,9167.79万,2.40亿,-1.48亿,3.32亿
23,600572,康恩贝,4.8,10.09%,8.20%,4.83亿,4.84亿,-106.55万,9.66亿
24,788,北大医药,6.77,10.08%,19.39%,4.37亿,3.04亿,1.33亿,7.42亿
25,2798,帝欧水华,6.67,10.07%,4.23%,7326.99万,5909.22万,1417.78万,1.32亿
26,605388,均瑶健康,7.33,10.06%,6.58%,1.55亿,1.23亿,3134.52万,2.78亿
27,600267,海正药业,11.39,10.05%,4.12%,2.44亿,3.05亿,-6123.32万,5.48亿
28,1208,华菱线缆,21.4,10.03%,16.65%,4.77亿,4.49亿,2826.13万,9.27亿
29,603815,交建股份,6.36,10.03%,3.51%,6223.51万,7319.86万,-1096.35万,1.35亿
30,2787,华源控股,16.68,10.03%,11.11%,2.22亿,2.35亿,-1351.55万,4.57亿
31,2705,新宝股份,17.34,10.03%,6.15%,4.57亿,3.77亿,7957.50万,8.34亿
32,2361,神剑股份,18.54,10.03%,38.16%,25.42亿,29.18亿,-3.76亿,54.60亿
33,1896,豫能控股,16.57,10.03%,17.45%,21.76亿,20.44亿,1.32亿,42.20亿
34,603216,梦天家居,33.17,10.02%,4.98%,1.44亿,2.13亿,-6978.22万,3.57亿
35,605222,起帆电缆,25.8,10.02%,5.71%,3.03亿,2.85亿,1745.10万,5.88亿
36,603327,福蓉科技,10.54,10.02%,4.62%,1.57亿,3.45亿,-1.88亿,5.01亿
37,600135,乐凯胶片,11.2,10.02%,4.53%,1.32亿,1.41亿,-813.00万,2.73亿
38,2990,盛视科技,42.11,10.01%,21.89%,5.99亿,5.88亿,1019.23万,11.87亿
39,605366,宏柏新材,13.41,10.01%,5.36%,2.78亿,2.59亿,1900.64万,5.37亿
40,603629,利通电子,87.95,10.01%,17.22%,19.29亿,17.85亿,1.44亿,37.14亿
41,603063,禾望电气,38.03,10.01%,14.49%,10.22亿,14.81亿,-4.59亿,25.03亿
42,2580,圣阳股份,25.27,10.01%,23.86%,10.18亿,16.90亿,-6.71亿,27.08亿
43,2297,博云新材,14.62,10.01%,1.71%,0.00,1.43亿,-1.43亿,1.43亿
44,26,飞亚达,17.82,10.00%,10.04%,2.97亿,3.30亿,-3322.50万,6.27亿
45,603285,键邦股份,34.65,10.00%,11.59%,8536.75万,1.61亿,-7602.81万,2.47亿
46,603459,红板科技,68.4,10.00%,32.45%,7.18亿,9.93亿,-2.75亿,17.11亿
47,3036,泰坦股份,29.7,10.00%,6.30%,1.78亿,2.11亿,-3263.12万,3.88亿
48,605098,行动教育,60.15,10.00%,1.82%,3461.89万,9479.78万,-6017.89万,1.29亿
49,2788,鹭燕医药,15.95,10.00%,18.72%,5.81亿,5.11亿,6949.53万,10.92亿
50,603150,万朗磁塑,57.53,10.00%,4.08%,9722.33万,9688.12万,34.21万,1.94亿
51,605289,罗曼股份,126.61,10.00%,5.25%,3.26亿,3.73亿,-4655.37万,6.99亿
52,603773,沃格光电,49.52,10.00%,8.41%,4.62亿,4.28亿,3360.03万,8.90亿
53,603687,大胜达,18.04,10.00%,3.83%,9464.50万,2.85亿,-1.90亿,3.79亿
54,603444,吉比特,393.34,10.00%,5.16%,4.68亿,9.75亿,-5.06亿,14.43亿
55,603950,长源东谷,59.84,10.00%,3.23%,1.82亿,4.37亿,-2.55亿,6.20亿
56,600605,汇通能源,32.33,10.00%,9.16%,3.51亿,2.48亿,1.03亿,5.98亿
57,2468,申通快递,16.39,10.00%,0.66%,0.00,1.59亿,-1.59亿,1.59亿
58,605365,立达信,23.67,9.99%,1.81%,4991.07万,1.62亿,-1.13亿,2.12亿
59,603890,春秋电子,18.71,9.99%,15.12%,5.12亿,7.28亿,-2.16亿,12.40亿
60,603698,航天工程,39.53,9.99%,3.93%,2.86亿,5.47亿,-2.61亿,8.32亿
61,600683,京投发展,9.91,9.99%,3.96%,1.53亿,1.24亿,2903.93万,2.76亿
62,2891,中宠股份,41.84,9.99%,7.14%,4.79亿,4.48亿,3008.79万,9.27亿
63,2824,和胜股份,29.62,9.99%,15.54%,4.98亿,4.86亿,1252.48万,9.84亿
64,919,金陵药业,8.26,9.99%,11.96%,2.94亿,2.98亿,-463.18万,5.92亿
65,2980,华盛昌,70.54,9.98%,25.61%,7.43亿,10.78亿,-3.35亿,18.22亿
66,2051,中工国际,11.9,9.98%,9.80%,4.10亿,10.20亿,-6.10亿,14.30亿
67,889,中嘉博创,4.74,9.98%,36.61%,7.17亿,6.85亿,3163.77万,14.02亿
68,600488,津药药业,6.84,9.97%,22.39%,7.52亿,8.31亿,-7868.77万,15.83亿
69,2498,汉缆股份,8.5,9.96%,5.21%,3.96亿,10.54亿,-6.57亿,14.50亿
70,2033,丽江股份,9.94,9.96%,13.25%,2.91亿,4.12亿,-1.20亿,7.03亿
71,2038,双鹭药业,8.07,9.95%,16.69%,5.85亿,5.04亿,8085.21万,10.90亿
72,600594,益佰制药,4.76,9.93%,23.65%,4.67亿,3.89亿,7747.20万,8.56亿
73,600664,哈药股份,4.44,9.90%,18.16%,6.92亿,12.82亿,-5.90亿,19.74亿
74,78,海王生物,4.02,9.84%,17.90%,11.01亿,7.32亿,3.70亿,18.33亿
75,300752,隆利科技,19.76,9.60%,12.97%,2.70亿,1.23亿,1.48亿,3.93亿
76,300880,迦南智能,23.11,9.53%,9.55%,2.30亿,1.87亿,4246.30万,4.17亿
77,601179,中国西电,17.7,9.26%,8.68%,44.94亿,32.20亿,12.74亿,77.15亿
78,300088,长信科技,6.81,9.13%,16.75%,16.35亿,13.10亿,3.25亿,29.45亿
79,301040,中环海陆,32.31,9.08%,10.79%,1.72亿,1.52亿,1979.64万,3.23亿
80,2840,华统股份,13.68,8.92%,10.78%,6.30亿,5.24亿,1.06亿,11.54亿
81,603538,美诺华,55.5,8.91%,32.35%,20.37亿,17.16亿,3.21亿,37.53亿
82,300741,华宝股份,17.75,8.70%,2.60%,1.53亿,1.33亿,2020.91万,2.85亿
83,688658,悦康药业,20.61,8.59%,5.08%,2.46亿,2.09亿,3704.42万,4.56亿
84,300871,回盛生物,27.46,8.49%,13.83%,4.37亿,3.22亿,1.15亿,7.59亿
85,601133,柏诚股份,25.87,8.47%,7.49%,5.39亿,4.52亿,8730.79万,9.91亿
86,301396,宏景科技,241.18,8.31%,21.61%,20.59亿,18.64亿,1.96亿,39.23亿
87,2060,广东建工,4.05,8.29%,9.00%,2.29亿,3.38亿,-1.09亿,5.67亿
88,2294,信立泰,67.27,8.15%,1.84%,6.57亿,6.51亿,539.81万,13.08亿
89,603122,合富中国,17.91,8.09%,18.74%,7.14亿,5.78亿,1.36亿,12.92亿
90,688811,有研复材,19.8,8.08%,56.77%,5.52亿,4.90亿,6238.69万,10.42亿
