序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,235.0,409.98%,78.91%,26.79亿,19.18亿,7.61亿,46.04亿
2,603293,埃泰克,71.25,112.75%,64.48%,7.46亿,9.12亿,-1.66亿,16.82亿
3,300027,华谊兄弟,2.09,20.11%,15.55%,1.62亿,6.41亿,-4.79亿,8.05亿
4,300798,锦鸡股份,13.42,20.04%,21.28%,5.37亿,4.56亿,8080.51万,9.93亿
5,301148,嘉戎技术,60.23,20.00%,14.89%,2.50亿,2.59亿,-842.87万,5.10亿
6,301396,宏景科技,289.42,20.00%,19.51%,21.40亿,19.45亿,1.95亿,41.01亿
7,688227,品高股份,84.47,20.00%,6.86%,2.89亿,3.13亿,-2471.58万,6.05亿
8,688668,鼎通科技,207.23,20.00%,9.43%,13.94亿,11.87亿,2.07亿,25.81亿
9,300905,宝丽迪,46.32,20.00%,6.90%,1.47亿,2.89亿,-1.42亿,4.36亿
10,301603,乔锋智能,90.41,20.00%,32.44%,5.78亿,4.81亿,9633.14万,10.59亿
11,300736,百邦科技,23.78,19.98%,18.63%,2.14亿,3.04亿,-9065.10万,5.19亿
12,688287,*ST观典,2.35,19.90%,16.44%,6308.26万,7121.90万,-813.64万,1.36亿
13,301382,蜂助手,40.35,15.29%,28.35%,11.45亿,8.53亿,2.93亿,20.01亿
14,300290,荣科科技,16.32,14.53%,14.22%,8.02亿,6.57亿,1.45亿,14.68亿
15,300587,天铁科技,5.95,14.42%,6.50%,2.37亿,1.45亿,9187.41万,3.87亿
16,301282,金禄电子,45.19,14.41%,23.24%,6.32亿,5.10亿,1.22亿,11.55亿
17,300088,长信科技,7.77,14.10%,29.49%,34.68亿,21.65亿,13.04亿,56.50亿
18,300857,协创数据,318.38,13.43%,9.34%,52.16亿,44.72亿,7.44亿,97.69亿
19,300936,中英科技,74.9,13.14%,17.58%,3.25亿,2.50亿,7449.19万,5.96亿
20,301030,仕净科技,11.4,12.09%,11.30%,1.53亿,9709.63万,5637.60万,2.53亿
21,300938,信测标准,51.03,12.03%,14.39%,8.99亿,6.06亿,2.93亿,15.16亿
22,300270,中威电子,11.48,12.00%,8.75%,1.67亿,8348.13万,8313.21万,2.53亿
23,301086,鸿富瀚,164.1,11.96%,8.00%,3.40亿,2.42亿,9788.57万,5.87亿
24,688678,福立旺,29.47,11.88%,10.73%,4.86亿,3.67亿,1.19亿,8.68亿
25,300390,天华新能,85.99,11.78%,15.27%,48.40亿,36.99亿,11.40亿,85.74亿
26,300351,永贵电器,17.86,11.62%,15.23%,4.43亿,2.47亿,1.95亿,6.96亿
27,688500,慧辰股份,53.68,11.60%,6.50%,1.60亿,9042.39万,6913.50万,2.51亿
28,300853,申昊科技,23.48,11.54%,11.93%,1.61亿,1.05亿,5588.28万,2.67亿
29,301123,奕东电子,69.51,11.48%,13.16%,9.24亿,5.11亿,4.14亿,14.50亿
30,688159,有方科技,47.6,11.29%,10.35%,2.74亿,1.72亿,1.03亿,4.50亿
31,688685,迈信林,45.43,11.24%,5.43%,2.14亿,1.29亿,8439.76万,3.47亿
32,301369,联动科技,173.47,10.98%,7.89%,2.60亿,2.31亿,2927.97万,4.91亿
33,300858,科拓生物,23.62,10.74%,19.36%,4.28亿,3.82亿,4589.94万,8.22亿
34,300738,奥飞数据,25.86,10.51%,15.25%,22.77亿,14.36亿,8.41亿,37.49亿
35,300911,亿田智能,36.26,10.38%,7.21%,2.42亿,1.93亿,4905.50万,4.39亿
36,301091,深城交,23.73,10.27%,3.65%,2.59亿,1.86亿,7273.60万,4.49亿
37,300163,先锋新材,5.05,10.26%,12.65%,1.84亿,9323.19万,9045.28万,2.79亿
38,300684,中石科技,59.71,10.25%,12.70%,9.46亿,5.39亿,4.07亿,14.94亿
39,300953,震裕科技,207.88,10.08%,10.31%,15.16亿,10.75亿,4.41亿,26.09亿
40,601778,晶科科技,6.66,10.08%,20.27%,27.67亿,19.59亿,8.08亿,47.34亿
41,600156,华升股份,8.42,10.07%,5.01%,5665.48万,1.08亿,-5144.95万,1.65亿
42,571,新大洲A,5.69,10.06%,3.28%,8451.89万,6161.61万,2290.28万,1.46亿
43,600719,大连热电,7.33,10.06%,7.76%,1.52亿,6984.13万,8210.39万,2.22亿
44,782,恒申新材,5.81,10.04%,3.86%,5283.49万,6256.30万,-972.81万,1.16亿
45,301345,涛涛车业,244.0,10.04%,8.66%,4.24亿,2.97亿,1.28亿,7.23亿
46,600961,株冶集团,20.08,10.03%,3.52%,2.02亿,3.20亿,-1.18亿,5.22亿
47,2726,龙大美食,3.62,10.03%,4.06%,1818.46万,1.40亿,-1.22亿,1.58亿
48,2613,北玻股份,4.17,10.03%,10.63%,2.02亿,1.33亿,6928.45万,3.35亿
49,603826,坤彩科技,34.16,10.02%,2.81%,2.87亿,3.33亿,-4626.74万,6.21亿
50,967,盈峰环境,13.07,10.02%,4.86%,8.98亿,10.72亿,-1.74亿,19.70亿
51,593,德龙汇能,18.33,10.02%,7.64%,2.72亿,2.12亿,6040.44万,4.85亿
52,70,特发信息,20.77,10.01%,23.76%,24.13亿,18.24亿,5.89亿,42.42亿
53,1203,大中矿业,46.39,10.01%,1.46%,3.91亿,4.74亿,-8375.48万,8.65亿
54,2875,安奈儿,20.99,10.01%,9.93%,1.63亿,2.08亿,-4511.05万,3.72亿
55,2213,大为股份,38.34,10.01%,20.92%,7.24亿,8.62亿,-1.38亿,15.86亿
56,603933,睿能科技,24.95,10.01%,10.44%,2.76亿,2.40亿,3547.78万,5.17亿
57,603906,龙蟠科技,25.05,10.01%,4.04%,1.63亿,4.04亿,-2.41亿,5.68亿
58,603322,超讯通信,36.26,10.01%,12.06%,2.72亿,4.02亿,-1.31亿,6.76亿
59,600549,厦门钨业,61.88,10.01%,6.33%,31.48亿,27.02亿,4.46亿,58.55亿
60,2940,昂利康,35.6,10.01%,10.42%,3.21亿,3.47亿,-2567.17万,6.69亿
61,2929,润建股份,65.29,10.01%,13.34%,9.47亿,8.03亿,1.44亿,17.52亿
62,2580,圣阳股份,27.8,10.01%,14.73%,8.24亿,9.96亿,-1.71亿,18.20亿
63,2468,申通快递,18.03,10.01%,8.74%,9.66亿,13.37亿,-3.71亿,23.04亿
64,1268,联合精密,31.34,10.00%,4.43%,3196.18万,5389.51万,-2193.32万,8588.51万
65,815,美利云,22.21,10.00%,11.03%,7.14亿,9.56亿,-2.42亿,16.72亿
66,3041,真爱美家,57.97,10.00%,3.79%,1.64亿,1.28亿,3578.90万,2.92亿
67,2263,大东南,5.17,10.00%,14.70%,2.42亿,11.72亿,-9.30亿,14.16亿
68,605060,联德股份,58.95,10.00%,3.66%,2.39亿,2.62亿,-2242.05万,5.01亿
69,603052,可川科技,75.77,10.00%,3.41%,2.28亿,2.44亿,-1554.40万,4.72亿
70,1230,劲旅环境,27.72,10.00%,6.67%,7189.41万,6911.24万,278.17万,1.41亿
71,2209,达意隆,16.5,10.00%,7.00%,9634.06万,7596.56万,2037.50万,1.74亿
72,605287,德才股份,46.98,10.00%,3.69%,1.20亿,1.16亿,383.01万,2.37亿
73,2990,盛视科技,46.32,10.00%,17.58%,4.58亿,6.19亿,-1.61亿,10.77亿
74,600847,万里股份,14.63,10.00%,5.80%,5685.89万,6974.53万,-1288.64万,1.27亿
75,603985,恒润股份,24.54,10.00%,12.93%,6.94亿,6.55亿,3953.84万,13.51亿
76,603920,世运电路,58.86,10.00%,1.80%,0.00,7.65亿,-7.65亿,7.66亿
77,603897,长城科技,50.6,10.00%,5.45%,2.23亿,3.40亿,-1.18亿,5.63亿
78,600507,方大特钢,6.05,10.00%,3.99%,2.83亿,2.62亿,2145.33万,5.46亿
79,2859,洁美科技,46.33,10.00%,3.94%,3.63亿,3.59亿,342.08万,7.22亿
80,2850,科达利,205.59,10.00%,2.66%,5.08亿,5.54亿,-4593.77万,10.63亿
81,2771,真视通,18.37,10.00%,12.45%,1.30亿,2.65亿,-1.35亿,3.95亿
82,2595,豪迈科技,89.02,10.00%,0.76%,3.23亿,2.02亿,1.20亿,5.25亿
83,2491,通鼎互联,15.62,10.00%,21.98%,23.97亿,14.67亿,9.31亿,38.66亿
84,2008,大族激光,86.67,10.00%,5.23%,21.29亿,21.06亿,2321.10万,42.41亿
85,657,中钨高新,51.9,10.00%,8.55%,31.45亿,29.58亿,1.87亿,61.06亿
86,600683,京投发展,10.9,9.99%,3.27%,9034.36万,1.70亿,-7997.45万,2.61亿
87,603315,福鞍股份,16.84,9.99%,10.05%,3.04亿,2.24亿,8010.23万,5.28亿
88,603220,中贝通信,31.93,9.99%,20.32%,14.68亿,12.26亿,2.42亿,26.97亿
89,600875,东方电气,42.04,9.99%,6.68%,36.15亿,26.09亿,10.06亿,62.30亿
90,600749,西藏旅游,19.93,9.99%,17.08%,4.34亿,3.03亿,1.31亿,7.42亿
91,300352,北信源,7.71,9.99%,8.59%,4.94亿,2.85亿,2.08亿,8.07亿
92,2802,洪汇新材,14.87,9.99%,7.89%,7009.25万,1.00亿,-3014.54万,1.70亿
93,2757,南兴股份,22.79,9.99%,10.26%,3.36亿,3.05亿,3109.28万,6.41亿
94,2297,博云新材,16.08,9.99%,22.58%,1.61亿,19.18亿,-17.57亿,20.80亿
95,2237,恒邦股份,16.51,9.99%,4.87%,4.68亿,4.58亿,1028.85万,9.28亿
96,762,西藏矿业,37.11,9.99%,14.86%,15.54亿,12.32亿,3.21亿,27.87亿
97,2333,罗普斯金,6.39,9.98%,8.34%,1.73亿,1.64亿,986.57万,3.41亿
98,605336,帅丰电器,15.65,9.98%,4.68%,6046.69万,6849.47万,-802.78万,1.30亿
99,605166,聚合顺,11.13,9.98%,4.20%,6686.44万,7503.67万,-817.24万,1.43亿
100,600768,宁波富邦,17.52,9.98%,8.14%,8573.40万,1.02亿,-1669.46万,1.88亿
101,603878,武进不锈,8.27,9.97%,4.10%,9734.19万,8492.71万,1241.48万,1.82亿
102,600284,浦东建设,7.5,9.97%,4.48%,1.77亿,1.34亿,4309.11万,3.11亿
