序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,232.89,405.40%,69.00%,23.63亿,16.17亿,7.46亿,39.92亿
2,603293,埃泰克,72.71,117.11%,52.04%,6.16亿,7.42亿,-1.26亿,13.63亿
3,300027,华谊兄弟,2.09,20.11%,14.41%,1.40亿,5.66亿,-4.26亿,7.50亿
4,300798,锦鸡股份,13.42,20.04%,20.46%,5.37亿,4.14亿,1.23亿,9.51亿
5,301148,嘉戎技术,60.23,20.00%,13.12%,2.43亿,2.03亿,3965.56万,4.46亿
6,301603,乔锋智能,90.41,20.00%,31.50%,5.78亿,4.49亿,1.28亿,10.27亿
7,688668,鼎通科技,207.23,20.00%,9.23%,13.94亿,11.29亿,2.65亿,25.24亿
8,300905,宝丽迪,46.32,20.00%,6.81%,1.47亿,2.83亿,-1.36亿,4.30亿
9,300736,百邦科技,23.78,19.98%,16.27%,2.10亿,2.29亿,-1939.37万,4.48亿
10,301396,宏景科技,284.22,17.85%,17.11%,18.81亿,16.76亿,2.05亿,35.75亿
11,300088,长信科技,7.86,15.42%,26.13%,31.63亿,18.11亿,13.51亿,49.96亿
12,300290,荣科科技,16.43,15.30%,5.81%,2.82亿,1.97亿,8492.82万,5.73亿
13,300936,中英科技,74.97,13.25%,13.90%,2.59亿,1.91亿,6830.20万,4.65亿
14,301382,蜂助手,39.55,13.00%,25.68%,10.33亿,7.73亿,2.60亿,18.12亿
15,300390,天华新能,86.76,12.78%,13.22%,42.06亿,31.52亿,10.55亿,73.86亿
16,301091,深城交,24.16,12.27%,3.04%,2.23亿,1.47亿,7669.38万,3.72亿
17,688227,品高股份,78.98,12.20%,4.70%,2.29亿,1.57亿,7229.47万,4.01亿
18,688159,有方科技,47.82,11.81%,8.75%,2.42亿,1.34亿,1.07亿,3.80亿
19,301282,金禄电子,43.94,11.24%,19.55%,5.17亿,4.40亿,7683.26万,9.61亿
20,301369,联动科技,173.33,10.89%,6.27%,2.04亿,1.82亿,2178.92万,3.88亿
21,688287,*ST观典,2.17,10.71%,13.79%,4966.16万,6335.63万,-1369.47万,1.14亿
22,300351,永贵电器,17.67,10.44%,12.78%,3.72亿,2.03亿,1.69亿,5.80亿
23,300857,协创数据,309.9,10.41%,7.34%,39.90亿,35.55亿,4.35亿,75.95亿
24,300684,中石科技,59.65,10.14%,8.83%,6.12亿,3.65亿,2.47亿,10.24亿
25,600156,华升股份,8.42,10.07%,4.58%,5665.48万,9317.02万,-3651.55万,1.51亿
26,571,新大洲A,5.69,10.06%,3.24%,8451.89万,5989.54万,2462.35万,1.44亿
27,782,恒申新材,5.81,10.04%,3.73%,5283.49万,5904.22万,-620.73万,1.12亿
28,301123,奕东电子,68.61,10.04%,8.68%,5.60亿,3.71亿,1.89亿,9.76亿
29,600961,株冶集团,20.08,10.03%,3.45%,2.02亿,3.10亿,-1.08亿,5.12亿
30,2726,龙大美食,3.62,10.03%,4.00%,1818.46万,1.38亿,-1.19亿,1.56亿
31,2613,北玻股份,4.17,10.03%,10.41%,2.02亿,1.25亿,7674.52万,3.28亿
32,603826,坤彩科技,34.16,10.02%,2.78%,2.87亿,3.27亿,-3941.09万,6.14亿
33,967,盈峰环境,13.07,10.02%,4.80%,8.98亿,10.49亿,-1.51亿,19.47亿
34,593,德龙汇能,18.33,10.02%,7.41%,2.72亿,1.96亿,7595.91万,4.69亿
35,1203,大中矿业,46.39,10.01%,1.40%,3.91亿,4.38亿,-4697.47万,8.29亿
36,2875,安奈儿,20.99,10.01%,6.78%,1.14亿,1.36亿,-2112.33万,2.51亿
37,2213,大为股份,38.34,10.01%,20.51%,7.24亿,8.29亿,-1.05亿,15.54亿
38,603906,龙蟠科技,25.05,10.01%,3.95%,1.63亿,3.91亿,-2.28亿,5.55亿
39,603629,利通电子,96.75,10.01%,14.83%,18.49亿,16.97亿,1.51亿,35.48亿
40,603322,超讯通信,36.26,10.01%,11.48%,2.72亿,3.70亿,-9863.49万,6.43亿
41,600549,厦门钨业,61.88,10.01%,5.81%,31.04亿,21.92亿,9.12亿,53.55亿
42,300689,澄天伟业,52.18,10.01%,5.08%,1.48亿,1.13亿,3534.33万,2.63亿
43,2940,昂利康,35.6,10.01%,10.22%,3.21亿,3.34亿,-1210.82万,6.55亿
44,2580,圣阳股份,27.8,10.01%,14.52%,8.24亿,9.67亿,-1.43亿,17.93亿
45,2468,申通快递,18.03,10.01%,8.60%,9.66亿,12.93亿,-3.27亿,22.67亿
46,1268,联合精密,31.34,10.00%,4.26%,3196.18万,5028.78万,-1832.59万,8243.77万
47,815,美利云,22.21,10.00%,10.71%,7.14亿,9.07亿,-1.93亿,16.23亿
48,3041,真爱美家,57.97,10.00%,3.73%,1.64亿,1.23亿,4050.78万,2.88亿
49,2263,大东南,5.17,10.00%,13.91%,2.42亿,10.93亿,-8.51亿,13.40亿
50,605060,联德股份,58.95,10.00%,3.57%,2.39亿,2.49亿,-959.91万,4.89亿
51,1230,劲旅环境,27.72,10.00%,6.59%,7189.41万,6729.40万,460.01万,1.39亿
52,605287,德才股份,46.98,10.00%,3.64%,1.20亿,1.13亿,754.63万,2.33亿
53,2990,盛视科技,46.32,10.00%,14.97%,4.00亿,5.08亿,-1.08亿,9.14亿
54,603985,恒润股份,24.54,10.00%,12.44%,6.94亿,6.02亿,9165.37万,12.97亿
55,603920,世运电路,58.86,10.00%,1.75%,0.00,7.41亿,-7.41亿,7.42亿
56,603897,长城科技,50.6,10.00%,5.38%,2.23亿,3.34亿,-1.11亿,5.57亿
57,2850,科达利,205.59,10.00%,2.54%,5.08亿,4.98亿,962.84万,10.13亿
58,2771,真视通,18.37,10.00%,12.16%,1.30亿,2.56亿,-1.26亿,3.85亿
59,2595,豪迈科技,89.02,10.00%,0.73%,3.23亿,1.82亿,1.41亿,5.06亿
60,657,中钨高新,51.9,10.00%,8.40%,31.45亿,28.46亿,3.00亿,59.93亿
61,603315,福鞍股份,16.84,9.99%,9.91%,3.04亿,2.16亿,8766.68万,5.20亿
62,603220,中贝通信,31.93,9.99%,17.31%,12.87亿,9.41亿,3.46亿,22.85亿
63,600875,东方电气,42.04,9.99%,6.25%,35.21亿,22.30亿,12.92亿,58.20亿
64,600749,西藏旅游,19.93,9.99%,16.48%,4.34亿,2.79亿,1.56亿,7.14亿
65,600683,京投发展,10.9,9.99%,3.22%,9034.36万,1.67亿,-7617.15万,2.57亿
66,2802,洪汇新材,14.87,9.99%,7.41%,7009.25万,8949.20万,-1939.95万,1.60亿
67,2757,南兴股份,22.79,9.99%,9.71%,3.36亿,2.69亿,6740.98万,6.05亿
68,2297,博云新材,16.08,9.99%,22.28%,1.61亿,18.92亿,-17.31亿,20.53亿
69,534,万泽股份,45.9,9.99%,4.71%,5.82亿,4.55亿,1.27亿,10.38亿
70,605166,聚合顺,11.13,9.98%,3.87%,6686.44万,6471.46万,214.98万,1.32亿
71,600768,宁波富邦,17.52,9.98%,7.95%,8573.40万,9820.09万,-1246.69万,1.84亿
72,603687,大胜达,19.84,9.98%,22.17%,10.22亿,13.75亿,-3.53亿,24.03亿
