序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,237.0,414.32%,56.78%,19.66亿,12.45亿,7.22亿,32.47亿
2,603293,埃泰克,73.5,119.47%,44.05%,5.25亿,6.29亿,-1.04亿,11.61亿
3,300027,华谊兄弟,2.09,20.11%,13.01%,1.40亿,5.31亿,-3.92亿,6.73亿
4,300905,宝丽迪,46.32,20.00%,6.68%,1.47亿,2.74亿,-1.27亿,4.22亿
5,688668,鼎通科技,205.61,19.06%,7.99%,12.21亿,9.36亿,2.85亿,21.65亿
6,301396,宏景科技,278.37,15.42%,11.70%,12.43亿,11.38亿,1.05亿,24.02亿
7,300798,锦鸡股份,12.88,15.21%,15.28%,3.93亿,2.64亿,1.29亿,6.94亿
8,301603,乔锋智能,86.78,15.18%,25.47%,5.11亿,3.09亿,2.02亿,8.22亿
9,688287,*ST观典,2.25,14.80%,12.34%,4448.04万,5679.80万,-1231.77万,1.02亿
10,301382,蜂助手,40.08,14.51%,22.60%,9.10亿,6.78亿,2.33亿,15.94亿
11,301148,嘉戎技术,57.06,13.69%,5.32%,1.04亿,6728.53万,3686.89万,1.73亿
12,300088,长信科技,7.7,13.07%,16.25%,18.83亿,11.07亿,7.76亿,30.16亿
13,300209,行云科技,14.15,11.86%,14.94%,8.25亿,5.28亿,2.97亿,14.39亿
14,300390,天华新能,85.76,11.48%,11.94%,37.79亿,28.47亿,9.32亿,66.40亿
15,600156,华升股份,8.42,10.07%,3.14%,4055.33万,2413.20万,1642.13万,1.01亿
16,571,新大洲A,5.69,10.06%,3.15%,8451.89万,5575.19万,2876.70万,1.40亿
17,782,恒申新材,5.81,10.04%,3.58%,5283.49万,5453.77万,-170.28万,1.07亿
18,600961,株冶集团,20.08,10.03%,3.30%,2.02亿,2.87亿,-8553.16万,4.90亿
19,2726,龙大美食,3.62,10.03%,3.91%,1818.46万,1.34亿,-1.16亿,1.53亿
20,2613,北玻股份,4.17,10.03%,10.07%,2.02亿,1.14亿,8826.71万,3.17亿
21,603826,坤彩科技,34.16,10.02%,2.74%,2.87亿,3.16亿,-2858.60万,6.03亿
22,967,盈峰环境,13.07,10.02%,4.71%,8.98亿,10.08亿,-1.11亿,19.07亿
23,1203,大中矿业,46.39,10.01%,1.33%,3.91亿,3.98亿,-696.35万,7.89亿
24,2875,安奈儿,20.99,10.01%,4.52%,8721.78万,7726.32万,995.46万,1.65亿
25,2213,大为股份,38.34,10.01%,20.03%,7.24亿,7.91亿,-6733.40万,15.16亿
26,603906,龙蟠科技,25.05,10.01%,3.79%,1.63亿,3.68亿,-2.04亿,5.31亿
27,603322,超讯通信,36.26,10.01%,11.07%,2.72亿,3.47亿,-7504.02万,6.19亿
28,2940,昂利康,35.6,10.01%,9.95%,3.21亿,3.14亿,711.87万,6.38亿
29,2580,圣阳股份,27.8,10.01%,14.37%,8.24亿,9.49亿,-1.25亿,17.74亿
30,2468,申通快递,18.03,10.01%,8.09%,9.63亿,11.67亿,-2.04亿,21.32亿
31,1268,联合精密,31.34,10.00%,4.10%,3196.18万,4731.68万,-1535.49万,7935.38万
32,815,美利云,22.21,10.00%,10.38%,7.14亿,8.57亿,-1.43亿,15.72亿
