序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1,301666,大普微,233.7,407.16%,75.53%,25.74亿,18.05亿,7.68亿,43.92亿
2,603293,埃泰克,72.88,117.62%,59.83%,7.08亿,8.49亿,-1.41亿,15.63亿
3,300027,华谊兄弟,2.09,20.11%,15.43%,1.62亿,6.35亿,-4.72亿,7.99亿
4,300798,锦鸡股份,13.42,20.04%,21.17%,5.37亿,4.50亿,8651.97万,9.87亿
5,301148,嘉戎技术,60.23,20.00%,14.72%,2.50亿,2.53亿,-252.61万,5.03亿
6,688227,品高股份,84.47,20.00%,6.72%,2.89亿,3.02亿,-1315.49万,5.91亿
7,688668,鼎通科技,207.23,20.00%,9.40%,13.94亿,11.79亿,2.16亿,25.73亿
8,300905,宝丽迪,46.32,20.00%,6.87%,1.47亿,2.87亿,-1.40亿,4.34亿
9,301603,乔锋智能,90.41,20.00%,31.93%,5.78亿,4.61亿,1.16亿,10.42亿
10,300736,百邦科技,23.78,19.98%,18.35%,2.14亿,2.96亿,-8262.67万,5.10亿
11,301396,宏景科技,286.26,18.69%,18.55%,20.30亿,18.52亿,1.77亿,38.90亿
12,688287,*ST观典,2.3,17.35%,15.68%,5983.74万,6885.43万,-901.69万,1.30亿
13,300290,荣科科技,16.45,15.44%,12.94%,7.49亿,5.80亿,1.70亿,13.34亿
14,301382,蜂助手,40.36,15.31%,27.63%,11.11亿,8.32亿,2.79亿,19.50亿
15,300938,信测标准,52.22,14.64%,11.61%,6.77亿,5.07亿,1.70亿,12.12亿
16,300088,长信科技,7.79,14.39%,28.00%,33.22亿,20.26亿,12.96亿,53.58亿
17,300587,天铁科技,5.92,13.85%,5.59%,2.07亿,1.18亿,8867.28万,3.29亿
18,301282,金禄电子,44.8,13.42%,20.99%,5.64亿,4.71亿,9290.46万,10.36亿
19,301030,仕净科技,11.52,13.27%,10.23%,1.41亿,8478.48万,5601.06万,2.28亿
20,300857,协创数据,317.04,12.95%,8.49%,47.22亿,40.68亿,6.54亿,88.38亿
21,688500,慧辰股份,53.98,12.22%,5.83%,1.49亿,7328.26万,7579.06万,2.24亿
22,301369,联动科技,174.92,11.91%,7.59%,2.46亿,2.21亿,2483.30万,4.72亿
23,300390,天华新能,86.09,11.91%,14.31%,45.35亿,34.62亿,10.73亿,80.16亿
24,301086,鸿富瀚,163.99,11.89%,7.17%,3.01亿,2.12亿,8963.27万,5.24亿
25,688159,有方科技,47.84,11.85%,9.85%,2.67亿,1.60亿,1.07亿,4.28亿
26,300853,申昊科技,23.51,11.69%,10.12%,1.36亿,8757.35万,4849.06万,2.26亿
27,300351,永贵电器,17.84,11.50%,14.22%,4.18亿,2.28亿,1.90亿,6.48亿
28,688685,迈信林,45.53,11.48%,5.04%,1.98亿,1.19亿,7963.37万,3.21亿
29,301091,深城交,23.98,11.43%,3.36%,2.42亿,1.68亿,7405.53万,4.12亿
30,300270,中威电子,11.42,11.41%,5.86%,1.09亿,5445.42万,5503.18万,1.66亿
31,301309,万得凯,35.85,11.09%,11.52%,1.50亿,8558.76万,6424.64万,2.37亿
32,300936,中英科技,73.47,10.98%,15.85%,3.00亿,2.31亿,6860.70万,5.32亿
33,301123,奕东电子,69.15,10.91%,11.45%,7.94亿,4.57亿,3.37亿,12.54亿
34,688678,福立旺,29.15,10.67%,8.40%,3.45亿,2.53亿,9259.22万,6.75亿
35,300911,亿田智能,36.28,10.44%,6.66%,2.23亿,1.79亿,4309.50万,4.04亿
36,301580,爱迪特,76.27,10.23%,11.42%,3.17亿,2.81亿,3551.11万,6.00亿
37,601778,晶科科技,6.66,10.08%,19.12%,26.00亿,18.53亿,7.47亿,44.61亿
38,600156,华升股份,8.42,10.07%,4.89%,5665.48万,1.04亿,-4699.45万,1.61亿
39,571,新大洲A,5.69,10.06%,3.26%,8451.89万,6076.03万,2375.86万,1.45亿
40,600719,大连热电,7.33,10.06%,7.58%,1.31亿,6172.16万,6941.12万,2.17亿
41,782,恒申新材,5.81,10.04%,3.75%,5283.49万,5982.72万,-699.23万,1.13亿
42,301345,涛涛车业,244.0,10.04%,8.31%,4.11亿,2.80亿,1.31亿,6.93亿
43,300738,奥飞数据,25.75,10.04%,13.51%,20.15亿,12.72亿,7.43亿,33.10亿
44,300163,先锋新材,5.04,10.04%,11.24%,1.67亿,7860.30万,8886.83万,2.47亿
45,600961,株冶集团,20.08,10.03%,3.50%,2.02亿,3.19亿,-1.17亿,5.20亿
46,2726,龙大美食,3.62,10.03%,4.04%,1818.46万,1.40亿,-1.21亿,1.58亿
47,2613,北玻股份,4.17,10.03%,10.56%,2.02亿,1.30亿,7200.94万,3.33亿
48,603826,坤彩科技,34.16,10.02%,2.81%,2.87亿,3.32亿,-4503.41万,6.19亿
49,967,盈峰环境,13.07,10.02%,4.84%,8.98亿,10.64亿,-1.66亿,19.62亿
50,593,德龙汇能,18.33,10.02%,7.58%,2.72亿,2.08亿,6399.52万,4.81亿
51,70,特发信息,20.77,10.01%,22.71%,22.92亿,17.27亿,5.65亿,40.50亿
52,1203,大中矿业,46.39,10.01%,1.45%,3.91亿,4.66亿,-7537.58万,8.57亿
53,2875,安奈儿,20.99,10.01%,9.37%,1.54亿,1.96亿,-4176.43万,3.50亿
54,2213,大为股份,38.34,10.01%,20.80%,7.24亿,8.53亿,-1.29亿,15.77亿
55,603933,睿能科技,24.95,10.01%,10.35%,2.76亿,2.36亿,3994.67万,5.12亿
56,603906,龙蟠科技,25.05,10.01%,4.02%,1.63亿,4.01亿,-2.37亿,5.64亿
57,603322,超讯通信,36.26,10.01%,11.91%,2.72亿,3.95亿,-1.23亿,6.67亿
58,600549,厦门钨业,61.88,10.01%,6.18%,31.19亿,25.32亿,5.87亿,57.18亿
59,2940,昂利康,35.6,10.01%,10.32%,3.21亿,3.40亿,-1869.02万,6.62亿
60,2580,圣阳股份,27.8,10.01%,14.65%,8.24亿,9.85亿,-1.61亿,18.10亿
61,2468,申通快递,18.03,10.01%,8.71%,9.66亿,13.28亿,-3.62亿,22.95亿
62,1268,联合精密,31.34,10.00%,4.41%,3196.18万,5339.99万,-2143.80万,8536.48万
63,815,美利云,22.21,10.00%,10.92%,7.14亿,9.38亿,-2.24亿,16.54亿
64,3041,真爱美家,57.97,10.00%,3.77%,1.64亿,1.27亿,3742.97万,2.91亿
65,2263,大东南,5.17,10.00%,14.49%,2.42亿,11.53亿,-9.11亿,13.96亿
66,605060,联德股份,58.95,10.00%,3.64%,2.39亿,2.59亿,-1928.47万,4.98亿
67,603052,可川科技,75.77,10.00%,3.40%,2.28亿,2.42亿,-1437.71万,4.71亿
68,1230,劲旅环境,27.72,10.00%,6.65%,7189.41万,6872.43万,316.98万,1.41亿
69,2209,达意隆,16.5,10.00%,6.80%,9634.06万,7177.47万,2456.59万,1.68亿
70,605287,德才股份,46.98,10.00%,3.68%,1.20亿,1.16亿,451.14万,2.36亿
71,2990,盛视科技,46.32,10.00%,17.49%,4.58亿,6.13亿,-1.55亿,10.72亿
72,603985,恒润股份,24.54,10.00%,12.70%,6.94亿,6.31亿,6292.06万,13.26亿
73,603920,世运电路,58.86,10.00%,1.79%,0.00,7.58亿,-7.58亿,7.59亿
74,603897,长城科技,50.6,10.00%,5.42%,2.23亿,3.38亿,-1.15亿,5.61亿
75,600507,方大特钢,6.05,10.00%,3.98%,2.83亿,2.60亿,2299.77万,5.44亿
76,2859,洁美科技,46.33,10.00%,3.91%,3.63亿,3.51亿,1152.39万,7.15亿
77,2850,科达利,205.59,10.00%,2.62%,5.08亿,5.36亿,-2789.79万,10.46亿
78,2771,真视通,18.37,10.00%,12.31%,1.30亿,2.60亿,-1.31亿,3.90亿
79,2595,豪迈科技,89.02,10.00%,0.75%,3.23亿,1.96亿,1.27亿,5.18亿
80,2008,大族激光,86.67,10.00%,5.15%,20.97亿,20.57亿,4036.20万,41.70亿
81,657,中钨高新,51.9,10.00%,8.49%,31.45亿,29.11亿,2.34亿,60.58亿
82,600683,京投发展,10.9,9.99%,3.26%,9034.36万,1.70亿,-7940.99万,2.60亿
83,603315,福鞍股份,16.84,9.99%,10.03%,3.04亿,2.23亿,8080.44万,5.27亿
84,603220,中贝通信,31.93,9.99%,20.23%,14.68亿,12.16亿,2.52亿,26.85亿
85,600875,东方电气,42.04,9.99%,6.61%,36.15亿,25.33亿,10.82亿,61.63亿
86,600749,西藏旅游,19.93,9.99%,16.90%,4.34亿,2.98亿,1.37亿,7.34亿
87,2802,洪汇新材,14.87,9.99%,7.79%,7009.25万,9806.00万,-2796.75万,1.68亿
88,2757,南兴股份,22.79,9.99%,10.12%,3.36亿,2.95亿,4073.41万,6.32亿
89,2297,博云新材,16.08,9.99%,22.48%,1.61亿,19.10亿,-17.49亿,20.71亿
90,2237,恒邦股份,16.51,9.99%,4.78%,4.68亿,4.41亿,2791.27万,9.10亿
91,762,西藏矿业,37.11,9.99%,14.71%,15.54亿,11.96亿,3.58亿,27.57亿
92,534,万泽股份,45.9,9.99%,4.83%,5.82亿,4.83亿,9899.39万,10.67亿
93,2333,罗普斯金,6.39,9.98%,7.50%,1.73亿,1.28亿,4504.53万,3.05亿
94,605336,帅丰电器,15.65,9.98%,4.36%,5725.38万,6238.70万,-513.32万,1.21亿
95,605166,聚合顺,11.13,9.98%,4.14%,6686.44万,7356.31万,-669.87万,1.41亿
96,600768,宁波富邦,17.52,9.98%,8.11%,8573.40万,1.02亿,-1611.82万,1.88亿
97,2062,宏润建设,8.05,9.97%,2.38%,9366.95万,1.15亿,-2149.75万,2.09亿
98,603878,武进不锈,8.27,9.97%,4.04%,9734.19万,8158.10万,1576.09万,1.79亿
99,605388,均瑶健康,8.06,9.96%,9.80%,1.67亿,2.89亿,-1.23亿,4.56亿
100,2033,丽江股份,10.93,9.96%,18.96%,5.69亿,5.03亿,6573.53万,10.73亿
101,570,苏常柴A,6.74,9.95%,10.70%,1.98亿,1.87亿,1057.94万,3.85亿
102,546,金圆股份,7.08,9.94%,8.76%,2.00亿,2.19亿,-1889.03万,4.19亿
103,603687,大胜达,19.83,9.92%,26.11%,12.02亿,16.20亿,-4.18亿,28.33亿
104,2929,润建股份,65.2,9.86%,12.03%,8.11亿,6.82亿,1.29亿,15.71亿
105,2421,达实智能,2.9,9.85%,6.12%,1.69亿,1.80亿,-1074.52万,3.49亿
106,300953,震裕科技,207.33,9.79%,9.68%,14.10亿,10.09亿,4.02亿,24.42亿
107,300684,中石科技,59.39,9.66%,11.56%,8.52亿,4.94亿,3.58亿,13.56亿
108,300491,通合科技,27.9,9.54%,9.60%,2.42亿,1.60亿,8239.84万,4.03亿
109,688548,广钢气体,26.12,9.47%,4.68%,4.81亿,3.25亿,1.56亿,8.12亿
110,301636,泽润新能,77.66,9.40%,34.60%,2.01亿,2.16亿,-1527.11万,4.18亿
111,600847,万里股份,14.55,9.40%,4.64%,4772.72万,5099.24万,-326.52万,1.01亿
