证券代码,代码,名称,机构代码,机构类型,报告期,报告类型,报告期名称,证券类型代码,公告日期,更新日期,货币,基本每股收益,扣除非经常性损益后的基本每股收益,稀释每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金净流量,营业总收入,毛利润,净利润,扣除非经常性损益后的净利润,营业总收入同比增长,净利润同比增长,扣除非经常性损益后的净利润同比增长,营业总收入环比增长,净利润环比增长,扣除非经常性损益后的净利润环比增长,净资产收益率(加权平均),净资产收益率(扣除/摊薄),总资产净利率,销售净利率,销售毛利率,应收账款占营业收入比例,营业收入现金含量,经营现金流占利润比例,所得税率,流动比率,速动比率,经营现金流量净额,资产负债率,企业规模,权益乘数,总资产周转天数,存货周转天数,应收账款周转天数,总资产增长率,存货增长率,应收账款增长率,存款总额,贷款总额,流动性覆盖率,新增贷款,核心一级资本充足率,不良贷款,拨备覆盖率,每股净资产,总资产收益率,净资产收益率,已赚保费,赔付支出,退保率,偿付能力充足率,净资本,净资产,净资本/净资产,自营资产规模,自营权益类证券占净资本比例,营业支出,经纪业务风险资本,证券自营业务风险资本,证券承销业务风险资本,融资融券业务风险资本,基本每股收益同比增长,报表期同比增长,每股资本公积金同比增长,每股未分配利润同比增长,每股经营现金净流量同比增长,净资产收益率同比增长,总资产净利率同比增长,资产负债率同比增长,报告年份,资本回报率,资本回报率同比增长,内含价值,内含价值增长率,净资产,营业总收入同比增长,净利润同比增长,扣除非经常性损益后的净利润同比增长,营业总收入环比增长,净利润环比增长,扣除非经常性损益后的净利润环比增长,销售毛利率,营业总收入占净资产比例,营业利润占净资产比例,息税前利润占净资产比例,员工人数,人均营业总收入,人均净利润,预付账款占比,应付账款周转天数,固定资产周转天数,流动资产周转天数,预付账款周转天数,应付账款周转天数,营业周期,保守速动比率,现金比率,利息保障倍数,流动资产/总资产,非流动资产/总资产,清算价值比率,有息负债率,财务杠杆,企业自由现金流预测,企业自由现金流回溯,营业利润,总资产,营运资本,营运资本净额,固定资产,一级资本充足率,净利息收益率,净息差,贷款及垫款,不良贷款余额,逾期贷款,贷款拨备率,收入保费比,负债,资本充足率,风险覆盖率,资本杠杆率,流动性覆盖率,净稳定资金比率,净资本负债,净资产负债,所有者权益
301389.SZ,301389,隆扬电子,10000214749,通用,2025-09-30 00:00:00,三季报,2025三季报,058001001,2025-10-30 00:00:00,2025-10-30 00:00:00,CNY,0.29,,0.29,7.849613693051,5.622398561199,0.980420986138,0.1120372297,291161577.9,150447591.98,81716426.42,72748925.14,39.5377581918,55.188775857,46.7232934979,18.520468665415,4.228441963678,2.834699937075,3.65,,3.130930073,29.5972410101,51.671512795439,,0.460119135417,0.109089100454,14.8945117523,3.633935557513,3.399586085472,0.066728257581,25.8236798463,1.348139133794,0.348139133794,2552.35820870427,148.574520093792,162.435917640558,0.105784524711,1.817269877968,1.662193952679,,,,,,,,,,,,,,,,,,,,,,,,,52.6315789474,1.7600702881,2.2245542657,-5.305638371,-23.1500979126,52.0833333333,36.1864830103,576.1445617345,2025,2.831611067907,126.2260566477,,,,73.2914458257,19.9400360151,13.3173875881,69.1512891696,13.7139870691,10.4253182112,12.6927873057,1.027024966138,1.027024966138,0.30810945933,,,,40.945066169591,1.725537793134,0.822937612999,0.154427244454,6.594201090839,156.472956474407,311.007384123352,3.270981641422,2.70335473768,,54.1422564901,45.8577435099,365.91119034846,15.5615051414,106.514484197659,-430457420.124135,712050434.554944,0.968083961569,0.088226810577,0.311662219157,0.368578613179,0.057690900837,,,,,,,,,825020307.47,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2025-06-30 00:00:00,中报,2025中报,058001001,2025-08-29 00:00:00,2025-08-29 00:00:00,CNY,0.19,0.17,0.19,7.77443798582,5.514023265538,1.034109733369,0.158521082787,154293300.05,84417488.06,54558526.26,49152527.18,18.9800787933,81.7814879175,70.9111222853,3.415590335161,12.279117194244,10.926104794428,2.45,2.21,2.3678133065,35.3602692031,54.712348515875,,0.626087469311,0.291268168841,14.9107472169,22.999538275437,22.461597746962,0.53477209434,4.1033496863,1.042789291105,0.042789291106,2688.07022877799,114.013753857213,105.047182511179,0.066962536199,1.578756894764,1.713515733569,,,,,,,,,,,,,,,,,,,,,,,,,72.7272727273,1.8206851431,0.2559505779,8.2288966294,78.9398228454,80.1470588235,79.5517317744,14.9799002287,2025,1.893258683808,298.5679932593,,,,14.6235617583,95.675130667,82.128386271,10.2701937612,-22.145242464,-23.0897582151,26.7982488932,0.544244444621,0.544244444621,0.182857336367,,,,36.541936974496,1.42536363557,0.99646750409,0.077652842088,4.925847256691,126.28356407312,219.058788060565,22.389525010492,21.262939967911,113.263866212889,84.0953233355,15.9046766645,2411.05114589389,1.083517138,1472.90388486468,-209255628.298708,50477426.7227232,1.049611639634,0.070462342422,0.700623985365,0.823715925827,0.294442817539,,,,,,,,,94309872.66,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-25 00:00:00,2025-04-25 00:00:00,CNY,0.11,,0.1,7.931073081305,5.504615060635,1.218069150829,0.086792286984,73378588.42,41259581.52,30675888.02,27783878.81,24.1847327769,72.2590593617,63.1813958926,4.9629210734,15.64833660033,13.892457317538,1.37,,1.3214666625,41.8049579319,56.228366351014,,0.720650693324,0.335324157766,17.7992989892,27.738589636044,27.127547798611,0.331813137749,3.6120993167,1.037474613422,0.037474613422,2847.174522409,124.166955382966,103.632072318213,0.031610285668,0.724830529366,0.868457013227,,,,,,,,,,,,,,,,,,,,,,,,,83.3333333333,4.0980003544,0.2445299712,33.1767510942,44.9674454271,73.417721519,71.7970234395,-48.5927714303,2025,1.067274537912,266.501194247,,,,24.1847327769,72.2590593617,63.1813958926,-7.4443846729,3.7204605152,-0.2435991275,41.6675195462,0.258830999718,0.258830999718,0.108267118448,,,,22.503435356861,0.677079177901,0.470394231857,0.035811330111,3.999389363125,132.923892710757,227.799128435645,27.047836396056,25.918732947489,,88.1784580632,11.8215419368,2739.58440271526,0.9106738752,2001.90161368679,-25723868.5138116,-16208125.4418911,1.157768281992,0.036419041124,0.658909807788,0.802115764145,0.158810644376,,,,,,,,,84260140.01,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-03-13 00:00:00,2025-03-13 00:00:00,CNY,0.29,0.27,0.29,7.822822341728,5.504615060635,1.109864960282,0.202899408607,287942035.52,138115497.95,82231686.4,77434121.87,8.511606235,-15.0171946024,-14.787536208,4.338249377323,18.125602119638,20.373614721476,3.74,3.52,3.5620856271,28.5584167145,47.966424110524,,0.547209348143,0.199769312029,15.1143574582,24.973349772821,24.443406695432,0.703792005979,3.9919664961,1.041579504864,0.041579504864,2886.23887617551,102.435588654184,103.340439658498,0.12472980077,3.514403585021,3.483631395315,,,,,,,,,,,,,,,,,,,,,,,,,-14.7058823529,-0.6873284944,0.4246061956,-3.4578604602,-27.5803864327,-13.8248847926,-13.3005440646,24.5403744321,2024,2.201769254179,11.044912764,,,,17.7871984062,74.4084981756,88.8796089982,0.3785465627,30.617297809,33.7528195659,7.4038949593,1.015668555626,1.015668555626,0.225649942257,465.0,619230.183913978,176842.336344086,140.332603327172,3.195607654723,2.433083461338,0.139647304673,2.565334009807,112.654630635877,205.777064143712,24.369544892946,23.307274072774,92.718655098425,88.3603359365,11.6396640635,2478.22586853744,0.8478052084,1822.39765010979,-346252053.177118,80863203.528365,1.071272789549,0.13353533123,0.593771627882,0.699511159971,0.366263500438,,,,,,,,,92213784.07,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2025-10-30 00:00:00,CNY,0.19,,0.19,7.713844606067,5.50004703037,1.035353076226,0.145787081905,208661498.99,95674759.43,52656144.73,49582396.5,5.3592134093,-34.0190797263,-34.8680469716,3.040112189821,-5.869542964157,-6.977418022639,2.4,,2.299002077,25.2351991071,45.851659215093,,0.552799307387,0.198075054191,16.4024489311,25.189995113946,24.64305124183,0.515168492688,3.8192542406,1.039709135237,0.039709135237,2963.67881838453,102.553641215977,106.420935331545,0.091102989408,2.632768537505,2.537094784582,,,,,,,,,,,,,,,,,,,,,,,,,-32.1428571429,-1.179454785,0.52372005,-8.8320295589,-17.9475590379,-32.0113314448,-32.5071351975,25.3832346508,2024,1.251673264286,-23.5468333661,,,,11.4939834429,-16.0867343631,-18.8125325477,11.885056693,85.5176971566,77.4801329022,4.041769084,0.73601939679,0.73601939679,0.134530980529,,,,65.446676353719,2.415927918504,1.799313072898,0.101695182463,4.125495976919,111.758301202625,208.973132245283,24.58412313732,23.499640898761,,88.8822595577,11.1177404423,2596.39453709988,0.5663008672,1894.87401555389,-305921260.955259,78971365.9403957,1.06806910589,0.098018006883,0.656126915638,0.784915757352,0.271382806929,,,,,,,,,86838912.97,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2025-08-29 00:00:00,CNY,0.11,0.1,0.11,7.635421009877,5.499946121658,0.955483947055,0.088589046455,129679944.42,55955775.23,30013246.61,28759115.57,1.942907645,-43.1797753598,-43.026071869,-3.238806227539,-22.414702123575,-23.042264586699,1.36,1.31,1.3187359894,23.1440927464,43.149135728169,,0.587712340647,0.193669073366,16.948732351,27.208571923526,26.603677208814,0.342426558582,3.5687539111,1.037008273312,0.037008273312,3159.03769047853,105.372582247495,110.261752844316,0.056979377151,1.70822424734,1.632479036082,,,,,,,,,,,,,,,,,,,,,,,,,-42.1052631579,-0.8623876519,0.7031046687,-8.0234309961,-40.8453463064,-40.0881057269,-41.9444313743,25.2040413508,2024,0.475015233493,-54.1518514591,,,,-11.2684326063,-63.6434935388,-63.8305218525,19.4682344139,-31.4619734543,-31.0908042954,-8.8513455943,0.457424848042,0.457424848042,0.058633574286,,,,96.396089989317,1.593661127802,1.149900599605,0.063594669824,1.867295655041,112.947474754723,215.634414883403,26.575297903057,25.47415875757,91.082645105854,88.9002790017,11.0997209983,2771.70362617394,0.5210277872,2378.74362891836,-77391773.7523284,86289482.37291,1.095947654478,0.063313213088,0.694892643816,0.836796998217,0.172124658776,,,,,,,,,80109657.44,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-25 00:00:00,CNY,0.06,,0.06,7.618852479683,5.491187461517,0.914625969489,0.059870191358,59088252.46,23452347.56,17807996.94,17026376.48,23.9996660073,-7.4928278475,-5.6158554344,4.309798345063,-1.490655505663,-1.11483309408,0.79,,0.769202304,30.1379651599,39.690372592888,,0.722598693351,0.287251670905,14.7338359901,13.435705754194,13.145038851757,0.109853456671,7.0264424229,1.07557463225,0.07557463225,3526.27241274106,109.686198835723,113.472469773791,0.025522702011,0.820522553934,0.793143924508,,,,,,,,,,,,,,,,,,,,,,,,,-14.2857142857,-8.0233986125,0.5628798104,-43.6132229457,-43.0090260756,-3.6585365854,-3.9859710413,211.6497966935,2024,0.291206292003,-31.1530706111,,,,23.9996660073,-7.4928278475,-5.6158554344,-12.2125048517,5.0146785637,15.4662876168,-14.8081904929,0.208424170935,0.208424170935,0.033526777531,,,,25.372870821365,0.790639300111,0.510988344284,0.028416991755,3.547095661095,113.831933205654,223.16796814942,13.114550160607,12.655256465753,,89.3567342227,10.6432657773,1411.24013036961,0.4723303557,1231.08738154536,77013782.1116464,80364427.4525849,1.269091679615,0.032278323074,0.812533282393,0.953122313935,0.111936584544,,,,,,,,,163237024.72,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-03-15 00:00:00,2025-03-13 00:00:00,CNY,0.34,0.32,0.34,7.876962952593,5.481340947372,1.149617115979,0.280171901799,265355979.43,118507596.53,96762734.55,90871826.05,-29.510442691,-42.6959903864,-44.0985122954,-3.237029247854,-15.885546531781,-15.283527683766,4.34,4.08,4.1085443832,36.4652549974,44.65985533266,,0.706759979831,0.299328978117,14.8131833804,31.998170722202,31.353652238953,1.220304849291,3.2053593177,1.033115049502,0.033115049501,3195.16854993496,108.91167216387,124.313547989621,0.112670112507,3.305430839941,2.895903188525,,,,,,,,,,,,,,,,,,,,,,,,,-54.6666666667,-4.0934314902,0.3825556409,-25.9513113733,-57.0880047411,-73.8396624473,-61.2721924451,2.9622205433,2023,1.982773635798,-80.1364548174,,,,-11.6518593566,-51.8675912542,-52.6455002744,-4.9845470482,-37.1560209366,-42.5080730379,-19.7157929384,0.935999927443,0.935999927443,0.219722439718,449.0,590993.272672606,215507.20389755,141.422564098677,4.024571065951,3.510204284833,0.121222008466,2.545562670953,89.450526304704,233.226373192999,31.293661025378,30.065191515335,122.684153594667,90.2763312321,9.7236687679,3093.68823542676,0.45357392,2925.39267987538,117918304.96036,179472123.393748,1.206231588478,0.138739147523,0.70450155424,0.820860784158,0.997370111714,,,,,,,,,73949846.13,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-28 00:00:00,2024-10-30 00:00:00,CNY,0.28,,0.27,7.805911806384,5.471392252134,1.135654409347,0.177675496543,198047700.09,87280481.03,79805108.07,76126070.53,-34.0416902875,-40.2778740876,-42.0733304951,-8.5490549691,-11.665841031268,-13.101063477561,3.53,,3.4062890703,40.2959024688,44.070434037021,,0.639947342496,0.254337734026,14.1006636458,34.762959062558,34.003128183595,0.836714977022,3.0460645326,1.031417647132,0.031417647133,3194.06058674176,112.912018761855,134.592375209797,0.084531896834,2.39124234037,2.006057175075,,,,,,,,,,,,,,,,,,,,,,,,,-55.5555555556,102.0023150139,690.6936962906,-44.0777360078,-74.4001785462,-80.0677583286,-78.2679414615,-72.7284761651,2023,1.637176482537,-89.8290727034,,,,-26.57257537,-36.0212745585,-38.6695691476,-10.9572001848,-19.6220608966,-20.9315921525,-22.1198619859,0.698580952698,0.698580952698,0.178045946561,,,,70.922802692125,3.138640968626,2.602517709574,0.090267019088,3.806956151635,86.024493626042,247.503520085086,33.968930876942,32.407654952255,,91.6871628187,8.3128371813,3258.35100906754,0.4586062604,3001.62381936634,15905315.1652888,171074484.083125,1.142266760014,0.099111963775,0.54135433714,0.631175177732,0.624609515707,,,,,,,,,69526498.99,,,,,,,,
301389.SZ,301389,隆扬电子,10000214749,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-18 00:00:00,2024-08-28 00:00:00,CNY,0.19,0.18,0.18,7.701840733333,5.461545738589,1.038834082857,0.149758372205,127208402.64,60219568.43,52821414.91,50477677.27,-37.5776661636,-42.2409566246,-43.6620418186,-7.47267594199,-10.186733057697,-10.871232776864,2.27,2.17,2.271506456,41.5235266018,47.339300848248,,0.827759604591,0.333755456706,14.0763165185,34.96961305806,34.251066718198,0.711556834312,2.8503504141,1.029339790995,0.029339790995,3290.43079253669,120.613528728864,135.102000372811,0.054704083249,1.492369901594,1.332326682827,,,,,,,,,,,,,,,,,,,,,,,,,-55.8139534884,110.1207206417,689.259777583,-43.3079098026,-67.8333021331,-81.7963111468,-79.3282967216,-75.9933954277,2023,1.036061975477,-90.992584343,,,,-23.3371227604,-30.554874434,-31.7006030948,66.9532230855,74.3913163777,79.8183391741,-17.7211221105,0.448706887619,0.448706887619,0.113390838342,,,,70.028154139051,1.92475550422,1.705003731505,0.058061993178,2.570394753553,93.518371349168,255.715802368116,34.216270632318,32.75330366264,127.958361217908,92.83656186,7.16343814,3480.82321599333,0.4063613093,3085.89181722507,66708124.2718649,194397782.087176,1.306850340936,0.073966538733,0.690437842302,0.803774351602,0.546663856009,,,,,,,,,64062607.66,,,,,,,,
